,3prime,tAI,max_5_UTR_length,TCGA-BH-A0DD,TCGA-BH-A0DD.1
ALOX5AP,976.0,0.392577632,248.0,-1.66186,-1.762443601
AMBRA1,1041.0,0.36170155,362.0,-0.407011,0.3141497
AMPD2,903.0,0.389224108,566.0,-0.565703,-0.411182059
AMPD3,1695.0,0.423686063,472.0,0.414086,-0.250108992
ANAPC13,1361.0,0.393644021,731.0,-0.503937,-0.534159123
ANAPC5,235.0,0.390209877,197.0,0.174044,0.290131109
ANKLE2,1737.0,0.418251419,90.0,0.406101,0.096314479
ANKRD16,135.0,0.465649334,543.0,-0.103322,-0.248794844
ANKRD35,249.0,0.402949835,108.0,-1.447174,-0.161263578
ANXA2,496.0,0.429738522,160.0,-0.641425,0.165412776
ANXA5,1441.0,0.418050335,165.0,-0.779065,0.08989665
AP1B1,1153.0,0.424070668,187.0,-0.275057,0.054247244
AP1M1,914.0,0.463388599,173.0,0.003044,-0.012734215
APBA1,3797.0,0.387421148,276.0,0.787557,-0.170862053
APIP,427.0,0.433104693,127.0,0.090346,-0.083235343
APOBEC3B,339.0,0.43450554,55.0,0.439456,0.479359513
APOBEC3C,1979.0,0.381716897,103.0,-0.834269,-0.209529544
APOBEC3G,322.0,0.410940579,404.0,0.440301,1.001369907
APOL2,1195.0,0.42932248,477.0,0.014931,-0.373555437
ARF6,2971.0,0.462806813,621.0,0.109779,0.418424387
ARFIP2,2430.0,0.403729309,291.0,-0.957032,-0.010182456
ARHGAP17,2624.0,0.371011524,117.0,-0.704421,-0.265408843
ARHGAP30,773.0,0.384451823,645.0,-0.500536,-0.28906124
ARHGEF10,1378.0,0.370244255,202.0,-0.172373,0.420793608
ARID2,3145.0,0.362288628,128.0,1.067453,0.34103352
ARID3A,3881.0,0.411693449,290.0,0.22528,-0.445001129
ARIH2,3112.0,0.397061561,878.0,0.150886,0.685038801
ARL8A,1065.0,0.409602486,171.0,-0.031837,0.093911444
ARRB1,6041.0,0.39512759,224.0,0.674853,0.405802979
ASF1B,950.0,0.395794233,172.0,1.653883,1.644406014
ASS1,1357.0,0.394201053,356.0,-5.468056,-1.690459017
ATPAF1,3039.0,0.439253133,510.0,0.097982,0.36309095
AXL,1863.0,0.417061167,376.0,-0.780775,-2.636188144
B4GALT7,4483.0,0.433879574,93.0,-0.499619,0.392725897
BAG1,2764.0,0.431693656,501.0,-0.499446,-0.335435366
BAG3,537.0,0.387438444,306.0,0.580187,0.277498536
BASP1,971.0,0.520859146,259.0,-1.284032,-1.769580937
BBS7,1531.0,0.408023089,184.0,0.13718,0.230830774
BCAT2,364.0,0.445598481,657.0,0.013742,0.210620942
BCKDHB,3082.0,0.419736544,88.0,-0.477705,-0.361080722
BCL2,5279.0,0.374049285,493.0,1.475534,0.50899032
BCL2L13,4109.0,0.411790332,769.0,0.523741,-0.327495881
BID,4193.0,0.428633517,498.0,-0.571708,-0.083217615
BLVRA,3376.0,0.414260839,177.0,0.369852,0.575488159
BOLA2,40.0,0.43059393,513.0,-0.540489,0.1868487
BOLA3,383.0,0.406657227,38.0,-0.02775,-0.350485652
BRD2,787.0,0.377809737,2066.0,0.045197,-0.314679369
BRD3,3285.0,0.401150236,188.0,0.663504,0.423447488
BSPRY,1091.0,0.380011644,48.0,-0.135287,-0.522852842
BST2,411.0,0.444557266,81.0,1.157555,-0.445497531
BUB3,1535.0,0.421992618,242.0,1.103172,0.239201981
C1QB,152.0,0.436596666,340.0,-0.46996,-0.25577842
C1QC,327.0,0.41150294,283.0,-0.297072,-0.328343897
C2CD3,671.0,0.360398895,227.0,1.98879,0.286629917
C3,5088.0,0.430632158,93.0,-1.811104,-0.414763704
CAP1,1134.0,0.406948565,416.0,0.049333,-0.27183064
CAPN1,720.0,0.455130071,197.0,-0.40536,0.107446545
CAPRIN1,5632.0,0.374918508,189.0,0.258908,0.052598991
CAPZB,5180.0,0.446052528,622.0,-0.967138,0.150541512
CARD16,437.0,0.41300235,27.0,-1.188286,-0.8860156
CARHSP1,4898.0,0.362100245,360.0,-0.537496,-0.438036179
CASC3,1778.0,0.370720542,295.0,3.210423,0.317526813
CASP1,750.0,0.424742838,44.0,-0.913557,0.187217755
CASP8,1794.0,0.376118708,303.0,0.336173,0.132786673
CAT,629.0,0.397270122,89.0,-0.583022,-0.765971122
CBL,8368.0,0.375957197,142.0,0.241046,0.347259032
CBLL1,3286.0,0.400851504,467.0,0.855892,0.081982702
CBR3,54.0,0.445176236,228.0,-0.923432,-0.152708692
CBS,4385.0,0.477784031,626.0,1.096564,-1.387996106
CBX5,10815.0,0.390902295,318.0,0.886817,0.123280597
CBX8,2504.0,0.36735217,118.0,-0.112429,-0.651256883
CCDC115,2169.0,0.385110507,452.0,-0.781042,-0.078763397
CCDC125,2554.0,0.359965106,322.0,0.08208,-1.040827092
CCDC58,2462.0,0.421830022,75.0,-0.21748,0.075071741
CCDC88C,1302.0,0.396031427,154.0,0.356646,-0.300735013
CCL5,886.0,0.462166288,68.0,-0.46784,-1.314667173
CCNA2,1206.0,0.409154498,373.0,1.720758,0.413029797
CCNB2,168.0,0.374401461,184.0,1.6989,0.30079152
CCNDBP1,2336.0,0.44393643,231.0,-0.864724,1.002953453
CCS,4244.0,0.460896681,43.0,0.545139,0.252062715
CCT3,238.0,0.457984718,231.0,-0.051636,0.554055792
CCT4,1361.0,0.393363555,164.0,-0.082751,0.336166071
CD14,128.0,0.416321757,392.0,-1.001378,-0.183740767
CD209,3046.0,0.440000747,67.0,-0.81895,-0.243650635
CD36,2894.0,0.410517795,414.0,-2.510134,-0.212683403
CD40,982.0,0.429065654,90.0,-1.157579,-0.67918331
CD44,3115.0,0.39995987,434.0,-0.245583,-0.669580435
CD63,923.0,0.512738356,403.0,-0.971768,-2.626977018
CD74,635.0,0.427357309,187.0,-0.490203,-0.375586132
CDC25C,437.0,0.364786128,387.0,1.440051,1.246126824
CDC26,271.0,0.395637029,359.0,-0.121546,-0.522020871
CDC34,560.0,0.46431386,199.0,0.024796,-0.220309389
CDCA3,816.0,0.351209268,820.0,1.476884,-0.027782415
CDCA8,1353.0,0.384295288,290.0,1.629483,0.919491337
CDIPT,1864.0,0.442654716,541.0,-0.731861,-2.019555203
CDK1,2313.0,0.398329505,154.0,1.683479,0.874903276
CDK19,4557.0,0.421511824,180.0,0.669347,0.344591028
CDK2AP1,766.0,0.439144625,522.0,-0.662747,0.258666349
CDK5RAP2,367.0,0.371069462,192.0,0.378778,0.863398168
CDK5RAP3,284.0,0.469750898,1791.0,-0.159101,-0.156833407
CDKAL1,1365.0,0.417875209,167.0,-0.163811,0.136534923
CDKN2AIPNL,3639.0,0.409801696,53.0,-0.131018,0.345797
CDKN2C,2247.0,0.381912025,1216.0,0.634629,-0.268195413
CEBPD,1714.0,0.430497143,44.0,-1.114465,-0.2946742
CENPH,1478.0,0.418392258,87.0,1.179422,0.234962382
CENPV,301.0,0.385948267,62.0,0.523706,-0.14464896
CEP55,939.0,0.397841874,304.0,2.070186,0.773405248
CETN2,868.0,0.433727498,47.0,-0.264908,0.145789193
CFL1,677.0,0.502791,234.0,-0.58476,-0.401828039
CHAC2,786.0,0.395629742,277.0,0.313332,0.437297665
CHCHD4,3528.0,0.445497334,326.0,-0.076381,-1.61380447
CHMP4A,296.0,0.447100154,262.0,-0.510114,-0.509982133
CHMP5,1241.0,0.442987983,200.0,0.080184,-0.880253974
CHMP6,980.0,0.489861105,78.0,-0.574022,0.066042783
CHTF8,2425.0,0.424551152,142.0,0.442914,2.236127423
CIAPIN1,1024.0,0.451663323,242.0,0.301198,-0.499833031
CISD2,5376.0,0.433298698,107.0,0.452323,0.631134506
CKAP4,2872.0,0.386259817,84.0,0.269404,0.079576682
CKS2,300.0,0.317949998,98.0,1.116929,0.802740568
CLCC1,5185.0,0.369704467,150.0,-0.73848,-1.458015438
CLCN7,1698.0,0.459147749,110.0,-0.132853,-0.976576075
CLIC1,290.0,0.4571302,573.0,-0.589121,-0.198184026
CLK3,1233.0,0.4268607,461.0,-0.544356,0.092849182
CLPTM1,458.0,0.383990827,351.0,0.092299,-2.2487303
CLTA,288.0,0.450950874,514.0,-0.463743,-0.294912933
CLTB,319.0,0.48548545,210.0,-1.089285,-0.794355739
CLTC,3104.0,0.384957863,443.0,0.87303,-0.034288647
CNBP,6850.0,0.433298698,206.0,-0.899462,-1.168986605
CNPY2,123.0,0.392778455,553.0,-0.664599,-0.435854633
CNPY3,1042.0,0.459231502,584.0,-0.51697,-0.076135443
COG3,1967.0,0.414689223,142.0,-1.176028,-0.384678551
COMMD1,306.0,0.423842833,138.0,-0.735962,0.645395982
COMMD3,431.0,0.360487018,35.0,0.069056,0.681513161
COMMD5,498.0,0.445713337,399.0,0.206701,0.782645719
COMMD6,1375.0,0.396967837,328.0,-1.525428,0.544947912
COMMD9,2340.0,0.418062772,89.0,-0.467458,0.190658906
COPB1,446.0,0.381738818,307.0,-0.225046,-0.01781415
COPE,165.0,0.478760693,55.0,-0.468068,0.200894012
COQ6,671.0,0.374062527,159.0,-0.452653,0.4450616
COQ7,5700.0,0.42379098,133.0,0.047739,-0.002623568
CORO1A,112.0,0.457388252,435.0,-0.977638,-0.287020365
COX17,1735.0,0.484254073,86.0,-0.067874,-1.06866107
COX5A,860.0,0.429944966,140.0,-0.369928,0.005367055
COX7A2,302.0,0.441893926,98.0,-0.401421,-0.091720819
CPM,5262.0,0.406054343,75.0,-0.582342,-0.57638427
CPSF4,923.0,0.452412439,277.0,0.469926,0.249819664
CPT1A,2761.0,0.374132033,170.0,0.789121,0.082969133
CPT2,602.0,0.431256564,515.0,0.511521,0.417984932
CRCP,8457.0,0.390198146,145.0,0.37062,0.009085991
CRKL,3904.0,0.422225684,509.0,0.469112,0.574986303
CRTAP,5601.0,0.446308827,120.0,-0.137503,-0.153334485
CRTC3,3205.0,0.355982524,186.0,0.499325,0.108025852
CRY2,2337.0,0.383442872,132.0,-1.644705,-0.043421097
CRYL1,462.0,0.386242786,79.0,-1.531221,-0.226074663
CSRP1,1183.0,0.493833101,217.0,-1.212244,-1.307622347
CST3,2762.0,0.475763324,186.0,-0.682373,0.035866191
CSTF2,1931.0,0.372934478,58.0,0.441343,-0.288275605
CTBP1,800.0,0.464034004,393.0,-0.338994,-0.066756469
CTNNA1,1216.0,0.412513324,1103.0,0.151875,-0.122383623
CTNNB1,1106.0,0.432073699,448.0,0.070134,-0.091298
CTNNBIP1,2448.0,0.394834327,307.0,-0.398503,0.238097053
CTPS2,1870.0,0.416273085,744.0,0.237858,0.362834386
CTSG,119.0,0.369503415,37.0,-4.786113,-0.887590821
CTSH,1072.0,0.446467856,1192.0,-0.83455,0.154524054
CUEDC1,2047.0,0.374410739,719.0,1.376934,0.856436823
CUX1,1040.0,0.395555213,127.0,1.473698,-0.275978629
CXCL10,814.0,0.410287201,105.0,1.25794,0.384134023
CXCL9,2323.0,0.403736618,74.0,0.65274,-0.265908904
CYBB,2544.0,0.418993019,61.0,-0.587024,-0.686905663
CYTH4,1837.0,0.406296106,377.0,-0.715492,0.057310149
DAB2,1757.0,0.368483127,531.0,-0.864087,-0.086858559
DAGLB,721.0,0.377719723,170.0,-0.314245,-1.709636797
DAP3,768.0,0.366492687,184.0,-0.596842,0.294085036
DAPP1,2082.0,0.348655603,90.0,-0.428791,-0.225375167
DBI,233.0,0.467027529,479.0,-0.584018,-1.931628564
DCAF8,1877.0,0.380310979,212.0,-0.411346,-0.466243527
DCP1A,4153.0,0.411936399,381.0,0.373546,0.68378203
DCPS,4731.0,0.375605648,329.0,-0.491863,0.211432639
DCTN5,10597.0,0.443116252,177.0,0.121901,0.282488191
DDAH2,653.0,0.361046801,1104.0,-0.401479,-0.003554584
DDB2,1223.0,0.43604051,195.0,-0.425782,0.496318173
DDX23,713.0,0.445931172,91.0,-0.08583,0.16202667
DDX31,1870.0,0.361830896,544.0,0.317241,0.099027614
DDX47,438.0,0.379294484,22.0,-0.600366,0.598389577
DDX54,1704.0,0.467316231,28.0,0.166345,-0.481848201
DDX56,586.0,0.438032149,643.0,0.001901,0.302502243
DDX59,217.0,0.413095257,243.0,0.642575,1.051754061
DHODH,3463.0,0.371608285,21.0,0.079908,0.51108477
DHPS,121.0,0.474111752,121.0,0.371661,0.516556001
DHX15,459.0,0.379133957,168.0,0.202845,0.128191166
DHX34,591.0,0.384465978,349.0,0.656489,0.616432079
DHX58,357.0,0.440330409,223.0,0.818446,0.466272037
DIABLO,719.0,0.425893605,1182.0,0.002149,0.043562972
DMAP1,63.0,0.471306,301.0,-0.29444,0.23612979
DMXL2,1274.0,0.389901613,225.0,0.987502,0.323693197
DNAJA4,1736.0,0.398301408,169.0,0.2265,-0.354483868
DNAJC19,1326.0,0.403482491,259.0,-0.612233,-0.321653784
DNAJC25,1212.0,0.430964931,56.0,-0.230944,0.893643992
DNAJC8,969.0,0.416719859,33.0,-0.598309,-0.924759883
DNM1,1255.0,0.393835111,116.0,-0.976427,0.536646543
DNTTIP2,3564.0,0.408096853,58.0,-0.577166,0.168060404
DOCK11,3681.0,0.373818855,63.0,-1.188825,0.010258582
DOCK2,524.0,0.446250827,52.0,-0.529901,-0.009015071
DOK2,438.0,0.384043737,481.0,-0.805779,0.420959189
DPCD,197.0,0.459155016,389.0,-0.486157,-0.531552748
DPF2,2501.0,0.393394442,133.0,-0.083484,0.086137365
DPH1,1310.0,0.448716064,341.0,-0.325914,-0.169068274
DPH5,784.0,0.413363166,165.0,-0.412859,-0.023121072
DPY30,562.0,0.438431353,279.0,-0.382101,1.168157449
DPYSL2,2472.0,0.430530829,431.0,-1.658337,-0.220543258
DRAP1,142.0,0.432809908,245.0,-0.366677,-1.204256126
DRG1,4594.0,0.444150091,131.0,-0.11988,0.416770374
DSN1,5330.0,0.392894937,373.0,1.267411,0.406611739
DSTN,2786.0,0.375776803,438.0,-0.373968,-0.377079152
DTX3L,3456.0,0.408848169,89.0,0.847887,0.043405723
DUSP12,374.0,0.419884133,34.0,-0.583001,0.058333589
DUT,1937.0,0.36471409,109.0,0.506224,0.778403269
DYNLT1,514.0,0.420362019,78.0,-0.552062,0.317981613
EBAG9,1437.0,0.39438748,402.0,0.379814,-1.508855332
ECH1,191.0,0.389477111,85.0,-0.750344,0.050579614
ECHDC2,2269.0,0.400166641,752.0,-0.219331,0.673771839
ECM1,322.0,0.43792189,199.0,-1.560749,-0.792995911
EDEM2,76.0,0.379021051,100.0,-0.588502,1.001239523
EEA1,5374.0,0.405861636,265.0,0.226134,-0.288344812
EEF1A2,286.0,0.417272363,329.0,-0.314339,-1.191663073
EFTUD2,1331.0,0.444646836,398.0,-0.063955,0.462949602
EHD1,3363.0,0.446314898,447.0,-1.574747,-0.125921115
EIF2AK2,8063.0,0.394727306,557.0,1.39347,0.836442269
EIF2B3,1058.0,0.383118637,239.0,0.336671,0.339668018
EIF3F,5840.0,0.435728237,33.0,-0.344588,0.424704559
EIF3L,1718.0,0.380710116,245.0,-0.090979,0.254748202
EIF4A3,1120.0,0.381528282,222.0,0.014932,0.261371648
ELAVL1,4910.0,0.437605432,167.0,0.267674,0.158988263
EMG1,248.0,0.433768095,143.0,-1.252205,0.408226576
EMILIN2,2605.0,0.379592019,159.0,-1.158018,-0.752190815
ENDOD1,7728.0,0.376426787,118.0,0.364161,-0.083106681
ENOSF1,2904.0,0.382279782,622.0,0.324667,0.109464486
ENY2,2576.0,0.41756619,146.0,-0.214813,0.921164866
EPSTI1,2106.0,0.391777705,469.0,0.155283,-0.524061045
ERCC1,2342.0,0.45058755,188.0,-0.012441,0.752270158
ERCC6L,4809.0,0.354829683,623.0,1.801644,1.049214922
ERH,415.0,0.383837906,71.0,-0.224053,0.22629197
ERLIN1,2041.0,0.444737514,478.0,0.222676,-0.309989886
ERP29,1277.0,0.401191178,118.0,-0.482535,0.008749721
ETV6,4356.0,0.398240844,274.0,-0.281607,-0.536669341
EXOC4,1232.0,0.388187525,35.0,0.369431,-0.177849208
EXOC8,6907.0,0.436106501,127.0,0.482009,-0.118490021
EXOSC1,536.0,0.430105347,451.0,-0.48526,0.273844204
EXOSC2,3902.0,0.431273517,32.0,0.482242,0.42522725
F8A1,571.0,0.46317284,15.0,-0.586935,0.668810868
FAAH,2043.0,0.384592892,82.0,0.108568,-0.005606939
FAF1,4425.0,0.401181969,453.0,0.100525,0.29700446
FAM122A,4542.0,0.40477622,33.0,0.462374,0.285320387
FAM168A,6285.0,0.395008865,285.0,1.287805,1.01358406
FAM177A1,2165.0,0.411149627,459.0,-0.2736,0.421339005
FAM192A,1824.0,0.379195199,1475.0,0.19228,-0.263667658
FAM20B,4428.0,0.4357945,293.0,0.434661,0.547774461
FAM32A,1091.0,0.408676074,42.0,-0.074647,-0.232993561
FAM50A,286.0,0.482889735,110.0,-0.350199,-0.411503273
FBP1,248.0,0.397353747,331.0,-0.507823,-0.054121129
FBXL20,9338.0,0.383104745,254.0,2.920145,1.325906225
FBXO4,526.0,0.393825218,58.0,-0.338405,0.250146341
FBXO6,503.0,0.42307306,166.0,-0.67519,-0.364770524
FCER1G,305.0,0.4202976,25.0,-0.997633,-1.124106725
FCGRT,309.0,0.433069976,486.0,0.159931,-0.249817778
FDPS,72.0,0.456397562,392.0,-0.282902,0.070276673
FDXR,596.0,0.384661194,188.0,-1.456546,-0.39865026
FEN1,1340.0,0.407867196,413.0,1.435493,1.281698535
FERMT3,399.0,0.435119014,149.0,-0.664381,0.23143736
FGD2,907.0,0.441856308,171.0,-0.386475,0.094620289
FGFR1OP2,1663.0,0.396595515,353.0,0.025658,-0.122985485
FGL2,3460.0,0.40966218,40.0,-0.799918,-1.40848452
FKBP1A,1132.0,0.428443098,174.0,-1.029165,0.145921464
FKBPL,24.0,0.377510344,270.0,-0.212505,-0.730440246
FLOT1,422.0,0.472159534,339.0,-0.517327,0.001573583
FN3K,442.0,0.389857108,61.0,-0.738458,-0.400914765
FN3KRP,3667.0,0.380720834,50.0,-0.307762,-0.376300268
FOXJ3,3176.0,0.401878681,312.0,0.394752,-0.332147489
FOXK2,3108.0,0.440496276,171.0,0.127437,0.236104529
FOXRED1,443.0,0.438630908,167.0,-0.292081,0.71385178
FSCN1,1184.0,0.396100853,132.0,-1.651274,-0.569063305
FTH1,530.0,0.425357612,235.0,0.340975,-0.61496128
FTL,1031.0,0.428438948,199.0,-0.400667,-0.610995315
FTSJ1,638.0,0.457521275,569.0,-0.177514,0.483757514
FTSJ3,698.0,0.388239396,646.0,0.411271,-0.792804851
FXN,6365.0,0.40465004,220.0,0.123057,-0.421450873
GABARAPL2,564.0,0.431291441,136.0,-0.168641,0.065780218
GABPB1,1320.0,0.423118524,469.0,0.236654,-0.178433767
GALK1,292.0,0.455574511,63.0,-0.651263,0.1064604
GANAB,989.0,0.425909644,1027.0,0.343939,0.380940014
GAS6,315.0,0.393865445,183.0,-0.848199,0.625950757
GAS7,6619.0,0.423630168,311.0,-0.705697,-0.497158193
GBE1,708.0,0.404013874,283.0,0.305664,-0.338632521
GBP1,1735.0,0.42614962,220.0,0.272947,-0.433947452
GBP2,5058.0,0.440134196,314.0,-0.799856,-0.284084133
GBP4,4106.0,0.42983554,116.0,0.990064,0.990298988
GBP5,1753.0,0.421901204,537.0,0.981068,0.278686818
GCH1,2011.0,0.419329122,161.0,0.58106,-3.021586579
GFOD2,622.0,0.396604754,295.0,0.223982,-0.121958075
GGA2,5408.0,0.377812588,83.0,-0.866976,-0.581587832
GGCX,5211.0,0.417836117,106.0,0.129493,-0.097788811
GIGYF1,2212.0,0.443456438,1210.0,0.679722,0.411132224
GINS3,1415.0,0.387351931,208.0,1.321184,1.028463455
GLA,1699.0,0.378726947,110.0,0.982608,0.158776063
GLE1,1357.0,0.383457083,114.0,0.059865,0.341882329
GLRX,1188.0,0.430296645,211.0,-0.782061,0.317828275
GLRX3,3557.0,0.41418463,539.0,-0.064517,0.37821365
GLUD1,1558.0,0.392454008,1132.0,-0.193017,0.427320631
GLYR1,2033.0,0.39940414,57.0,-0.345018,0.364612801
GMEB1,4582.0,0.43446142,142.0,0.127582,0.343647092
GMPPA,198.0,0.434966364,375.0,-0.54471,0.109160356
GMPR,3984.0,0.435743929,114.0,1.060821,0.571188947
GMPR2,464.0,0.453637396,704.0,-0.385158,-0.096755761
GNAI1,1947.0,0.435804474,356.0,-2.111858,-0.047777625
GNG7,3803.0,0.398730372,237.0,-0.905382,-0.02833633
GNPDA1,1360.0,0.395964134,67.0,0.246661,0.126671937
GOLGA2,1243.0,0.401070546,13.0,-0.245661,-0.37442477
GON4L,926.0,0.418089888,175.0,0.451807,0.618992587
GOSR1,5968.0,0.408103421,237.0,0.938767,-0.543676833
GOSR2,3258.0,0.374298057,541.0,-0.421352,-0.558307137
GOT2,1054.0,0.444803236,129.0,0.337068,0.029152569
GPS2,97.0,0.431122181,76.0,-1.021743,-0.109291686
GPSM2,4697.0,0.401967226,496.0,1.129992,0.607829606
GPX7,626.0,0.395840774,39.0,-1.7292,-0.364460889
GRAMD1A,299.0,0.411657297,748.0,0.334128,-0.404634043
GRB2,2292.0,0.4413596,358.0,-0.477549,-0.134074936
GSTM4,2467.0,0.390909061,314.0,-0.912077,0.281214531
GTF2A2,1070.0,0.420716795,404.0,-0.238052,-1.325626194
GTF2E2,604.0,0.365750105,273.0,-0.087057,-0.244201236
GTF3C2,932.0,0.372227001,397.0,-0.013775,0.284713235
GTPBP1,2894.0,0.424954603,154.0,0.252758,0.532625541
GTPBP3,1032.0,0.436547413,95.0,0.381186,0.502801727
GTSE1,680.0,0.368527868,212.0,1.801395,-1.643487878
GTSF1,222.0,0.36097632,86.0,0.239628,-3.078348664
HADH,818.0,0.383558671,219.0,0.102909,0.197851153
HADHA,615.0,0.383558671,130.0,-0.251473,0.325680782
HAUS5,3319.0,0.378752573,51.0,1.03324,0.207797933
HAUS8,346.0,0.37535995,111.0,0.591492,-0.403349602
HCCS,1274.0,0.398607648,275.0,0.089873,-0.624528089
HCK,337.0,0.440224323,364.0,-0.853144,0.263771682
HDAC1,591.0,0.390040122,63.0,-0.075671,0.524482003
HDDC3,763.0,0.387287166,29.0,0.025283,-0.309860945
HDGF,1342.0,0.465394593,322.0,-0.141673,-1.20393959
HDLBP,2343.0,0.397687311,375.0,-0.253107,-0.184568659
HEATR3,1385.0,0.384091545,883.0,0.716144,0.249580419
HEBP2,9119.0,0.359416339,297.0,-0.991452,-0.155259552
HECA,3704.0,0.443714129,285.0,0.031179,-0.60974343
HECTD3,3914.0,0.446742268,98.0,0.046996,0.244920783
HERC2,726.0,0.429958504,109.0,0.51942,0.215411928
HERC5,379.0,0.393838904,153.0,1.318753,1.088727057
HERC6,651.0,0.398146132,183.0,1.18359,0.092762037
HIP1,4874.0,0.430847644,52.0,1.634715,0.537757445
HLA-A,4150.0,0.424443523,84.0,0.487572,-1.803603242
HLA-C,420.0,0.421684519,65.0,-0.150082,1.765304067
HLA-DRA,409.0,0.420807891,109.0,-0.567166,-0.495648559
HLA-E,1459.0,0.413523771,126.0,-0.369865,-0.1217809
HLA-F,121.0,0.407256461,124.0,-0.339941,-1.737661349
HMBOX1,3560.0,0.369177113,482.0,0.967185,-0.418419197
HMBS,266.0,0.451934812,299.0,-0.024055,0.165009862
HMGB2,3775.0,0.450826504,193.0,1.417826,-0.075089995
HMGCS1,3661.0,0.374424323,345.0,0.188886,0.032635001
HMOX1,616.0,0.436401717,107.0,-0.910597,0.040449506
HNRNPA0,7504.0,0.386421138,284.0,-0.214665,-0.084232286
HNRNPD,1688.0,0.420386111,318.0,0.719381,0.771837933
HNRNPL,1102.0,0.449817015,176.0,0.423572,0.043061535
HNRNPU,4156.0,0.432126199,218.0,0.279608,0.354234222
HNRNPUL1,2135.0,0.394022965,339.0,0.49398,0.187254197
HNRNPUL2,2674.0,0.436897081,229.0,0.266972,0.513293013
HSBP1,3274.0,0.4454546,174.0,0.564848,0.128014499
HSD17B7,398.0,0.431983247,99.0,0.803661,0.164258701
HSP90AB1,313.0,0.39509298,251.0,0.305601,0.283408576
HSPA1L,428.0,0.464100714,183.0,-0.012982,0.991270856
HSPA4L,7877.0,0.413794867,342.0,2.072781,0.701844623
HSPB11,107.0,0.34538245,284.0,-0.734584,-0.343782915
HTRA2,571.0,0.421976635,602.0,-0.029301,0.563151044
HTT,3901.0,0.373695076,145.0,0.903164,0.220716331
HUS1,2068.0,0.374612864,131.0,0.001152,0.868513703
HYI,310.0,0.378597605,196.0,-0.885968,-0.393533145
HYOU1,1409.0,0.403839016,234.0,-0.458285,-0.511232943
ICAM1,1537.0,0.426062071,319.0,0.545331,0.097030505
IER3IP1,3342.0,0.438740024,97.0,0.292858,-1.06616723
IFI16,254.0,0.415211655,290.0,-1.019746,-0.574217639
IFI30,213.0,0.431523306,62.0,-0.613233,-0.566725482
IFI35,160.0,0.418462024,223.0,0.868382,0.515850277
IFI44,267.0,0.403888008,124.0,1.815307,1.703270793
IFI44L,5058.0,0.403608012,200.0,2.165822,1.536837421
IFIH1,121.0,0.412344512,377.0,1.379319,0.705372665
IFIT1,2775.0,0.411248073,495.0,2.318331,1.604521406
