,3prime,tAI,max_5_UTR_length,TCGA-A8-A076,TCGA-A8-A076.1
CLTA,288.0,0.450950874,514.0,0.18224,0.305789325
CLTB,319.0,0.48548545,210.0,-0.674486,0.070644979
CLTC,3104.0,0.384957863,443.0,2.684466,0.430072847
CNBP,6850.0,0.433298698,206.0,-0.225599,-0.150051884
CNPY2,123.0,0.392778455,553.0,0.496642,0.327971431
CNPY3,1042.0,0.459231502,584.0,0.1678,0.161740435
COG3,1967.0,0.414689223,142.0,-0.121241,-0.04297632
COMMD1,306.0,0.423842833,138.0,0.252437,-0.175377273
COMMD3,431.0,0.360487018,35.0,0.835646,-0.248112804
COMMD5,498.0,0.445713337,399.0,0.612838,0.103081011
COMMD6,1375.0,0.396967837,328.0,-0.934095,-0.252584291
COMMD9,2340.0,0.418062772,89.0,-0.131424,0.066369324
COPB1,446.0,0.381738818,307.0,0.622008,0.156462245
COPE,165.0,0.478760693,55.0,0.027013,-0.063944874
COQ6,671.0,0.374062527,159.0,0.046556,-0.289802303
COQ7,5700.0,0.42379098,133.0,-0.410192,-0.33948342
CORO1A,112.0,0.457388252,435.0,0.129428,0.05178956
COX17,1735.0,0.484254073,86.0,-0.354433,-0.3320753
COX5A,860.0,0.429944966,140.0,-0.431665,-0.476239918
COX7A2,302.0,0.441893926,98.0,-0.474232,-0.351450991
CPM,5262.0,0.406054343,75.0,0.579413,0.429723944
CPSF4,923.0,0.452412439,277.0,-0.690621,0.077676748
CPT1A,2761.0,0.374132033,170.0,1.104434,0.78260816
CPT2,602.0,0.431256564,515.0,0.04812,-0.336959054
CRCP,8457.0,0.390198146,145.0,0.061087,-0.026285355
CRKL,3904.0,0.422225684,509.0,0.184538,-0.044342712
CRTAP,5601.0,0.446308827,120.0,-0.08139,0.528886556
CRTC3,3205.0,0.355982524,186.0,-0.729712,-0.032075377
CRY2,2337.0,0.383442872,132.0,-0.420846,0.003823615
CRYL1,462.0,0.386242786,79.0,-0.632556,-0.024907294
CSRP1,1183.0,0.493833101,217.0,0.152445,0.193339067
CST3,2762.0,0.475763324,186.0,-0.947504,-0.380058462
CSTF2,1931.0,0.372934478,58.0,-0.42444,-0.326112966
CTBP1,800.0,0.464034004,393.0,-0.026224,-0.06074529
CTNNA1,1216.0,0.412513324,1103.0,-0.060614,-0.070015013
CTNNB1,1106.0,0.432073699,448.0,-0.113388,0.086946833
CTNNBIP1,2448.0,0.394834327,307.0,-0.454078,-0.097619267
CTPS2,1870.0,0.416273085,744.0,1.137606,0.389583851
CTSG,119.0,0.369503415,37.0,-1.313296,-0.472501439
CTSH,1072.0,0.446467856,1192.0,-0.568724,-0.534631558
CUEDC1,2047.0,0.374410739,719.0,0.497607,0.147046834
CUX1,1040.0,0.395555213,127.0,0.185001,0.185649122
CXCL10,814.0,0.410287201,105.0,0.412728,-1.168467887
CYBB,2544.0,0.418993019,61.0,0.278481,0.07899231
CYP2S1,1051.0,0.420869286,58.0,-0.113169,0.358595094
DAB2,1757.0,0.368483127,531.0,0.607251,0.482576516
DAGLB,721.0,0.377719723,170.0,0.247801,0.054253387
DAP3,768.0,0.366492687,184.0,-0.106681,-0.247252879
DAPP1,2082.0,0.348655603,90.0,-0.416572,-0.190768931
DBI,233.0,0.467027529,479.0,0.900039,-0.135129006
DCAF12,1967.0,0.42050769,342.0,0.188007,-0.114823244
DCAF8,1877.0,0.380310979,212.0,-0.126467,0.015557996
DCP1A,4153.0,0.411936399,381.0,0.230378,-0.119658935
DCPS,4731.0,0.375605648,329.0,-0.120495,-0.264527418
DCTN5,10597.0,0.443116252,177.0,0.548064,0.141433961
DDAH2,653.0,0.361046801,1104.0,0.037311,0.077807011
DDB2,1223.0,0.43604051,195.0,-0.166845,0.06639333
DDX23,713.0,0.445931172,91.0,0.566365,0.12630379
DDX31,1870.0,0.361830896,544.0,0.299083,0.338817383
DDX47,438.0,0.379294484,22.0,0.173891,0.26742687
DDX54,1704.0,0.467316231,28.0,0.117413,0.486201539
DDX56,586.0,0.438032149,643.0,0.617961,0.125455634
DDX59,217.0,0.413095257,243.0,0.008597,-0.146109431
DHODH,3463.0,0.371608285,21.0,0.506878,0.13961703
DHPS,121.0,0.474111752,121.0,-0.599683,0.014977408
DHX15,459.0,0.379133957,168.0,0.427403,0.071363917
DHX34,591.0,0.384465978,349.0,-0.065139,-0.075263705
DHX58,357.0,0.440330409,223.0,0.208436,0.336840544
DIABLO,719.0,0.425893605,1182.0,0.710061,0.253025012
DMAP1,63.0,0.471306,301.0,-0.095643,-0.195057648
DMXL2,1274.0,0.389901613,225.0,0.293969,0.083154562
DNAJA4,1736.0,0.398301408,169.0,0.204737,-0.090073704
DNAJC19,1326.0,0.403482491,259.0,-0.305915,-0.264936887
DNAJC25,1212.0,0.430964931,56.0,-0.031102,0.029681213
DNAJC8,969.0,0.416719859,33.0,-0.75319,-0.193269952
DNM1,1255.0,0.393835111,116.0,0.238369,0.062963571
DNTTIP2,3564.0,0.408096853,58.0,0.345635,0.076197757
DOCK11,3681.0,0.373818855,63.0,0.151404,0.218107198
DOCK2,524.0,0.446250827,52.0,0.626586,0.231737614
DOK2,438.0,0.384043737,481.0,0.153343,-0.086863683
DPCD,197.0,0.459155016,389.0,-0.508983,-0.414521861
DPF2,2501.0,0.393394442,133.0,0.178577,-0.106709344
DPH1,1310.0,0.448716064,341.0,-0.360998,-0.104720139
DPH5,784.0,0.413363166,165.0,0.129718,-0.087777034
DPY30,562.0,0.438431353,279.0,0.158348,0.119662419
DPYSL2,2472.0,0.430530829,431.0,-0.858914,-0.159610608
DRAP1,142.0,0.432809908,245.0,0.048309,0.432860399
DRG1,4594.0,0.444150091,131.0,0.266411,0.160821355
DSN1,5330.0,0.392894937,373.0,1.014765,0.194862659
DSTN,2786.0,0.375776803,438.0,0.748952,0.320022805
DTL,2265.0,0.372315747,921.0,0.915045,-0.02757938
DTX3L,3456.0,0.408848169,89.0,0.099248,-0.020967199
DUSP12,374.0,0.419884133,34.0,-0.365252,-0.238485141
DUT,1937.0,0.36471409,109.0,-0.134133,-0.301698983
DYNLT1,514.0,0.420362019,78.0,-0.04454,0.256963682
EBAG9,1437.0,0.39438748,402.0,0.650666,0.388050023
ECH1,191.0,0.389477111,85.0,-0.030839,-0.099328715
ECHDC2,2269.0,0.400166641,752.0,-0.03457,-0.179596631
ECM1,322.0,0.43792189,199.0,0.501632,0.066632929
EDEM2,76.0,0.379021051,100.0,0.510085,0.283150927
EEA1,5374.0,0.405861636,265.0,-0.270476,0.097067591
EEF1A2,286.0,0.417272363,329.0,-1.770797,-0.645103863
EFTUD2,1331.0,0.444646836,398.0,-0.157631,0.011969017
EHD1,3363.0,0.446314898,447.0,0.022936,-0.091616499
EIF2AK2,8063.0,0.394727306,557.0,1.633218,0.351565294
EIF2B3,1058.0,0.383118637,239.0,0.060806,-0.073707216
EIF3F,5840.0,0.435728237,33.0,-0.364255,-0.120463625
EIF3L,1718.0,0.380710116,245.0,-0.287024,0.063723991
EIF4A3,1120.0,0.381528282,222.0,0.363298,-0.009334594
ELAVL1,4910.0,0.437605432,167.0,-0.028618,-0.101502752
EMG1,248.0,0.433768095,143.0,0.782477,0.038030888
EMILIN2,2605.0,0.379592019,159.0,0.819872,0.083369398
ENDOD1,7728.0,0.376426787,118.0,1.109343,0.583629054
ENOSF1,2904.0,0.382279782,622.0,-0.813361,-0.549902489
ENY2,2576.0,0.41756619,146.0,0.731577,0.402037195
EPSTI1,2106.0,0.391777705,469.0,0.984899,0.448193982
ERCC1,2342.0,0.45058755,188.0,-0.845015,-0.22489927
ERCC6L,4809.0,0.354829683,623.0,1.13304,0.126330314
ERH,415.0,0.383837906,71.0,0.487517,-0.180512323
ERLIN1,2041.0,0.444737514,478.0,0.184542,0.514011223
ERP29,1277.0,0.401191178,118.0,0.583695,0.26718127
ETV6,4356.0,0.398240844,274.0,-0.197058,0.164867459
EXOC4,1232.0,0.388187525,35.0,-0.089387,0.01992765
EXOC8,6907.0,0.436106501,127.0,0.354749,0.065069468
EXOSC1,536.0,0.430105347,451.0,-0.343972,-0.037648444
EXOSC2,3902.0,0.431273517,32.0,0.301941,-0.057908405
F8A1,571.0,0.46317284,15.0,0.317112,0.123922272
FAAH,2043.0,0.384592892,82.0,-0.370814,-0.17274049
FAF1,4425.0,0.401181969,453.0,-0.131394,-0.239591254
FAM122A,4542.0,0.40477622,33.0,0.1029,0.08569863
FAM168A,6285.0,0.395008865,285.0,0.688522,0.143430074
FAM177A1,2165.0,0.411149627,459.0,-0.172606,-0.123568199
FAM192A,1824.0,0.379195199,1475.0,0.260758,0.26630782
FAM20B,4428.0,0.4357945,293.0,0.410651,0.344363902
FAM32A,1091.0,0.408676074,42.0,-0.052839,0.226169662
FAM50A,286.0,0.482889735,110.0,0.455356,0.026777404
FBP1,248.0,0.397353747,331.0,0.412866,-0.240703063
FBXL20,9338.0,0.383104745,254.0,1.576611,0.778888557
FBXO4,526.0,0.393825218,58.0,-0.686965,-0.244120296
FBXO6,503.0,0.42307306,166.0,-0.058818,0.203442922
FCER1G,305.0,0.4202976,25.0,0.576293,0.474632304
FCGRT,309.0,0.433069976,486.0,0.469419,0.204902629
FDPS,72.0,0.456397562,392.0,0.477357,0.078116201
FDXR,596.0,0.384661194,188.0,-0.155305,-0.366853371
FEN1,1340.0,0.407867196,413.0,0.532099,-0.109466356
FERMT3,399.0,0.435119014,149.0,0.370073,0.123359542
FGD2,907.0,0.441856308,171.0,0.486438,-0.102977814
FGFR1OP2,1663.0,0.396595515,353.0,0.022724,-0.006570036
FGL2,3460.0,0.40966218,40.0,-0.371895,0.098539759
FKBP1A,1132.0,0.428443098,174.0,0.304698,-0.014051219
FKBPL,24.0,0.377510344,270.0,0.081047,0.047574748
FLOT1,422.0,0.472159534,339.0,-0.163987,-0.411633915
FN3K,442.0,0.389857108,61.0,-0.065178,-0.170652171
FN3KRP,3667.0,0.380720834,50.0,-0.187765,-0.080829024
FOXJ3,3176.0,0.401878681,312.0,0.760919,0.276616971
FOXK2,3108.0,0.440496276,171.0,-0.40196,-0.047750937
FOXRED1,443.0,0.438630908,167.0,0.276186,0.109010684
FSCN1,1184.0,0.396100853,132.0,0.129736,0.287991888
FTH1,530.0,0.425357612,235.0,-0.07482,0.339049083
FTL,1031.0,0.428438948,199.0,0.504417,0.77621363
FTSJ1,638.0,0.457521275,569.0,0.336016,0.034778176
FTSJ3,698.0,0.388239396,646.0,1.65191,0.722760441
FXN,6365.0,0.40465004,220.0,0.122164,-0.141631258
GABARAPL2,564.0,0.431291441,136.0,-0.334142,-0.29828848
GABPB1,1320.0,0.423118524,469.0,-0.060512,0.18296745
GALK1,292.0,0.455574511,63.0,-0.32587,-0.101659613
GANAB,989.0,0.425909644,1027.0,0.238971,-0.128661104
GAS6,315.0,0.393865445,183.0,-1.411257,0.034515801
GAS7,6619.0,0.423630168,311.0,-0.063336,0.250629563
GBE1,708.0,0.404013874,283.0,0.007929,0.112417956
GBP1,1735.0,0.42614962,220.0,0.055052,-0.362037097
GBP2,5058.0,0.440134196,314.0,-0.903123,-0.131162229
GBP4,4106.0,0.42983554,116.0,-0.716682,-0.220422688
GBP5,1753.0,0.421901204,537.0,0.153744,-0.405070967
GCH1,2011.0,0.419329122,161.0,0.669509,-1.445199153
GFOD2,622.0,0.396604754,295.0,0.976473,0.10254345
GGA2,5408.0,0.377812588,83.0,-0.226907,-0.094781871
GGCX,5211.0,0.417836117,106.0,0.834006,0.365504643
GIGYF1,2212.0,0.443456438,1210.0,-0.495801,-0.18952291
GINS3,1415.0,0.387351931,208.0,0.896842,0.336854775
GLA,1699.0,0.378726947,110.0,-0.875121,-0.696327657
GLE1,1357.0,0.383457083,114.0,0.065326,0.065992994
GLRX,1188.0,0.430296645,211.0,-0.19599,-0.517392961
GLRX3,3557.0,0.41418463,539.0,-0.015932,-0.111869651
GLUD1,1558.0,0.392454008,1132.0,-0.621536,-0.482275678
GLYR1,2033.0,0.39940414,57.0,-0.179713,-0.152584452
GMEB1,4582.0,0.43446142,142.0,0.026684,-0.239398799
GMPPA,198.0,0.434966364,375.0,0.834795,0.252054197
GMPR,3984.0,0.435743929,114.0,1.152484,-0.036818724
GMPR2,464.0,0.453637396,704.0,0.091761,-0.168257423
GNAI1,1947.0,0.435804474,356.0,-0.658149,0.148609669
GNG7,3803.0,0.398730372,237.0,-1.811992,-0.407435
GNPDA1,1360.0,0.395964134,67.0,-0.248618,-0.087702885
GOLGA2,1243.0,0.401070546,13.0,0.020794,0.127701891
GON4L,926.0,0.418089888,175.0,0.215051,0.096397965
GOSR1,5968.0,0.408103421,237.0,-0.483357,0.169841366
GOSR2,3258.0,0.374298057,541.0,-0.252169,0.393529766
GOT2,1054.0,0.444803236,129.0,0.172221,-0.189629852
GPS2,97.0,0.431122181,76.0,-0.59046,-0.064202978
GPX7,626.0,0.395840774,39.0,-0.069674,0.372383151
GRAMD1A,299.0,0.411657297,748.0,-0.125997,0.492882817
GRB2,2292.0,0.4413596,358.0,-0.169768,-0.13653462
GSTM4,2467.0,0.390909061,314.0,-0.712512,-0.852718556
GTF2A2,1070.0,0.420716795,404.0,-0.435957,0.477705668
GTF2E2,604.0,0.365750105,273.0,-0.175669,0.033774226
GTF3C2,932.0,0.372227001,397.0,0.154681,0.183426947
GTPBP1,2894.0,0.424954603,154.0,-0.30198,-0.082533551
GTPBP3,1032.0,0.436547413,95.0,-0.384761,-0.305736457
GTSE1,680.0,0.368527868,212.0,-0.142753,-1.015072548
HADH,818.0,0.383558671,219.0,1.106767,-0.024551644
HADHA,615.0,0.383558671,130.0,-0.266083,-0.328881338
HAUS5,3319.0,0.378752573,51.0,-0.011981,0.158759529
HAUS8,346.0,0.37535995,111.0,0.361569,-0.347683214
HCCS,1274.0,0.398607648,275.0,0.869456,0.120775497
HCK,337.0,0.440224323,364.0,0.339539,0.054846718
HDAC1,591.0,0.390040122,63.0,-0.233232,-0.157896499
HDDC3,763.0,0.387287166,29.0,0.027021,0.211177368
HDGF,1342.0,0.465394593,322.0,-0.427362,-0.530509877
HDLBP,2343.0,0.397687311,375.0,0.404557,0.317021975
HEATR3,1385.0,0.384091545,883.0,0.677653,0.064767911
HEBP2,9119.0,0.359416339,297.0,0.084941,-0.047643189
HECA,3704.0,0.443714129,285.0,-0.356456,0.140162744
HECTD3,3914.0,0.446742268,98.0,0.099477,-0.080910735
HERC2,726.0,0.429958504,109.0,-0.119142,0.002795921
HERC5,379.0,0.393838904,153.0,0.750793,0.165910653
HERC6,651.0,0.398146132,183.0,2.291983,0.90830134
HIP1,4874.0,0.430847644,52.0,0.019709,0.141107374
HLA-A,4150.0,0.424443523,84.0,-0.15758,0.954142476
HLA-C,420.0,0.421684519,65.0,0.318699,-1.304691406
HLA-DRA,409.0,0.420807891,109.0,-0.06956,0.091867401
HLA-E,1459.0,0.413523771,126.0,-0.185042,0.115119648
HLA-F,121.0,0.407256461,124.0,-0.049799,-1.895807492
HMBOX1,3560.0,0.369177113,482.0,0.289978,-0.240302812
HMBS,266.0,0.451934812,299.0,0.060635,-0.040485297
HMGB2,3775.0,0.450826504,193.0,-0.116705,-0.314086887
HMGCS1,3661.0,0.374424323,345.0,-0.258115,-0.104626019
HMOX1,616.0,0.436401717,107.0,0.809673,0.295074327
HNRNPA0,7504.0,0.386421138,284.0,-0.046957,-0.114313958
HNRNPD,1688.0,0.420386111,318.0,0.27742,-0.234906711
HNRNPL,1102.0,0.449817015,176.0,-0.069156,-0.153395728
HNRNPU,4156.0,0.432126199,218.0,-0.048249,-0.145855733
HNRNPUL1,2135.0,0.394022965,339.0,-0.000474,-0.099837514
HNRNPUL2,2674.0,0.436897081,229.0,0.131113,-0.019815591
HSBP1,3274.0,0.4454546,174.0,0.098767,0.101750258
HSD17B7,398.0,0.431983247,99.0,-0.207645,-0.134044908
HSP90AB1,313.0,0.39509298,251.0,0.703012,-0.007509661
HSPA1L,428.0,0.464100714,183.0,0.397025,-0.667187257
HSPA4L,7877.0,0.413794867,342.0,-0.062976,-0.367163416
HSPB11,107.0,0.34538245,284.0,-0.778476,-0.389758205
HTRA2,571.0,0.421976635,602.0,-0.405632,-0.346736305
HTT,3901.0,0.373695076,145.0,0.605732,0.123832008
HUS1,2068.0,0.374612864,131.0,0.187275,-0.066458844
HYI,310.0,0.378597605,196.0,0.014395,-0.006490069
HYOU1,1409.0,0.403839016,234.0,0.806146,0.156439801
ICAM1,1537.0,0.426062071,319.0,-0.709993,-0.417110724
IER3IP1,3342.0,0.438740024,97.0,-0.14795,0.379600213
IFI16,254.0,0.415211655,290.0,-0.216729,0.365741445
IFI30,213.0,0.431523306,62.0,0.939751,0.401459025
IFI35,160.0,0.418462024,223.0,0.215458,-0.359115013
IFI44,267.0,0.403888008,124.0,1.528155,-0.531279705
IFI44L,5058.0,0.403608012,200.0,2.705858,-0.795673011
IFIH1,121.0,0.412344512,377.0,1.300348,0.238079176
IFIT1,2775.0,0.411248073,495.0,1.88386,0.123669024
IFIT2,1901.0,0.420797646,175.0,0.770818,-0.030609243
IFIT3,843.0,0.417440574,529.0,1.003374,-0.011376276
IFIT5,2354.0,0.414819429,231.0,0.162533,0.203097946
IFITM1,159.0,0.431550176,180.0,-0.369623,-0.205824581
IFT27,109.0,0.4030938,426.0,0.083879,-0.040456828
IGFBP3,1605.0,0.43060006,132.0,-0.232628,-0.183591399
IGFBP7,558.0,0.392734536,34.0,0.135064,0.330400384
IL16,3965.0,0.367979445,2395.0,-0.333121,-0.013115025
IL17RA,5874.0,0.376798811,133.0,0.102365,-0.029889183
IL1RN,1145.0,0.411881061,408.0,0.552491,-0.582146876
