,3prime,tAI,max_5_UTR_length,TCGA-C8-A12T,TCGA-C8-A12T.1
ASF1B,950.0,0.395794233,172.0,0.933724,0.502398176
ASS1,1357.0,0.394201053,356.0,-2.358848,-0.766151983
ATPAF1,3039.0,0.439253133,510.0,-0.03394,-0.193008278
ATRIP,162.0,0.417082642,462.0,0.548134,-0.099662302
AXL,1863.0,0.417061167,376.0,0.896953,0.141603663
BAG1,2764.0,0.431693656,501.0,-0.348684,-0.184166446
BAG3,537.0,0.387438444,306.0,1.038948,0.085489742
BASP1,971.0,0.520859146,259.0,0.473505,-0.197935223
BBS7,1531.0,0.408023089,184.0,0.095022,0.53267417
BCAT2,364.0,0.445598481,657.0,0.766125,0.115625024
BCKDHB,3082.0,0.419736544,88.0,-0.072276,0.276203563
BCL2,5279.0,0.374049285,493.0,-0.768001,-0.451447437
BCL2L13,4109.0,0.411790332,769.0,-0.112726,-0.075567976
BID,4193.0,0.428633517,498.0,0.045131,0.242573112
BLVRA,3376.0,0.414260839,177.0,-0.42269,-0.143993236
BOLA2,40.0,0.43059393,513.0,0.207825,-0.118814566
BOLA3,383.0,0.406657227,38.0,0.661911,-0.309145776
BRD2,787.0,0.377809737,2066.0,0.030772,0.036987743
BRD3,3285.0,0.401150236,188.0,-0.244425,-0.063888753
BSPRY,1091.0,0.380011644,48.0,0.106053,-0.019489348
BST2,411.0,0.444557266,81.0,-0.243884,-0.938947963
BUB3,1535.0,0.421992618,242.0,1.273885,0.080304151
C1QB,152.0,0.436596666,340.0,0.190809,-0.28106601
C1QC,327.0,0.41150294,283.0,0.546088,-0.474416745
C2CD3,671.0,0.360398895,227.0,-0.221865,-0.195598055
C3,5088.0,0.430632158,93.0,-1.076294,-0.042639253
CAP1,1134.0,0.406948565,416.0,0.420871,0.02194385
CAPN1,720.0,0.455130071,197.0,0.654109,0.356055561
CAPRIN1,5632.0,0.374918508,189.0,0.067783,0.149514119
CAPZB,5180.0,0.446052528,622.0,0.760876,0.32291374
CARD16,437.0,0.41300235,27.0,-0.214825,0.195259509
CARHSP1,4898.0,0.362100245,360.0,0.678882,-0.165908737
CASC3,1778.0,0.370720542,295.0,-0.90501,-0.11668199
CASP1,750.0,0.424742838,44.0,-0.895144,0.145251099
CASP8,1794.0,0.376118708,303.0,-0.775733,0.465711976
CAT,629.0,0.397270122,89.0,0.580231,0.033833783
CBL,8368.0,0.375957197,142.0,-0.12921,0.381956886
CBLL1,3286.0,0.400851504,467.0,0.332335,0.409625959
CBR3,54.0,0.445176236,228.0,-0.714139,-0.613096831
CBS,4385.0,0.477784031,626.0,-0.95869,-0.925138562
CBX5,10815.0,0.390902295,318.0,0.187431,0.770809238
CBX8,2504.0,0.36735217,118.0,0.331721,-0.346072116
CCDC115,2169.0,0.385110507,452.0,-0.028691,0.210036574
CCDC58,2462.0,0.421830022,75.0,0.038422,-0.082320465
CCDC88C,1302.0,0.396031427,154.0,0.159308,0.045388793
CCL5,886.0,0.462166288,68.0,-0.306263,-0.410817015
CCNA2,1206.0,0.409154498,373.0,1.363869,-1.255115217
CCNB2,168.0,0.374401461,184.0,1.667482,0.265150789
CCNDBP1,2336.0,0.44393643,231.0,-0.296312,-0.407568217
CCS,4244.0,0.460896681,43.0,0.64344,0.282892072
CCT3,238.0,0.457984718,231.0,0.522694,0.272497896
CCT4,1361.0,0.393363555,164.0,0.788813,0.113794486
CD14,128.0,0.416321757,392.0,0.777935,-0.053917953
CD209,3046.0,0.440000747,67.0,-0.438321,-0.18033909
CD36,2894.0,0.410517795,414.0,-3.058011,-0.948640359
CD40,982.0,0.429065654,90.0,0.184042,-0.211469545
CD44,3115.0,0.39995987,434.0,0.524377,-0.751746904
CD63,923.0,0.512738356,403.0,0.179417,-1.585959037
CD74,635.0,0.427357309,187.0,-0.211093,-0.037307698
CDC25C,437.0,0.364786128,387.0,1.78007,0.239204881
CDC26,271.0,0.395637029,359.0,0.043008,0.165700621
CDC34,560.0,0.46431386,199.0,0.560367,0.165971164
CDC42EP3,3941.0,0.420378821,1009.0,-0.438942,0.039143774
CDCA8,1353.0,0.384295288,290.0,1.723989,-0.060014141
CDIPT,1864.0,0.442654716,541.0,-0.149743,-1.637610853
CDK1,2313.0,0.398329505,154.0,1.848464,0.223130976
CDK19,4557.0,0.421511824,180.0,0.37935,-0.218948008
CDK2AP1,766.0,0.439144625,522.0,0.287327,0.242427017
CDK5RAP2,367.0,0.371069462,192.0,0.110769,0.289128516
CDK5RAP3,284.0,0.469750898,1791.0,-0.95685,0.069199781
CDKAL1,1365.0,0.417875209,167.0,0.170731,0.050533011
CDKN2AIPNL,3639.0,0.409801696,53.0,0.829688,0.046571635
CDKN2C,2247.0,0.381912025,1216.0,0.543114,0.067500671
CENPV,301.0,0.385948267,62.0,2.226029,0.03194735
CEP55,939.0,0.397841874,304.0,1.47479,0.335408733
CETN2,868.0,0.433727498,47.0,0.179889,0.27523002
CFL1,677.0,0.502791,234.0,1.226304,0.285281983
CHAC2,786.0,0.395629742,277.0,0.667854,0.661235953
CHCHD4,3528.0,0.445497334,326.0,0.109882,-0.693131733
CHMP4A,296.0,0.447100154,262.0,0.435409,0.340068091
CHMP5,1241.0,0.442987983,200.0,-0.530309,-0.029477583
CHMP6,980.0,0.489861105,78.0,0.165219,0.097764378
CHTF8,2425.0,0.424551152,142.0,0.167334,-0.058941015
CIAPIN1,1024.0,0.451663323,242.0,0.899341,0.248300558
CISD2,5376.0,0.433298698,107.0,0.325016,-0.870485138
CKAP4,2872.0,0.386259817,84.0,0.112691,-0.873096205
CKS2,300.0,0.317949998,98.0,1.15639,0.366185765
CLCC1,5185.0,0.369704467,150.0,-0.035742,-0.467704675
CLCN7,1698.0,0.459147749,110.0,-0.097506,-0.256258836
CLIC1,290.0,0.4571302,573.0,0.484392,0.25870996
CLK2,350.0,0.410673686,925.0,-0.628951,-0.746090782
CLK3,1233.0,0.4268607,461.0,-0.168521,0.20117981
CLPTM1,458.0,0.383990827,351.0,0.400235,-0.704811974
CLTA,288.0,0.450950874,514.0,0.142396,-0.338066191
CLTB,319.0,0.48548545,210.0,0.77375,-0.029160834
CLTC,3104.0,0.384957863,443.0,-0.054061,-0.172113632
CNBP,6850.0,0.433298698,206.0,0.189054,-0.078967845
CNPY2,123.0,0.392778455,553.0,0.059895,0.075113433
CNPY3,1042.0,0.459231502,584.0,0.194919,-0.215819352
COG3,1967.0,0.414689223,142.0,-0.307094,0.281379104
COMMD1,306.0,0.423842833,138.0,0.557995,0.468451831
COMMD3,431.0,0.360487018,35.0,0.395019,0.350098037
COMMD5,498.0,0.445713337,399.0,-0.16077,0.084906101
COMMD6,1375.0,0.396967837,328.0,-0.047225,0.353468867
COMMD9,2340.0,0.418062772,89.0,0.011033,0.292831016
COPB1,446.0,0.381738818,307.0,0.189608,0.057217146
COPE,165.0,0.478760693,55.0,0.448373,0.274160274
COQ6,671.0,0.374062527,159.0,0.329327,-0.083908855
COQ7,5700.0,0.42379098,133.0,-0.413647,-0.151071796
CORO1A,112.0,0.457388252,435.0,-0.065116,0.037043457
COX17,1735.0,0.484254073,86.0,0.27106,-0.860396794
COX5A,860.0,0.429944966,140.0,0.736696,-0.048159719
COX7A2,302.0,0.441893926,98.0,-0.059104,0.094023787
CPM,5262.0,0.406054343,75.0,-1.33274,-1.662792595
CPSF4,923.0,0.452412439,277.0,-0.155597,0.113124376
CPT1A,2761.0,0.374132033,170.0,-1.464087,-1.117503212
CPT2,602.0,0.431256564,515.0,-0.185047,-0.32486619
CRCP,8457.0,0.390198146,145.0,-0.661386,-0.282301568
CRKL,3904.0,0.422225684,509.0,0.096543,0.310809076
CRTAP,5601.0,0.446308827,120.0,0.287563,0.208258001
CRTC3,3205.0,0.355982524,186.0,-0.505264,0.059975208
CRYL1,462.0,0.386242786,79.0,-0.084616,0.065204544
CSRP1,1183.0,0.493833101,217.0,0.430141,0.198954636
CST3,2762.0,0.475763324,186.0,-0.706219,-0.173916557
CSTF2,1931.0,0.372934478,58.0,0.623341,-0.108073312
CTBP1,800.0,0.464034004,393.0,0.455141,0.469407412
CTNNA1,1216.0,0.412513324,1103.0,1.131913,0.087676989
CTNNB1,1106.0,0.432073699,448.0,0.023789,0.14975834
CTNNBIP1,2448.0,0.394834327,307.0,0.566789,0.304901089
CTPS2,1870.0,0.416273085,744.0,-0.419031,0.041174533
CTSG,119.0,0.369503415,37.0,0.017382,-0.466574091
CTSH,1072.0,0.446467856,1192.0,-0.474851,-0.01923933
CUEDC1,2047.0,0.374410739,719.0,-0.595844,-0.139162376
CUX1,1040.0,0.395555213,127.0,1.141688,-0.092550221
CXCL10,814.0,0.410287201,105.0,0.250392,-0.057326814
CXCL9,2323.0,0.403736618,74.0,0.477489,0.387189545
CYBB,2544.0,0.418993019,61.0,-0.453123,-0.878491477
CYP2S1,1051.0,0.420869286,58.0,0.700068,-0.491732189
CYTH4,1837.0,0.406296106,377.0,-0.068158,0.065554092
DAB2,1757.0,0.368483127,531.0,0.303542,0.118770687
DAGLB,721.0,0.377719723,170.0,-0.027583,-0.463161375
DAP3,768.0,0.366492687,184.0,-0.326195,-0.07369509
DAPP1,2082.0,0.348655603,90.0,-1.334582,0.248027394
DBI,233.0,0.467027529,479.0,-0.202612,0.015678135
DCAF8,1877.0,0.380310979,212.0,-0.82218,-0.317088035
DCP1A,4153.0,0.411936399,381.0,-0.506184,0.206030414
DCPS,4731.0,0.375605648,329.0,1.341175,0.462582893
DCTN5,10597.0,0.443116252,177.0,0.005885,0.204655942
DDAH2,653.0,0.361046801,1104.0,0.839203,0.365144247
DDB2,1223.0,0.43604051,195.0,-0.883701,-0.340620255
DDX23,713.0,0.445931172,91.0,0.533479,-0.033992034
DDX31,1870.0,0.361830896,544.0,-0.387606,-0.324066432
DDX47,438.0,0.379294484,22.0,0.221483,0.310750442
DDX54,1704.0,0.467316231,28.0,0.979708,0.003814136
DDX56,586.0,0.438032149,643.0,0.20334,-0.170137185
DDX59,217.0,0.413095257,243.0,-0.542826,0.236882093
DHODH,3463.0,0.371608285,21.0,0.602981,0.105309002
DHPS,121.0,0.474111752,121.0,-0.114612,0.062341672
DHX15,459.0,0.379133957,168.0,0.023358,0.072669868
DHX34,591.0,0.384465978,349.0,-0.222204,-0.327990562
DHX58,357.0,0.440330409,223.0,-0.213402,0.051348945
DIABLO,719.0,0.425893605,1182.0,0.355212,-0.173070382
DMAP1,63.0,0.471306,301.0,0.413164,0.015110826
DMXL2,1274.0,0.389901613,225.0,-1.372592,-0.068623384
DNAJA4,1736.0,0.398301408,169.0,0.032848,-0.240146902
DNAJC19,1326.0,0.403482491,259.0,-0.44946,-0.724266035
DNAJC25,1212.0,0.430964931,56.0,-0.166201,0.124497933
DNAJC8,969.0,0.416719859,33.0,0.29291,-0.018806143
DNM1,1255.0,0.393835111,116.0,0.859613,0.428659492
DNTTIP2,3564.0,0.408096853,58.0,0.052159,0.194824726
DOCK11,3681.0,0.373818855,63.0,-0.357347,-0.011823216
DOCK2,524.0,0.446250827,52.0,-0.340483,-0.010365566
DOK2,438.0,0.384043737,481.0,0.28475,0.294478721
DPCD,197.0,0.459155016,389.0,1.013244,-0.024644851
DPF2,2501.0,0.393394442,133.0,1.030024,0.333400803
DPH1,1310.0,0.448716064,341.0,-0.143044,-0.101314766
DPH5,784.0,0.413363166,165.0,0.389527,0.397709401
DPY30,562.0,0.438431353,279.0,0.248748,0.525894848
DPYSL2,2472.0,0.430530829,431.0,-0.263899,0.23473784
DRAP1,142.0,0.432809908,245.0,1.285925,0.034325491
DRG1,4594.0,0.444150091,131.0,0.707089,0.132519595
DSN1,5330.0,0.392894937,373.0,-0.608071,-0.232539805
DSTN,2786.0,0.375776803,438.0,0.454191,-0.111810494
DTL,2265.0,0.372315747,921.0,0.480015,-0.004960995
DTX3L,3456.0,0.408848169,89.0,-0.129005,-0.03801354
DUSP12,374.0,0.419884133,34.0,-0.99013,0.251745975
DUT,1937.0,0.36471409,109.0,0.232338,-0.039223611
DYNLT1,514.0,0.420362019,78.0,0.386806,0.430944478
EBAG9,1437.0,0.39438748,402.0,0.598924,0.060287974
ECH1,191.0,0.389477111,85.0,0.049186,-0.327046367
ECHDC2,2269.0,0.400166641,752.0,-0.055605,0.153162408
ECM1,322.0,0.43792189,199.0,1.537104,0.087638037
EDEM2,76.0,0.379021051,100.0,0.588326,0.284981696
EEA1,5374.0,0.405861636,265.0,-0.387184,0.139869825
EEF1A2,286.0,0.417272363,329.0,4.167786,0.025713524
EFTUD2,1331.0,0.444646836,398.0,0.054191,0.120051012
EHD1,3363.0,0.446314898,447.0,0.809991,0.325926667
EIF2AK2,8063.0,0.394727306,557.0,-0.322074,0.221265603
EIF2B3,1058.0,0.383118637,239.0,0.289163,-0.019431117
EIF3F,5840.0,0.435728237,33.0,0.840308,0.344508387
EIF3L,1718.0,0.380710116,245.0,0.579889,0.085741826
EIF4A3,1120.0,0.381528282,222.0,0.475008,0.119354738
ELAVL1,4910.0,0.437605432,167.0,0.136124,-0.036758939
EMG1,248.0,0.433768095,143.0,0.342382,0.193215045
EMILIN2,2605.0,0.379592019,159.0,0.158483,0.002096795
ENDOD1,7728.0,0.376426787,118.0,-0.874085,-0.710293448
ENOSF1,2904.0,0.382279782,622.0,1.351528,0.172084089
ENY2,2576.0,0.41756619,146.0,0.698462,0.025551118
EPSTI1,2106.0,0.391777705,469.0,0.715704,-0.413788733
ERCC1,2342.0,0.45058755,188.0,0.027914,-0.652594158
ERCC6L,4809.0,0.354829683,623.0,1.172104,0.111840919
ERH,415.0,0.383837906,71.0,0.461942,-0.046207608
ERLIN1,2041.0,0.444737514,478.0,0.660883,-0.079361398
ERP29,1277.0,0.401191178,118.0,0.325969,0.191645453
ETV6,4356.0,0.398240844,274.0,-0.593073,-0.352878909
EXOC4,1232.0,0.388187525,35.0,0.129565,0.019419945
EXOC8,6907.0,0.436106501,127.0,-0.780575,0.147739051
EXOSC1,536.0,0.430105347,451.0,0.74155,0.249405604
EXOSC2,3902.0,0.431273517,32.0,0.15181,0.292238697
F8A1,571.0,0.46317284,15.0,0.3883,0.310571275
FAAH,2043.0,0.384592892,82.0,0.279044,-0.349615151
FAF1,4425.0,0.401181969,453.0,0.581984,0.266817212
FAM122A,4542.0,0.40477622,33.0,-0.754599,0.155078894
FAM168A,6285.0,0.395008865,285.0,0.06409,0.222281841
FAM177A1,2165.0,0.411149627,459.0,0.254714,0.343947466
FAM192A,1824.0,0.379195199,1475.0,0.332218,-0.13175641
FAM20B,4428.0,0.4357945,293.0,-0.428969,-0.366659979
FAM32A,1091.0,0.408676074,42.0,0.098803,0.416411864
FAM50A,286.0,0.482889735,110.0,0.393677,0.073068618
FBP1,248.0,0.397353747,331.0,-0.094899,-0.546305926
FBXL20,9338.0,0.383104745,254.0,-0.75638,-0.993131465
FBXO4,526.0,0.393825218,58.0,-0.07289,0.074217198
FBXO6,503.0,0.42307306,166.0,0.711911,0.70085519
FCER1G,305.0,0.4202976,25.0,0.251452,-0.955748196
FCGRT,309.0,0.433069976,486.0,1.315202,-0.047327936
FCHO1,270.0,0.372951657,283.0,-0.676436,-0.049859413
FDPS,72.0,0.456397562,392.0,-0.086574,-0.312486515
FDXR,596.0,0.384661194,188.0,0.515912,-0.433478788
FEN1,1340.0,0.407867196,413.0,0.626452,-0.032909006
FERMT3,399.0,0.435119014,149.0,0.322809,0.080548474
FGD2,907.0,0.441856308,171.0,-0.564142,0.180120256
FGFR1OP2,1663.0,0.396595515,353.0,-0.477605,0.373663675
FGL2,3460.0,0.40966218,40.0,-1.055234,-0.301039923
FKBP1A,1132.0,0.428443098,174.0,0.366792,0.267967333
FKBPL,24.0,0.377510344,270.0,0.115073,0.134148589
FLOT1,422.0,0.472159534,339.0,0.055828,0.31995448
FN3K,442.0,0.389857108,61.0,0.453642,-0.415025908
FN3KRP,3667.0,0.380720834,50.0,0.616193,-0.139394513
FOXJ3,3176.0,0.401878681,312.0,-0.138817,0.200697699
FOXK2,3108.0,0.440496276,171.0,0.167485,0.11092895
FOXRED1,443.0,0.438630908,167.0,0.906643,0.067800647
FSCN1,1184.0,0.396100853,132.0,1.131548,-0.031646248
FTH1,530.0,0.425357612,235.0,0.408686,0.202118485
FTL,1031.0,0.428438948,199.0,0.93854,-0.041261183
FTSJ1,638.0,0.457521275,569.0,0.411826,0.299997165
FTSJ3,698.0,0.388239396,646.0,0.122566,-0.232193398
FXN,6365.0,0.40465004,220.0,-0.696988,-0.004584457
GABARAPL2,564.0,0.431291441,136.0,0.002114,-0.128080061
GABPB1,1320.0,0.423118524,469.0,-0.06428,-0.195047798
GALK1,292.0,0.455574511,63.0,0.355805,-0.223028351
GANAB,989.0,0.425909644,1027.0,0.099509,0.205141716
GAS6,315.0,0.393865445,183.0,0.811489,0.463425685
GAS7,6619.0,0.423630168,311.0,-0.267169,0.021357707
GBE1,708.0,0.404013874,283.0,0.704733,-0.07128819
GBP1,1735.0,0.42614962,220.0,0.465751,0.071237096
GBP2,5058.0,0.440134196,314.0,0.261494,0.318754522
GBP4,4106.0,0.42983554,116.0,-1.080384,-0.084908166
GBP5,1753.0,0.421901204,537.0,0.589542,0.13161608
GCH1,2011.0,0.419329122,161.0,-0.318524,0.183101973
GFOD2,622.0,0.396604754,295.0,0.253105,0.882611035
GGA2,5408.0,0.377812588,83.0,-0.818516,-0.143032645
GIGYF1,2212.0,0.443456438,1210.0,-0.569227,0.048845089
GINS3,1415.0,0.387351931,208.0,1.00981,0.332265926
GLA,1699.0,0.378726947,110.0,-0.220905,0.244654451
GLE1,1357.0,0.383457083,114.0,-0.02846,-0.039728971
GLRX,1188.0,0.430296645,211.0,-0.913117,-0.275930655
GLRX3,3557.0,0.41418463,539.0,1.253308,0.316510618
GLUD1,1558.0,0.392454008,1132.0,0.457751,0.027622503
GLYR1,2033.0,0.39940414,57.0,-0.09468,0.239530649
GMEB1,4582.0,0.43446142,142.0,0.261198,0.275492955
GMPPA,198.0,0.434966364,375.0,-0.182041,0.179918102
GMPR,3984.0,0.435743929,114.0,-0.706644,-0.473066456
GMPR2,464.0,0.453637396,704.0,-0.177584,-0.15170193
GNAI1,1947.0,0.435804474,356.0,-0.948671,-0.235012276
GNG7,3803.0,0.398730372,237.0,0.238524,0.166433292
GNPDA1,1360.0,0.395964134,67.0,-0.036959,0.194929517
GOLGA2,1243.0,0.401070546,13.0,0.066952,-0.029286973
GON4L,926.0,0.418089888,175.0,-0.663509,-0.119511884
GOSR1,5968.0,0.408103421,237.0,-0.816877,-0.335505833
GOSR2,3258.0,0.374298057,541.0,-0.617655,-0.73638837
GOT2,1054.0,0.444803236,129.0,0.183084,-0.438267823
GPS2,97.0,0.431122181,76.0,0.085358,-0.015917973
GPX7,626.0,0.395840774,39.0,0.9751,0.345973751
GRAMD1A,299.0,0.411657297,748.0,-0.015048,-0.578956731
GRB2,2292.0,0.4413596,358.0,0.056425,-0.07688982
GSTM4,2467.0,0.390909061,314.0,0.478983,-0.213374059
GTF2A2,1070.0,0.420716795,404.0,-0.057302,-0.508914512
GTF2E2,604.0,0.365750105,273.0,0.752785,-0.442424903
GTF3C2,932.0,0.372227001,397.0,0.255689,-0.090099485
GTPBP1,2894.0,0.424954603,154.0,0.125742,0.107134213
GTPBP3,1032.0,0.436547413,95.0,-0.248519,-0.162639041
GTSE1,680.0,0.368527868,212.0,1.244189,0.251870758
HADH,818.0,0.383558671,219.0,0.761617,0.086175495
HADHA,615.0,0.383558671,130.0,-0.185666,-0.116306488
HAUS5,3319.0,0.378752573,51.0,-0.059113,-0.006756367
HAUS8,346.0,0.37535995,111.0,0.57269,-0.052252679
HCCS,1274.0,0.398607648,275.0,0.024084,-0.579687503
HCK,337.0,0.440224323,364.0,0.15731,-0.007656584
HDAC1,591.0,0.390040122,63.0,0.60831,0.294502266
HDDC3,763.0,0.387287166,29.0,-0.396523,-0.466085912
HDGF,1342.0,0.465394593,322.0,0.194303,-0.056512957
HDLBP,2343.0,0.397687311,375.0,-0.032414,0.22792775
HEATR3,1385.0,0.384091545,883.0,0.786001,0.432634183
HEBP2,9119.0,0.359416339,297.0,0.129439,0.135995047
HECA,3704.0,0.443714129,285.0,-0.869522,-0.40709202
HECTD3,3914.0,0.446742268,98.0,0.516596,0.363241437
HERC2,726.0,0.429958504,109.0,-0.904214,0.016132875
HERC5,379.0,0.393838904,153.0,-0.067862,-0.111684062
HERC6,651.0,0.398146132,183.0,0.202777,-0.015561454
HIP1,4874.0,0.430847644,52.0,-0.458234,-0.160151119
HLA-A,4150.0,0.424443523,84.0,0.013586,-0.5212514
HLA-C,420.0,0.421684519,65.0,-0.287878,-0.012872491
HLA-DRA,409.0,0.420807891,109.0,-0.40299,-0.106026823
HLA-E,1459.0,0.413523771,126.0,-0.11808,-0.124217415
HLA-F,121.0,0.407256461,124.0,-0.062746,-0.153776091
HMBOX1,3560.0,0.369177113,482.0,-0.344541,-0.121625777
HMBS,266.0,0.451934812,299.0,0.091321,0.212142078
HMGB2,3775.0,0.450826504,193.0,1.165789,-0.432682505
HMGCS1,3661.0,0.374424323,345.0,-0.079632,0.272060679
HMOX1,616.0,0.436401717,107.0,0.771684,-0.170213175
HNRNPA0,7504.0,0.386421138,284.0,0.591595,0.120354889
HNRNPD,1688.0,0.420386111,318.0,0.254028,-0.062843424
HNRNPL,1102.0,0.449817015,176.0,0.317632,0.065953034
HNRNPU,4156.0,0.432126199,218.0,0.196505,-0.122599564
HNRNPUL1,2135.0,0.394022965,339.0,0.43863,-0.009307709
HNRNPUL2,2674.0,0.436897081,229.0,0.525661,0.045682522
HSBP1,3274.0,0.4454546,174.0,0.685584,0.383039114
HSD11B1,4482.0,0.426649415,154.0,-1.342346,0.017014039
HSD17B7,398.0,0.431983247,99.0,-0.643649,0.129475516
HSP90AB1,313.0,0.39509298,251.0,0.681136,0.08968183
HSPA4L,7877.0,0.413794867,342.0,-1.226971,-0.637684654
HSPB11,107.0,0.34538245,284.0,0.158704,0.300781213
HTRA2,571.0,0.421976635,602.0,-0.118005,-0.202260887
HTT,3901.0,0.373695076,145.0,0.529023,0.024761225
HUS1,2068.0,0.374612864,131.0,-0.449243,-0.100425543
HYI,310.0,0.378597605,196.0,0.260379,0.345635461
HYOU1,1409.0,0.403839016,234.0,0.945358,0.560188832
ICAM1,1537.0,0.426062071,319.0,-0.1666,-0.046657698
IER3IP1,3342.0,0.438740024,97.0,0.031632,-0.30435611
IFI16,254.0,0.415211655,290.0,-0.187568,-0.214828814
IFI30,213.0,0.431523306,62.0,0.435625,-0.35710211
IFI35,160.0,0.418462024,223.0,-0.273689,0.303786082
IFI44,267.0,0.403888008,124.0,-0.270635,-0.389203532
IFI44L,5058.0,0.403608012,200.0,-0.668728,-0.199706567
IFIH1,121.0,0.412344512,377.0,-0.525252,-0.172373484
IFIT1,2775.0,0.411248073,495.0,-0.449309,-0.196788856
IFIT2,1901.0,0.420797646,175.0,-0.448413,-0.571314126
IFIT3,843.0,0.417440574,529.0,0.116579,-0.110307461
IFIT5,2354.0,0.414819429,231.0,-0.616082,-0.313571739
IFITM1,159.0,0.431550176,180.0,-0.004554,0.199004098
IFT27,109.0,0.4030938,426.0,0.374489,0.340268494
IGFBP3,1605.0,0.43060006,132.0,0.432542,0.114895817
IGFBP7,558.0,0.392734536,34.0,0.641936,0.21199157
IL16,3965.0,0.367979445,2395.0,0.159777,0.304860114
IL17RA,5874.0,0.376798811,133.0,-0.392423,-1.12698951
