,3prime,tAI,max_5_UTR_length,TCGA-C8-A135,TCGA-C8-A135.1
CENPH,1478.0,0.418392258,87.0,0.543301,0.382971371
CENPV,301.0,0.385948267,62.0,-2.115619,-1.310164571
CEP55,939.0,0.397841874,304.0,0.744579,-0.165902455
CES3,2100.0,0.377378956,446.0,-3.749809,-0.271004651
CETN2,868.0,0.433727498,47.0,0.216565,-0.238535144
CFL1,677.0,0.502791,234.0,2.136882,0.826370764
CHAC2,786.0,0.395629742,277.0,1.0105,0.448103325
CHCHD4,3528.0,0.445497334,326.0,-0.042373,-0.713691822
CHMP4A,296.0,0.447100154,262.0,0.636483,0.098991783
CHMP5,1241.0,0.442987983,200.0,-0.613738,-0.886378302
CHMP6,980.0,0.489861105,78.0,0.475661,0.224516143
CIAPIN1,1024.0,0.451663323,242.0,0.622573,-0.292093095
CISD2,5376.0,0.433298698,107.0,-0.19684,-0.976534341
CKAP4,2872.0,0.386259817,84.0,0.591044,-0.055242637
CKS2,300.0,0.317949998,98.0,1.405411,0.921087724
CLCC1,5185.0,0.369704467,150.0,0.264775,-0.212614092
CLCN7,1698.0,0.459147749,110.0,-0.918011,-1.149097514
CLIC1,290.0,0.4571302,573.0,-0.052253,-0.029138982
CLK3,1233.0,0.4268607,461.0,-0.522948,0.265762859
CLPTM1,458.0,0.383990827,351.0,0.761204,0.149676894
CLTA,288.0,0.450950874,514.0,0.532519,-0.235884515
CLTB,319.0,0.48548545,210.0,-0.064294,0.001743511
CLTC,3104.0,0.384957863,443.0,0.782199,0.121231877
CNBP,6850.0,0.433298698,206.0,-0.152268,-0.728876353
CNPY2,123.0,0.392778455,553.0,0.605615,0.082255513
CNPY3,1042.0,0.459231502,584.0,0.251349,0.246491333
COG3,1967.0,0.414689223,142.0,-0.473556,-0.049344799
COMMD1,306.0,0.423842833,138.0,0.238315,-0.045913581
COMMD3,431.0,0.360487018,35.0,0.737585,0.195189812
COMMD5,498.0,0.445713337,399.0,0.872179,0.262938138
COMMD6,1375.0,0.396967837,328.0,-0.058063,0.102241504
COMMD9,2340.0,0.418062772,89.0,-0.349729,0.217620635
COPB1,446.0,0.381738818,307.0,-0.230539,0.087858387
COPE,165.0,0.478760693,55.0,-0.569567,0.186620399
COQ6,671.0,0.374062527,159.0,-0.072096,0.076048053
COQ7,5700.0,0.42379098,133.0,-0.942337,-0.718595011
CORO1A,112.0,0.457388252,435.0,0.310184,-0.046535447
COX17,1735.0,0.484254073,86.0,0.38211,-0.884142353
COX5A,860.0,0.429944966,140.0,0.154718,-0.212194855
COX7A2,302.0,0.441893926,98.0,-0.046323,-0.150750686
CPM,5262.0,0.406054343,75.0,0.055708,0.343458964
CPSF4,923.0,0.452412439,277.0,0.725017,0.05875262
CPT1A,2761.0,0.374132033,170.0,-0.183985,-0.499691815
CPT2,602.0,0.431256564,515.0,-0.465386,-0.440206127
CRCP,8457.0,0.390198146,145.0,0.56647,-0.745761915
CRKL,3904.0,0.422225684,509.0,0.194954,0.143969582
CRTAP,5601.0,0.446308827,120.0,-0.229423,0.56186713
CRTC3,3205.0,0.355982524,186.0,-0.77518,-0.616576086
CRY2,2337.0,0.383442872,132.0,-0.465626,-2.368384166
CRYL1,462.0,0.386242786,79.0,-0.979153,-0.070637313
CSRP1,1183.0,0.493833101,217.0,0.840142,0.023351936
CST3,2762.0,0.475763324,186.0,-1.189761,-0.085668588
CSTF2,1931.0,0.372934478,58.0,0.210247,-0.203512322
CTBP1,800.0,0.464034004,393.0,-0.109951,0.073600751
CTNNA1,1216.0,0.412513324,1103.0,0.240895,0.45527917
CTNNB1,1106.0,0.432073699,448.0,-0.14477,0.402552291
CTNNBIP1,2448.0,0.394834327,307.0,1.048553,0.700266959
CTPS2,1870.0,0.416273085,744.0,0.086633,0.242275856
CTSG,119.0,0.369503415,37.0,-1.219933,-1.559242938
CTSH,1072.0,0.446467856,1192.0,0.243458,0.171323475
CUEDC1,2047.0,0.374410739,719.0,0.905339,0.220469022
CUX1,1040.0,0.395555213,127.0,-0.436337,-0.370969505
CXCL10,814.0,0.410287201,105.0,0.363131,-0.689159356
CXCL9,2323.0,0.403736618,74.0,0.598595,-0.296271987
CYBB,2544.0,0.418993019,61.0,-0.123797,-0.267432445
CYTH4,1837.0,0.406296106,377.0,-0.122682,0.068875912
DAB2,1757.0,0.368483127,531.0,0.976267,0.324423648
DAGLB,721.0,0.377719723,170.0,0.47514,-0.216558194
DAP3,768.0,0.366492687,184.0,0.234255,0.551057537
DAPP1,2082.0,0.348655603,90.0,-0.526113,-0.060485477
DBI,233.0,0.467027529,479.0,2.366312,0.887692048
DCAF8,1877.0,0.380310979,212.0,-0.669279,0.060156597
DCP1A,4153.0,0.411936399,381.0,-0.768367,0.049931145
DCPS,4731.0,0.375605648,329.0,0.051279,0.030308332
DCTN5,10597.0,0.443116252,177.0,-0.017378,0.215512307
DDAH2,653.0,0.361046801,1104.0,-1.174236,-0.089152762
DDB2,1223.0,0.43604051,195.0,-0.994789,-0.219574385
DDX23,713.0,0.445931172,91.0,0.398464,0.119091571
DDX31,1870.0,0.361830896,544.0,0.366152,0.580247856
DDX47,438.0,0.379294484,22.0,0.632378,0.379533203
DDX54,1704.0,0.467316231,28.0,-0.554496,0.126488907
DDX56,586.0,0.438032149,643.0,0.449497,0.409137317
DDX59,217.0,0.413095257,243.0,-0.593652,-0.040691917
DHODH,3463.0,0.371608285,21.0,0.979852,-0.168703549
DHPS,121.0,0.474111752,121.0,-0.912826,-0.371361625
DHX15,459.0,0.379133957,168.0,-0.115764,0.043023042
DHX34,591.0,0.384465978,349.0,0.323071,-0.446330548
DHX58,357.0,0.440330409,223.0,-1.356755,-0.250603631
DIABLO,719.0,0.425893605,1182.0,-0.245729,-0.296688998
DMAP1,63.0,0.471306,301.0,-0.414083,0.13680649
DMXL2,1274.0,0.389901613,225.0,-1.30217,-0.094112402
DNAJA4,1736.0,0.398301408,169.0,0.142199,0.013026026
DNAJC19,1326.0,0.403482491,259.0,-0.898555,-0.477186077
DNAJC25,1212.0,0.430964931,56.0,0.193875,-0.121250355
DNAJC8,969.0,0.416719859,33.0,-0.089181,-0.355638627
DNM1,1255.0,0.393835111,116.0,-0.358278,0.456516093
DNTTIP2,3564.0,0.408096853,58.0,-0.017385,0.311729657
DOCK11,3681.0,0.373818855,63.0,1.716582,0.730393936
DOCK2,524.0,0.446250827,52.0,0.252004,0.164892786
DOK2,438.0,0.384043737,481.0,0.424743,0.328405575
DPCD,197.0,0.459155016,389.0,0.780594,0.332127611
DPF2,2501.0,0.393394442,133.0,1.540975,0.040256633
DPH1,1310.0,0.448716064,341.0,-0.0567,-0.184412017
DPH5,784.0,0.413363166,165.0,0.509502,0.551413307
DPY30,562.0,0.438431353,279.0,0.135365,-0.033521338
DPYSL2,2472.0,0.430530829,431.0,-0.006855,0.201971198
DRAP1,142.0,0.432809908,245.0,1.148466,-0.409785694
DRG1,4594.0,0.444150091,131.0,0.653703,0.1374238
DSN1,5330.0,0.392894937,373.0,-0.117259,-0.874740827
DSTN,2786.0,0.375776803,438.0,0.614607,0.270166321
DTL,2265.0,0.372315747,921.0,0.592452,0.084102928
DTX3L,3456.0,0.408848169,89.0,-1.278814,-0.51626469
DUSP12,374.0,0.419884133,34.0,-0.41398,-0.009283445
DUT,1937.0,0.36471409,109.0,-0.483946,-0.246169585
DYNLT1,514.0,0.420362019,78.0,0.673246,0.358873573
EBAG9,1437.0,0.39438748,402.0,0.396813,-0.521269597
ECH1,191.0,0.389477111,85.0,0.297372,-0.08353387
ECHDC2,2269.0,0.400166641,752.0,-0.1543,0.057869467
ECM1,322.0,0.43792189,199.0,-0.964149,0.270732225
EDEM2,76.0,0.379021051,100.0,0.488521,0.756776923
EEA1,5374.0,0.405861636,265.0,-0.606436,0.115789241
EEF1A2,286.0,0.417272363,329.0,-5.700368,-1.166204763
EFTUD2,1331.0,0.444646836,398.0,-0.110715,0.135329444
EHD1,3363.0,0.446314898,447.0,2.394667,1.186130379
EIF2AK2,8063.0,0.394727306,557.0,0.244225,-0.032244354
EIF2B3,1058.0,0.383118637,239.0,0.452649,0.050123653
EIF3F,5840.0,0.435728237,33.0,0.004353,0.019206046
EIF3L,1718.0,0.380710116,245.0,1.277909,0.216272199
EIF4A3,1120.0,0.381528282,222.0,1.54439,0.273879229
ELAVL1,4910.0,0.437605432,167.0,-0.039614,-0.413509165
EMG1,248.0,0.433768095,143.0,0.523321,0.245844107
EMILIN2,2605.0,0.379592019,159.0,-0.56173,0.294681532
ENDOD1,7728.0,0.376426787,118.0,0.012223,-0.759110649
ENOSF1,2904.0,0.382279782,622.0,-1.138594,-0.224605552
ENY2,2576.0,0.41756619,146.0,1.35388,0.707034937
EPSTI1,2106.0,0.391777705,469.0,0.164561,-0.899173317
ERCC1,2342.0,0.45058755,188.0,0.797063,-0.055274404
ERCC6L,4809.0,0.354829683,623.0,1.460134,0.125384727
ERH,415.0,0.383837906,71.0,0.455256,0.099560646
ERLIN1,2041.0,0.444737514,478.0,0.450675,-0.373942015
ERP29,1277.0,0.401191178,118.0,-0.15128,-0.159946339
ETV6,4356.0,0.398240844,274.0,-0.337513,-0.406971714
EXOC4,1232.0,0.388187525,35.0,-0.353601,0.093012143
EXOC8,6907.0,0.436106501,127.0,-0.367577,-0.026174582
EXOSC1,536.0,0.430105347,451.0,0.316104,0.118245539
EXOSC2,3902.0,0.431273517,32.0,0.509695,0.226730099
F8A1,571.0,0.46317284,15.0,0.170631,-0.117730192
FAAH,2043.0,0.384592892,82.0,-0.543053,0.018852763
FAF1,4425.0,0.401181969,453.0,-0.508058,-0.054067971
FAM122A,4542.0,0.40477622,33.0,0.215972,-0.173138642
FAM168A,6285.0,0.395008865,285.0,0.202573,-0.304426523
FAM177A1,2165.0,0.411149627,459.0,-0.239584,0.275839897
FAM192A,1824.0,0.379195199,1475.0,0.151755,-0.329099917
FAM20B,4428.0,0.4357945,293.0,-0.070795,-0.423098157
FAM32A,1091.0,0.408676074,42.0,-0.437627,-0.869611978
FAM50A,286.0,0.482889735,110.0,-0.060285,-0.153983084
FBP1,248.0,0.397353747,331.0,-2.453657,-0.963745634
FBXL20,9338.0,0.383104745,254.0,1.368738,-1.217629483
FBXO4,526.0,0.393825218,58.0,0.599124,0.411974897
FBXO6,503.0,0.42307306,166.0,-0.345887,-0.689282873
FCER1G,305.0,0.4202976,25.0,-0.252679,-0.373530789
FCGRT,309.0,0.433069976,486.0,-1.169179,0.08925614
FCHO1,270.0,0.372951657,283.0,-0.691353,-0.856639074
FDPS,72.0,0.456397562,392.0,0.284815,0.105968765
FDXR,596.0,0.384661194,188.0,1.027866,0.1690181
FEN1,1340.0,0.407867196,413.0,1.338335,0.445717555
FERMT3,399.0,0.435119014,149.0,0.430879,0.175461959
FGD2,907.0,0.441856308,171.0,-0.173622,-0.022482181
FGFR1OP2,1663.0,0.396595515,353.0,-0.272836,0.000762757
FGL2,3460.0,0.40966218,40.0,-0.277008,-0.257151479
FKBP1A,1132.0,0.428443098,174.0,0.488126,0.349409415
FKBPL,24.0,0.377510344,270.0,0.024105,0.698725553
FLOT1,422.0,0.472159534,339.0,-0.695642,-0.044876547
FN3K,442.0,0.389857108,61.0,-1.54776,-0.838393671
FN3KRP,3667.0,0.380720834,50.0,0.313513,-0.541047032
FOXJ3,3176.0,0.401878681,312.0,0.035854,0.012390182
FOXK2,3108.0,0.440496276,171.0,1.338372,-0.231305398
FOXRED1,443.0,0.438630908,167.0,-0.12874,0.400478737
FSCN1,1184.0,0.396100853,132.0,0.281752,-0.24560135
FTH1,530.0,0.425357612,235.0,1.159064,-0.22781822
FTL,1031.0,0.428438948,199.0,0.480786,-0.760307097
FTSJ1,638.0,0.457521275,569.0,0.270514,0.246859935
FTSJ3,698.0,0.388239396,646.0,0.387485,0.324154038
FXN,6365.0,0.40465004,220.0,0.213549,0.271143651
GABARAPL2,564.0,0.431291441,136.0,-0.162355,0.34165451
GABPB1,1320.0,0.423118524,469.0,-0.209434,-1.140674755
GALK1,292.0,0.455574511,63.0,0.128893,-0.228055447
GANAB,989.0,0.425909644,1027.0,1.047424,0.057892298
GAS6,315.0,0.393865445,183.0,-0.142998,-0.878191966
GAS7,6619.0,0.423630168,311.0,0.293315,0.288604191
GBE1,708.0,0.404013874,283.0,-0.508802,-0.232097197
GBP1,1735.0,0.42614962,220.0,-0.245055,-0.49111282
GBP2,5058.0,0.440134196,314.0,0.089929,-0.18242801
GBP4,4106.0,0.42983554,116.0,0.172095,-0.14165465
GBP5,1753.0,0.421901204,537.0,0.545064,-0.333744244
GFOD2,622.0,0.396604754,295.0,0.639219,-0.341232765
GGA2,5408.0,0.377812588,83.0,-0.415801,-0.144263499
GGCX,5211.0,0.417836117,106.0,1.312014,-0.036435724
GIGYF1,2212.0,0.443456438,1210.0,-0.941366,-0.113961763
GINS3,1415.0,0.387351931,208.0,0.485887,-0.183059992
GLA,1699.0,0.378726947,110.0,0.265647,0.367177711
GLE1,1357.0,0.383457083,114.0,-0.75592,-0.0048663
GLRX,1188.0,0.430296645,211.0,0.15814,-0.138882206
GLRX3,3557.0,0.41418463,539.0,0.474014,0.34130067
GLUD1,1558.0,0.392454008,1132.0,0.534703,0.277963517
GLYR1,2033.0,0.39940414,57.0,-0.874613,-0.089195347
GMEB1,4582.0,0.43446142,142.0,0.024598,-0.006302919
GMPPA,198.0,0.434966364,375.0,0.221681,-0.098758797
GMPR,3984.0,0.435743929,114.0,0.694771,-0.412754484
GMPR2,464.0,0.453637396,704.0,-0.732506,-0.388604441
GNAI1,1947.0,0.435804474,356.0,1.188583,0.446715372
GNG7,3803.0,0.398730372,237.0,-0.471238,0.219322526
GNPDA1,1360.0,0.395964134,67.0,-0.110471,0.293992542
GOLGA2,1243.0,0.401070546,13.0,-0.190113,-0.339879028
GON4L,926.0,0.418089888,175.0,-0.597945,-0.170611772
GOSR1,5968.0,0.408103421,237.0,-0.547721,-0.450148262
GOSR2,3258.0,0.374298057,541.0,-0.214383,-0.425744564
GOT2,1054.0,0.444803236,129.0,0.238613,-0.118096869
GPS2,97.0,0.431122181,76.0,-0.499997,-0.74581008
GPX7,626.0,0.395840774,39.0,-0.268432,0.109240047
GRAMD1A,299.0,0.411657297,748.0,-0.168703,-0.345429882
GRB2,2292.0,0.4413596,358.0,0.854333,0.112305828
GSTM4,2467.0,0.390909061,314.0,-2.669582,-0.782393136
GTF2A2,1070.0,0.420716795,404.0,0.335826,-0.962065358
GTF2E2,604.0,0.365750105,273.0,-0.035755,-0.531390967
GTF3C2,932.0,0.372227001,397.0,0.335223,0.129823675
GTPBP1,2894.0,0.424954603,154.0,0.34364,0.275287301
GTPBP3,1032.0,0.436547413,95.0,-0.930406,-0.377625897
HADH,818.0,0.383558671,219.0,0.718832,0.107497638
HADHA,615.0,0.383558671,130.0,0.406677,0.109170009
HAUS5,3319.0,0.378752573,51.0,0.096178,0.451089744
HAUS8,346.0,0.37535995,111.0,0.024786,-0.880264864
HCCS,1274.0,0.398607648,275.0,0.201323,-0.07453772
HCK,337.0,0.440224323,364.0,-0.089272,0.200789491
HDAC1,591.0,0.390040122,63.0,-0.143681,-0.131252198
HDDC3,763.0,0.387287166,29.0,-0.990964,-0.584269585
HDGF,1342.0,0.465394593,322.0,0.268834,-0.125482983
HDLBP,2343.0,0.397687311,375.0,1.009057,0.470729974
HEATR3,1385.0,0.384091545,883.0,0.222837,-0.032354016
HEBP2,9119.0,0.359416339,297.0,0.799325,0.525475218
HECA,3704.0,0.443714129,285.0,0.072633,-0.381557829
HECTD3,3914.0,0.446742268,98.0,0.129055,0.133128445
HERC2,726.0,0.429958504,109.0,-0.976895,-0.185066552
HERC5,379.0,0.393838904,153.0,-0.526848,0.087827257
HERC6,651.0,0.398146132,183.0,-0.816095,-0.280353223
HIP1,4874.0,0.430847644,52.0,-1.008947,-0.347702905
HLA-A,4150.0,0.424443523,84.0,-1.342918,-1.46646455
HLA-C,420.0,0.421684519,65.0,-1.564341,-0.579004026
HLA-DRA,409.0,0.420807891,109.0,0.457468,-0.09623517
HLA-E,1459.0,0.413523771,126.0,-0.325069,0.029783605
HLA-F,121.0,0.407256461,124.0,-0.441221,-1.182728205
HMBOX1,3560.0,0.369177113,482.0,-0.45104,-1.205678611
HMBS,266.0,0.451934812,299.0,-0.079729,-0.089042645
HMGB2,3775.0,0.450826504,193.0,0.647561,-0.551660734
HMGCS1,3661.0,0.374424323,345.0,0.448288,0.947594695
HMOX1,616.0,0.436401717,107.0,0.049785,-0.136060469
HNRNPA0,7504.0,0.386421138,284.0,-0.021779,-0.149110827
HNRNPD,1688.0,0.420386111,318.0,0.413069,-0.346966949
HNRNPL,1102.0,0.449817015,176.0,0.033497,-0.267260469
HNRNPU,4156.0,0.432126199,218.0,-0.130841,-0.011403086
HNRNPUL1,2135.0,0.394022965,339.0,0.494739,0.019970009
HNRNPUL2,2674.0,0.436897081,229.0,1.137243,0.401733494
HSBP1,3274.0,0.4454546,174.0,0.629101,0.358584883
HSD11B1,4482.0,0.426649415,154.0,0.022442,-0.354121522
HSD17B7,398.0,0.431983247,99.0,-1.181045,-0.298902595
HSP90AB1,313.0,0.39509298,251.0,0.539849,0.421935295
HSPA1L,428.0,0.464100714,183.0,-0.675792,0.458533216
HSPA4L,7877.0,0.413794867,342.0,-1.352773,-1.199098834
HSPB11,107.0,0.34538245,284.0,0.542875,0.836027641
HTRA2,571.0,0.421976635,602.0,-0.057834,-0.062732973
HTT,3901.0,0.373695076,145.0,-1.054617,-0.066310717
HUS1,2068.0,0.374612864,131.0,0.251375,0.210318094
HYI,310.0,0.378597605,196.0,-1.539173,0.019780645
HYOU1,1409.0,0.403839016,234.0,0.587511,-0.061201963
ICAM1,1537.0,0.426062071,319.0,-0.519273,-0.417510624
IER3IP1,3342.0,0.438740024,97.0,-1.058767,-0.112066852
IFI16,254.0,0.415211655,290.0,0.28816,0.095511799
IFI30,213.0,0.431523306,62.0,-0.149594,-0.385287896
IFI35,160.0,0.418462024,223.0,-1.217572,-0.185920695
IFI44,267.0,0.403888008,124.0,-0.222099,-0.774167428
IFI44L,5058.0,0.403608012,200.0,0.039044,-0.461861614
IFIH1,121.0,0.412344512,377.0,-0.995569,-0.271895329
IFIT1,2775.0,0.411248073,495.0,-0.292456,-0.229740847
IFIT2,1901.0,0.420797646,175.0,0.456974,0.019496463
IFIT3,843.0,0.417440574,529.0,-0.187507,-0.140255299
IFIT5,2354.0,0.414819429,231.0,-1.230406,-0.606708509
IFITM1,159.0,0.431550176,180.0,-1.24546,0.172097198
IFT27,109.0,0.4030938,426.0,0.348489,0.59986431
IGFBP3,1605.0,0.43060006,132.0,-0.603314,-0.156142591
