,3prime,tAI,max_5_UTR_length,TCGA-AO-A12F,TCGA-AO-A12F.1
ARRB1,6041.0,0.39512759,224.0,-1.627816,-0.828140042
ASF1B,950.0,0.395794233,172.0,0.295826,0.475670263
ASS1,1357.0,0.394201053,356.0,-0.536386,-0.623203835
ATPAF1,3039.0,0.439253133,510.0,0.673592,0.072123691
ATRIP,162.0,0.417082642,462.0,-0.406523,-0.153245844
AXL,1863.0,0.417061167,376.0,0.036794,-0.008554944
B4GALT7,4483.0,0.433879574,93.0,0.056965,0.031541571
BAG1,2764.0,0.431693656,501.0,-0.04475,-0.177041745
BAG3,537.0,0.387438444,306.0,-0.954146,-1.046492689
BASP1,971.0,0.520859146,259.0,-0.58571,-1.143437913
BBS7,1531.0,0.408023089,184.0,0.037327,-0.307413315
BCAT2,364.0,0.445598481,657.0,0.265715,-0.160783977
BCKDHB,3082.0,0.419736544,88.0,1.015659,0.027666714
BCL2,5279.0,0.374049285,493.0,-2.856095,-1.042789786
BCL2L13,4109.0,0.411790332,769.0,0.232482,-0.095650974
BID,4193.0,0.428633517,498.0,2.46507,0.588599664
BLVRA,3376.0,0.414260839,177.0,-2.553214,-1.251775431
BOLA2,40.0,0.43059393,513.0,0.139589,-0.171996991
BOLA3,383.0,0.406657227,38.0,1.446719,-0.055243432
BRD2,787.0,0.377809737,2066.0,-0.669885,-0.157068988
BRD3,3285.0,0.401150236,188.0,0.086532,0.146459636
BSPRY,1091.0,0.380011644,48.0,-0.593015,-0.129891756
BST2,411.0,0.444557266,81.0,-3.042139,-0.564768247
BUB3,1535.0,0.421992618,242.0,-1.194123,-0.01381976
C1QB,152.0,0.436596666,340.0,-1.370048,-0.003988409
C1QC,327.0,0.41150294,283.0,-1.379842,0.028210746
C2CD3,671.0,0.360398895,227.0,-0.494153,0.242299581
C3,5088.0,0.430632158,93.0,-3.647178,-0.097122749
CAP1,1134.0,0.406948565,416.0,0.399972,0.189886177
CAPN1,720.0,0.455130071,197.0,-0.765275,-0.29897631
CAPRIN1,5632.0,0.374918508,189.0,-0.646639,-0.345483972
CAPZB,5180.0,0.446052528,622.0,-0.190888,-0.2264379
CARD16,437.0,0.41300235,27.0,0.886852,-0.685248912
CARHSP1,4898.0,0.362100245,360.0,0.664351,-0.180484394
CASC3,1778.0,0.370720542,295.0,-0.237302,-0.060765606
CASP1,750.0,0.424742838,44.0,-0.41457,-0.333470677
CASP8,1794.0,0.376118708,303.0,-0.001047,0.179416177
CAT,629.0,0.397270122,89.0,-0.216621,-0.145122395
CBL,8368.0,0.375957197,142.0,-0.074842,0.037958144
CBLL1,3286.0,0.400851504,467.0,0.582401,0.414206458
CBR3,54.0,0.445176236,228.0,-0.090569,-0.784482626
CBS,4385.0,0.477784031,626.0,0.289527,0.766780165
CBX5,10815.0,0.390902295,318.0,-0.58957,-0.061521552
CBX8,2504.0,0.36735217,118.0,0.79957,0.058857362
CCDC115,2169.0,0.385110507,452.0,-0.027226,0.321987041
CCDC125,2554.0,0.359965106,322.0,-2.185702,-0.386029734
CCDC58,2462.0,0.421830022,75.0,0.877744,-0.341504869
CCDC88C,1302.0,0.396031427,154.0,-0.921527,-0.244315021
CCL5,886.0,0.462166288,68.0,-2.513236,-1.645497364
CCNA2,1206.0,0.409154498,373.0,1.444154,-0.256506393
CCNB2,168.0,0.374401461,184.0,1.356702,0.379103797
CCNDBP1,2336.0,0.44393643,231.0,-1.15295,-0.107655983
CCS,4244.0,0.460896681,43.0,0.206303,-0.643627671
CCT3,238.0,0.457984718,231.0,0.790521,0.565879637
CCT4,1361.0,0.393363555,164.0,0.565699,0.501181542
CD14,128.0,0.416321757,392.0,-0.195327,0.144178603
CD209,3046.0,0.440000747,67.0,1.180872,0.633043099
CD33,331.0,0.428315036,40.0,-0.940775,-0.288580418
CD36,2894.0,0.410517795,414.0,2.546099,0.637316428
CD40,982.0,0.429065654,90.0,-0.432377,-0.456912088
CD44,3115.0,0.39995987,434.0,-0.29634,-0.29070155
CD63,923.0,0.512738356,403.0,-0.106365,-0.700851665
CD74,635.0,0.427357309,187.0,-1.89317,-0.786142401
CDC25C,437.0,0.364786128,387.0,-0.215096,-0.213884214
CDC26,271.0,0.395637029,359.0,-0.813901,-0.241084362
CDC34,560.0,0.46431386,199.0,-0.024277,-0.008595459
CDC42EP3,3941.0,0.420378821,1009.0,0.847635,-0.441254782
CDCA3,816.0,0.351209268,820.0,2.717531,1.161297553
CDCA8,1353.0,0.384295288,290.0,1.578167,0.88506565
CDIPT,1864.0,0.442654716,541.0,-0.573489,0.102716208
CDK1,2313.0,0.398329505,154.0,1.762776,0.945935299
CDK19,4557.0,0.421511824,180.0,0.653623,0.015500052
CDK2AP1,766.0,0.439144625,522.0,2.267552,0.078580554
CDK5RAP2,367.0,0.371069462,192.0,-0.725724,-0.121712829
CDK5RAP3,284.0,0.469750898,1791.0,0.422552,0.324593363
CDKAL1,1365.0,0.417875209,167.0,0.710613,0.342895691
CDKN2AIPNL,3639.0,0.409801696,53.0,-0.781782,-0.733921951
CDKN2C,2247.0,0.381912025,1216.0,-1.30786,-0.377878737
CENPH,1478.0,0.418392258,87.0,1.075308,0.425783299
CENPV,301.0,0.385948267,62.0,2.964851,0.983558849
CEP55,939.0,0.397841874,304.0,1.721034,0.520867461
CETN2,868.0,0.433727498,47.0,0.41286,-0.433472143
CFL1,677.0,0.502791,234.0,0.580121,-0.033064469
CHAC2,786.0,0.395629742,277.0,2.18041,0.810979657
CHCHD4,3528.0,0.445497334,326.0,0.290638,-0.433645885
CHMP4A,296.0,0.447100154,262.0,-0.166425,-0.131946809
CHMP5,1241.0,0.442987983,200.0,-0.246531,-0.076004359
CHMP6,980.0,0.489861105,78.0,-0.460354,-0.486339164
CHST11,4211.0,0.430763246,498.0,0.284347,-0.372332619
CHTF8,2425.0,0.424551152,142.0,-0.886383,0.247066973
CIAPIN1,1024.0,0.451663323,242.0,0.467722,0.480723796
CISD2,5376.0,0.433298698,107.0,0.12044,-0.454053031
CKAP4,2872.0,0.386259817,84.0,0.274835,0.088066992
CKS2,300.0,0.317949998,98.0,0.804716,0.401857202
CLCC1,5185.0,0.369704467,150.0,-0.285788,0.070388842
CLCN7,1698.0,0.459147749,110.0,0.559543,0.537628363
CLIC1,290.0,0.4571302,573.0,-0.383382,-0.374792182
CLK2,350.0,0.410673686,925.0,1.353168,0.388852457
CLK3,1233.0,0.4268607,461.0,-0.738255,-0.32788961
CLPTM1,458.0,0.383990827,351.0,-0.025466,0.01839261
CLTA,288.0,0.450950874,514.0,0.469889,-0.171745752
CLTB,319.0,0.48548545,210.0,-0.018548,-0.16827486
CLTC,3104.0,0.384957863,443.0,-0.600055,-0.017530055
CNBP,6850.0,0.433298698,206.0,0.472397,0.071323641
CNPY2,123.0,0.392778455,553.0,0.890523,0.023128419
CNPY3,1042.0,0.459231502,584.0,0.520833,-0.17277785
COG3,1967.0,0.414689223,142.0,-0.568654,-0.284840092
COMMD1,306.0,0.423842833,138.0,1.016898,-0.368459754
COMMD3,431.0,0.360487018,35.0,-0.63901,-0.570440762
COMMD5,498.0,0.445713337,399.0,0.050836,-0.390448328
COMMD6,1375.0,0.396967837,328.0,-0.123825,-0.117685795
COMMD9,2340.0,0.418062772,89.0,-0.304694,-0.397546598
COPB1,446.0,0.381738818,307.0,-0.933109,-0.130370588
COPE,165.0,0.478760693,55.0,-0.304868,-0.279540987
COQ6,671.0,0.374062527,159.0,-0.068895,0.440862003
COQ7,5700.0,0.42379098,133.0,-1.03227,0.553294732
CORO1A,112.0,0.457388252,435.0,-0.786122,-0.861224048
COX17,1735.0,0.484254073,86.0,0.367325,-0.829453026
COX5A,860.0,0.429944966,140.0,0.357634,-0.293639923
COX7A2,302.0,0.441893926,98.0,0.989273,-0.041232272
CPM,5262.0,0.406054343,75.0,0.387641,-0.084184616
CPSF4,923.0,0.452412439,277.0,0.48884,0.250092665
CPT1A,2761.0,0.374132033,170.0,-0.009691,-0.19695337
CPT2,602.0,0.431256564,515.0,-0.378485,-0.081774431
CRCP,8457.0,0.390198146,145.0,0.432377,-0.171197234
CRKL,3904.0,0.422225684,509.0,0.043704,0.045739175
CRTAP,5601.0,0.446308827,120.0,-0.840904,-0.411711304
CRTC3,3205.0,0.355982524,186.0,-0.83168,-0.211537501
CRY2,2337.0,0.383442872,132.0,-0.905915,-0.174882715
CRYL1,462.0,0.386242786,79.0,-1.512028,-0.441952069
CSRP1,1183.0,0.493833101,217.0,0.763596,0.314899842
CST3,2762.0,0.475763324,186.0,-2.050539,-0.878988129
CSTF2,1931.0,0.372934478,58.0,0.211043,0.32593873
CTBP1,800.0,0.464034004,393.0,0.050787,-0.040706482
CTNNA1,1216.0,0.412513324,1103.0,-0.894268,-0.04033486
CTNNB1,1106.0,0.432073699,448.0,0.129021,0.29292353
CTNNBIP1,2448.0,0.394834327,307.0,-0.986621,-0.343661508
CTPS2,1870.0,0.416273085,744.0,-0.659998,0.063785897
CTSG,119.0,0.369503415,37.0,0.845064,-1.805334694
CTSH,1072.0,0.446467856,1192.0,0.931342,0.028900937
CUEDC1,2047.0,0.374410739,719.0,-2.428614,-0.562148363
CUX1,1040.0,0.395555213,127.0,-1.015529,-0.24228415
CXCL10,814.0,0.410287201,105.0,-5.316665,-1.027200622
CYBB,2544.0,0.418993019,61.0,-1.44407,-1.082396228
CYP2S1,1051.0,0.420869286,58.0,-1.483606,-0.863518466
CYTH4,1837.0,0.406296106,377.0,-1.43106,-0.129045283
DAB2,1757.0,0.368483127,531.0,-0.49041,-0.39920051
DAGLB,721.0,0.377719723,170.0,-0.453934,0.016543555
DAP3,768.0,0.366492687,184.0,0.75322,0.212199973
DAPP1,2082.0,0.348655603,90.0,-2.335068,-0.737281754
DBI,233.0,0.467027529,479.0,-0.634492,-0.925948877
DCAF12,1967.0,0.42050769,342.0,0.329075,0.400474117
DCAF8,1877.0,0.380310979,212.0,-0.117375,-0.435148818
DCP1A,4153.0,0.411936399,381.0,0.148921,0.084638953
DCPS,4731.0,0.375605648,329.0,0.708928,-0.072960501
DCTN5,10597.0,0.443116252,177.0,-0.174908,-0.062708508
DDAH2,653.0,0.361046801,1104.0,-1.006988,-0.292973844
DDB2,1223.0,0.43604051,195.0,-1.084373,-0.527592866
DDX23,713.0,0.445931172,91.0,-0.791801,-0.193658949
DDX31,1870.0,0.361830896,544.0,-0.368849,0.339536617
DDX47,438.0,0.379294484,22.0,0.980136,1.05790888
DDX54,1704.0,0.467316231,28.0,0.41492,0.15325616
DDX56,586.0,0.438032149,643.0,-0.138993,0.198442962
DDX59,217.0,0.413095257,243.0,-0.166247,0.148501374
DHODH,3463.0,0.371608285,21.0,1.535471,0.029236891
DHPS,121.0,0.474111752,121.0,-0.395421,0.319659705
DHX15,459.0,0.379133957,168.0,-0.105336,0.089811556
DHX34,591.0,0.384465978,349.0,0.803987,0.399504331
DHX58,357.0,0.440330409,223.0,-1.500532,-0.657570806
DIABLO,719.0,0.425893605,1182.0,-0.120507,-0.372011248
DMAP1,63.0,0.471306,301.0,0.973282,0.303552965
DMXL2,1274.0,0.389901613,225.0,-0.191396,0.095822792
DNAJA4,1736.0,0.398301408,169.0,-3.170728,-0.941288684
DNAJC14,1509.0,0.37755465,204.0,-0.66034,-0.099534137
DNAJC19,1326.0,0.403482491,259.0,-0.291186,-0.088955694
DNAJC25,1212.0,0.430964931,56.0,-0.317363,-0.677086771
DNAJC8,969.0,0.416719859,33.0,0.021078,-0.378255852
DNM1,1255.0,0.393835111,116.0,0.121944,-0.479106281
DNTTIP2,3564.0,0.408096853,58.0,0.124747,0.503692929
DOCK11,3681.0,0.373818855,63.0,0.152672,-0.355864559
DOCK2,524.0,0.446250827,52.0,-0.945206,-0.693876647
DOK2,438.0,0.384043737,481.0,-1.300496,-0.520668598
DPCD,197.0,0.459155016,389.0,0.146792,-0.142572647
DPF2,2501.0,0.393394442,133.0,0.327245,0.146697591
DPH1,1310.0,0.448716064,341.0,-0.088491,0.819227355
DPH5,784.0,0.413363166,165.0,-0.281913,-0.079849908
DPY30,562.0,0.438431353,279.0,1.559811,0.441460805
DPYSL2,2472.0,0.430530829,431.0,0.900999,0.383133726
DRAP1,142.0,0.432809908,245.0,0.982677,-0.229087293
DRG1,4594.0,0.444150091,131.0,0.400292,0.37966564
DSN1,5330.0,0.392894937,373.0,0.561648,-0.060725814
DSTN,2786.0,0.375776803,438.0,-0.991439,-0.582165034
DTL,2265.0,0.372315747,921.0,1.410276,0.839895723
DTX3L,3456.0,0.408848169,89.0,-1.871632,-0.928807823
DUSP12,374.0,0.419884133,34.0,0.366446,-0.214883875
DUT,1937.0,0.36471409,109.0,0.450004,0.729649323
DYNLT1,514.0,0.420362019,78.0,1.09039,0.270567053
EBAG9,1437.0,0.39438748,402.0,-0.165759,-0.074296152
ECH1,191.0,0.389477111,85.0,0.890521,0.54822087
ECHDC2,2269.0,0.400166641,752.0,-0.410148,-0.423402785
ECM1,322.0,0.43792189,199.0,-0.980621,-0.76454691
EDEM2,76.0,0.379021051,100.0,0.718383,-0.072318757
EEA1,5374.0,0.405861636,265.0,-0.305161,-0.300958927
EEF1A2,286.0,0.417272363,329.0,-5.805307,-2.340302364
EFTUD2,1331.0,0.444646836,398.0,0.263115,0.255274231
EHD1,3363.0,0.446314898,447.0,0.126754,-0.104694867
EIF2AK2,8063.0,0.394727306,557.0,0.005813,-0.421224605
EIF2B3,1058.0,0.383118637,239.0,0.144634,0.153088309
EIF3F,5840.0,0.435728237,33.0,-0.547759,-0.121334575
EIF3L,1718.0,0.380710116,245.0,0.088211,0.091004981
EIF4A3,1120.0,0.381528282,222.0,0.081527,0.174753902
ELAVL1,4910.0,0.437605432,167.0,0.696884,0.154280796
EMG1,248.0,0.433768095,143.0,1.527137,0.474360773
EMILIN2,2605.0,0.379592019,159.0,0.734062,0.143801164
ENDOD1,7728.0,0.376426787,118.0,-1.715158,-0.510584312
ENOSF1,2904.0,0.382279782,622.0,0.425227,-0.3071932
ENY2,2576.0,0.41756619,146.0,0.480946,0.018310419
EPSTI1,2106.0,0.391777705,469.0,-2.553849,-0.590522763
ERCC1,2342.0,0.45058755,188.0,-0.228952,0.20466076
ERCC6L,4809.0,0.354829683,623.0,0.816339,0.351044848
ERH,415.0,0.383837906,71.0,0.843256,0.026731797
ERLIN1,2041.0,0.444737514,478.0,-0.486079,0.034159267
ERP29,1277.0,0.401191178,118.0,0.497103,-0.03284895
ETV6,4356.0,0.398240844,274.0,1.224271,0.765691481
EXOC4,1232.0,0.388187525,35.0,-0.318149,0.279508144
EXOC8,6907.0,0.436106501,127.0,0.183246,0.067794158
EXOSC1,536.0,0.430105347,451.0,0.29542,0.310419552
EXOSC2,3902.0,0.431273517,32.0,0.732457,0.14669083
F8A1,571.0,0.46317284,15.0,0.473737,0.246427873
FAAH,2043.0,0.384592892,82.0,-0.434985,-0.771068807
FAF1,4425.0,0.401181969,453.0,0.298408,0.398240026
FAM122A,4542.0,0.40477622,33.0,-0.181973,0.448570871
FAM168A,6285.0,0.395008865,285.0,-0.895111,-0.192721507
FAM177A1,2165.0,0.411149627,459.0,-0.056331,-0.371562483
FAM192A,1824.0,0.379195199,1475.0,0.413078,0.195660268
FAM20B,4428.0,0.4357945,293.0,0.411196,0.576441009
FAM32A,1091.0,0.408676074,42.0,-0.156133,0.092625752
FAM50A,286.0,0.482889735,110.0,0.310884,-0.208645588
FBP1,248.0,0.397353747,331.0,-4.424872,-1.807522987
FBXL20,9338.0,0.383104745,254.0,0.600585,-0.103269872
FBXO4,526.0,0.393825218,58.0,-0.806123,-0.384610661
FBXO6,503.0,0.42307306,166.0,-2.540824,-1.790503549
FCER1G,305.0,0.4202976,25.0,-0.39384,-0.524867232
FCGRT,309.0,0.433069976,486.0,-1.286922,-0.777601789
FCHO1,270.0,0.372951657,283.0,-2.663204,-0.545945867
FDPS,72.0,0.456397562,392.0,0.450521,0.524434758
FDXR,596.0,0.384661194,188.0,0.533567,-0.204939282
FEN1,1340.0,0.407867196,413.0,0.850447,0.557948604
FERMT3,399.0,0.435119014,149.0,-1.114227,-0.646722518
FGD2,907.0,0.441856308,171.0,-1.619303,-0.394686942
FGFR1OP2,1663.0,0.396595515,353.0,0.61872,-0.355916197
FGL2,3460.0,0.40966218,40.0,-1.37452,-0.527952265
FKBP1A,1132.0,0.428443098,174.0,0.276629,-0.445259503
FKBPL,24.0,0.377510344,270.0,0.026203,-0.109796248
FLOT1,422.0,0.472159534,339.0,0.500522,0.390830212
FN3K,442.0,0.389857108,61.0,-0.398613,-0.611913413
FN3KRP,3667.0,0.380720834,50.0,-0.134748,-0.428270023
FOXJ3,3176.0,0.401878681,312.0,0.240518,0.632310862
FOXK2,3108.0,0.440496276,171.0,0.425165,-0.226578646
FOXRED1,443.0,0.438630908,167.0,0.211862,-0.175755704
FSCN1,1184.0,0.396100853,132.0,2.006922,0.66272694
FTH1,530.0,0.425357612,235.0,-0.071564,-0.577183525
FTL,1031.0,0.428438948,199.0,-0.189244,-0.937556763
FTSJ1,638.0,0.457521275,569.0,0.521433,0.446741569
FTSJ3,698.0,0.388239396,646.0,-0.478612,-0.27756259
FXN,6365.0,0.40465004,220.0,0.672206,0.00251217
GABARAPL2,564.0,0.431291441,136.0,-0.212626,0.281538146
GABPB1,1320.0,0.423118524,469.0,0.386398,0.390517259
GALK1,292.0,0.455574511,63.0,0.459059,-0.201948679
GANAB,989.0,0.425909644,1027.0,0.571382,0.325730148
GAS6,315.0,0.393865445,183.0,-0.637307,-0.464484755
GAS7,6619.0,0.423630168,311.0,-0.806475,-0.604709685
GBE1,708.0,0.404013874,283.0,0.18693,-0.356429576
GBP1,1735.0,0.42614962,220.0,-0.737745,-0.74758623
GBP2,5058.0,0.440134196,314.0,-0.95872,-0.296591712
GBP4,4106.0,0.42983554,116.0,-1.701761,-0.61914108
GBP5,1753.0,0.421901204,537.0,-2.435177,-1.320912748
GCH1,2011.0,0.419329122,161.0,-0.558551,-0.511082472
GFOD2,622.0,0.396604754,295.0,1.106381,0.181415401
GGA2,5408.0,0.377812588,83.0,-0.4706,0.067350204
GGCX,5211.0,0.417836117,106.0,-0.325518,-0.068558887
GIGYF1,2212.0,0.443456438,1210.0,0.962976,0.423796909
GINS3,1415.0,0.387351931,208.0,0.180262,0.874607391
GLA,1699.0,0.378726947,110.0,0.037107,-0.308358728
GLE1,1357.0,0.383457083,114.0,-0.891531,0.235124637
GLRX,1188.0,0.430296645,211.0,-0.598773,-0.827557885
GLRX3,3557.0,0.41418463,539.0,-0.403672,-0.410505373
GLUD1,1558.0,0.392454008,1132.0,-0.835215,-0.701206556
GLYR1,2033.0,0.39940414,57.0,0.224203,0.484554606
GMEB1,4582.0,0.43446142,142.0,-0.219778,0.16663289
GMPPA,198.0,0.434966364,375.0,0.110357,-0.187105397
GMPR,3984.0,0.435743929,114.0,-0.845935,-0.708825141
GMPR2,464.0,0.453637396,704.0,-1.176899,-0.808133863
GNAI1,1947.0,0.435804474,356.0,0.542611,-0.556709908
GNG7,3803.0,0.398730372,237.0,1.832416,0.703091217
GNPDA1,1360.0,0.395964134,67.0,-0.875987,-0.596189048
GOLGA2,1243.0,0.401070546,13.0,-0.366217,-0.004889987
GON4L,926.0,0.418089888,175.0,0.00151,0.442549982
GOSR1,5968.0,0.408103421,237.0,-0.39019,0.231848829
GOSR2,3258.0,0.374298057,541.0,-0.382646,0.105261063
GOT2,1054.0,0.444803236,129.0,-0.116817,-0.601737859
GPS2,97.0,0.431122181,76.0,0.482094,-0.137112016
GPX7,626.0,0.395840774,39.0,1.414095,0.046676952
GRAMD1A,299.0,0.411657297,748.0,0.419738,0.603643489
GRB2,2292.0,0.4413596,358.0,-0.69852,-0.309570326
GSTM4,2467.0,0.390909061,314.0,-1.099097,-0.98380681
GTF2A2,1070.0,0.420716795,404.0,0.228576,-0.107180969
GTF2E2,604.0,0.365750105,273.0,0.990924,0.200682168
GTF3C2,932.0,0.372227001,397.0,1.150709,0.405439115
GTPBP1,2894.0,0.424954603,154.0,0.004652,0.172131389
GTPBP3,1032.0,0.436547413,95.0,0.812765,0.557316493
GTSE1,680.0,0.368527868,212.0,1.766085,0.172684167
GTSF1,222.0,0.36097632,86.0,7.218303,0.197361881
HADH,818.0,0.383558671,219.0,-0.040604,-0.129989975
HADHA,615.0,0.383558671,130.0,0.27791,0.118671227
HAUS5,3319.0,0.378752573,51.0,1.272052,0.365633075
HAUS8,346.0,0.37535995,111.0,1.479485,0.608413223
HCCS,1274.0,0.398607648,275.0,-0.698647,-0.420694453
HCK,337.0,0.440224323,364.0,-1.326666,-0.567415459
HDAC1,591.0,0.390040122,63.0,0.007564,-0.53655881
HDDC3,763.0,0.387287166,29.0,-0.979024,-0.545219831
HDGF,1342.0,0.465394593,322.0,0.793922,0.086136844
HDLBP,2343.0,0.397687311,375.0,-0.174576,-0.068754593
HEATR3,1385.0,0.384091545,883.0,0.11214,0.560280624
HEBP2,9119.0,0.359416339,297.0,0.775992,-0.078440498
HECA,3704.0,0.443714129,285.0,0.610325,0.254921306
HECTD3,3914.0,0.446742268,98.0,0.374466,0.070284548
HERC2,726.0,0.429958504,109.0,-0.089868,0.098256332
HERC5,379.0,0.393838904,153.0,-1.862284,-0.321808263
HERC6,651.0,0.398146132,183.0,-1.966955,-0.353086376
HIP1,4874.0,0.430847644,52.0,-0.685627,0.334871474
HLA-A,4150.0,0.424443523,84.0,-0.667628,-0.432374591
HLA-C,420.0,0.421684519,65.0,-1.15944,0.115792082
HLA-DRA,409.0,0.420807891,109.0,-1.712245,-1.223429482
HLA-E,1459.0,0.413523771,126.0,-1.095415,-0.505644437
HLA-F,121.0,0.407256461,124.0,-2.047291,-2.290590995
HMBOX1,3560.0,0.369177113,482.0,-0.507458,-0.550366533
HMBS,266.0,0.451934812,299.0,1.213731,0.402166527
HMGB2,3775.0,0.450826504,193.0,1.889998,0.062811402
HMGCS1,3661.0,0.374424323,345.0,-0.146329,-0.168607969
HMOX1,616.0,0.436401717,107.0,1.68839,-0.54409712
HNRNPA0,7504.0,0.386421138,284.0,-0.376717,-0.296556618
HNRNPD,1688.0,0.420386111,318.0,0.477633,-0.115173007
HNRNPL,1102.0,0.449817015,176.0,0.483035,0.066352337
HNRNPU,4156.0,0.432126199,218.0,0.248128,0.207189399
HNRNPUL1,2135.0,0.394022965,339.0,0.418155,-0.410495928
HNRNPUL2,2674.0,0.436897081,229.0,0.269207,0.454172839
HSBP1,3274.0,0.4454546,174.0,0.343729,-0.135557836
HSD17B7,398.0,0.431983247,99.0,0.793292,0.305164502
HSP90AB1,313.0,0.39509298,251.0,0.117486,0.648520143
HSPA1L,428.0,0.464100714,183.0,-2.025126,0.044358871
HSPA4L,7877.0,0.413794867,342.0,-0.295515,0.525091071
HSPB11,107.0,0.34538245,284.0,0.132636,-0.437335047
HTRA2,571.0,0.421976635,602.0,1.048314,-0.121791783
HTT,3901.0,0.373695076,145.0,-0.816538,-0.069879974
HUS1,2068.0,0.374612864,131.0,-0.357536,0.364845872
HYI,310.0,0.378597605,196.0,-1.106808,-0.855628174
HYOU1,1409.0,0.403839016,234.0,0.943085,0.21825712
ICAM1,1537.0,0.426062071,319.0,-1.162608,-0.921174885
