,3prime,tAI,max_5_UTR_length,TCGA-AN-A0AM,TCGA-AN-A0AM.1
APOBEC3C,1979.0,0.381716897,103.0,-0.412352,-0.105823148
APOBEC3G,322.0,0.410940579,404.0,-0.357271,0.202399362
APOL2,1195.0,0.42932248,477.0,1.84951,0.84303698
ARF6,2971.0,0.462806813,621.0,0.59898,-0.250461085
ARFIP2,2430.0,0.403729309,291.0,0.307091,0.58008556
ARHGAP17,2624.0,0.371011524,117.0,0.375673,0.08144303
ARHGAP30,773.0,0.384451823,645.0,0.118579,0.374591102
ARHGEF10,1378.0,0.370244255,202.0,-0.522084,-0.016483452
ARID2,3145.0,0.362288628,128.0,-0.717771,0.072964819
ARID3A,3881.0,0.411693449,290.0,0.219243,-0.058386591
ARIH2,3112.0,0.397061561,878.0,0.334513,0.289117846
ARL8A,1065.0,0.409602486,171.0,-0.229153,-0.174815542
ARRB1,6041.0,0.39512759,224.0,-1.168888,-0.526105392
ASF1B,950.0,0.395794233,172.0,1.402075,0.177965523
ASS1,1357.0,0.394201053,356.0,2.291816,0.304065994
ATPAF1,3039.0,0.439253133,510.0,-0.525619,0.163300992
AXL,1863.0,0.417061167,376.0,-0.00506,0.217496354
B4GALT7,4483.0,0.433879574,93.0,1.104851,0.42055902
BAG1,2764.0,0.431693656,501.0,-0.691712,-0.319490425
BAG3,537.0,0.387438444,306.0,0.082976,-0.01622509
BASP1,971.0,0.520859146,259.0,-0.578981,0.464736071
BBS7,1531.0,0.408023089,184.0,-0.457788,-0.069484806
BCAT2,364.0,0.445598481,657.0,0.06354,-0.667468463
BCKDHB,3082.0,0.419736544,88.0,-0.695434,-0.157219907
BCL2,5279.0,0.374049285,493.0,-1.032372,0.609682733
BCL2L13,4109.0,0.411790332,769.0,0.288503,-0.101620456
BID,4193.0,0.428633517,498.0,0.8979,0.000677317
BLVRA,3376.0,0.414260839,177.0,1.470813,0.063891841
BOLA2,40.0,0.43059393,513.0,1.419944,0.003448635
BOLA3,383.0,0.406657227,38.0,0.707144,0.574173027
BRD2,787.0,0.377809737,2066.0,-0.308343,0.032347549
BRD3,3285.0,0.401150236,188.0,-1.721692,-0.255731566
BSPRY,1091.0,0.380011644,48.0,-0.679985,-0.114920931
BST2,411.0,0.444557266,81.0,1.564233,0.057146292
BUB3,1535.0,0.421992618,242.0,0.344986,-0.159371053
C1QB,152.0,0.436596666,340.0,0.716252,-0.270361402
C1QC,327.0,0.41150294,283.0,0.783535,-0.409238653
C3,5088.0,0.430632158,93.0,-0.918849,-0.538582041
CAP1,1134.0,0.406948565,416.0,0.358019,0.105017667
CAPN1,720.0,0.455130071,197.0,0.138211,0.021819323
CAPRIN1,5632.0,0.374918508,189.0,-0.417528,-0.09368533
CAPZB,5180.0,0.446052528,622.0,0.490161,0.158029864
CARD16,437.0,0.41300235,27.0,0.077141,-0.073003131
CARHSP1,4898.0,0.362100245,360.0,0.718808,0.258531749
CASC3,1778.0,0.370720542,295.0,-0.967357,0.059195673
CASP1,750.0,0.424742838,44.0,0.543114,0.308590322
CASP8,1794.0,0.376118708,303.0,0.279485,-0.24448062
CAT,629.0,0.397270122,89.0,-0.206101,-0.385905076
CBL,8368.0,0.375957197,142.0,-0.639114,0.00219537
CBLL1,3286.0,0.400851504,467.0,-0.650488,-0.078666129
CBR3,54.0,0.445176236,228.0,1.118985,-0.325340347
CBS,4385.0,0.477784031,626.0,2.380773,-0.751626255
CBX5,10815.0,0.390902295,318.0,-0.816121,-0.312362309
CBX8,2504.0,0.36735217,118.0,1.923135,0.201964653
CCDC115,2169.0,0.385110507,452.0,-0.431168,-0.076616203
CCDC58,2462.0,0.421830022,75.0,0.638832,-0.129478014
CCDC88C,1302.0,0.396031427,154.0,-0.556538,-0.266570065
CCL5,886.0,0.462166288,68.0,0.81106,0.548127483
CCNA2,1206.0,0.409154498,373.0,0.909925,-0.18879101
CCNB2,168.0,0.374401461,184.0,1.82537,-0.118517004
CCNDBP1,2336.0,0.44393643,231.0,-0.580034,-0.258067703
CCS,4244.0,0.460896681,43.0,0.444534,0.23055337
CCT3,238.0,0.457984718,231.0,0.519163,-0.212617974
CCT4,1361.0,0.393363555,164.0,0.873764,0.061023031
CD14,128.0,0.416321757,392.0,0.506778,0.098241554
CD209,3046.0,0.440000747,67.0,2.057031,0.156216344
CD36,2894.0,0.410517795,414.0,-1.703851,-0.31766473
CD40,982.0,0.429065654,90.0,0.338009,0.532303367
CD44,3115.0,0.39995987,434.0,1.284628,-0.05091262
CD63,923.0,0.512738356,403.0,0.780402,0.212093755
CD74,635.0,0.427357309,187.0,1.425763,0.550092609
CDC25C,437.0,0.364786128,387.0,1.431964,0.424452071
CDC26,271.0,0.395637029,359.0,-0.013617,0.039059162
CDC34,560.0,0.46431386,199.0,0.940583,0.096577899
CDC42EP3,3941.0,0.420378821,1009.0,-1.320207,-0.0840526
CDCA3,816.0,0.351209268,820.0,1.147083,-0.956734014
CDCA8,1353.0,0.384295288,290.0,1.298872,-0.445954611
CDIPT,1864.0,0.442654716,541.0,0.916306,-0.113770091
CDK1,2313.0,0.398329505,154.0,0.594364,-0.700069034
CDK19,4557.0,0.421511824,180.0,0.314419,-0.617516609
CDK2AP1,766.0,0.439144625,522.0,2.236875,0.069373476
CDK5RAP2,367.0,0.371069462,192.0,-0.985187,-0.408916576
CDK5RAP3,284.0,0.469750898,1791.0,-0.806056,0.233813366
CDKAL1,1365.0,0.417875209,167.0,-0.665219,-0.215379315
CDKN2AIPNL,3639.0,0.409801696,53.0,0.659698,-0.44982826
CDKN2C,2247.0,0.381912025,1216.0,0.2631,0.233592872
CENPH,1478.0,0.418392258,87.0,0.701234,-0.019521545
CENPV,301.0,0.385948267,62.0,-0.23502,-0.734991301
CEP55,939.0,0.397841874,304.0,0.736254,-0.159088033
CES3,2100.0,0.377378956,446.0,3.923347,-0.350645878
CETN2,868.0,0.433727498,47.0,-0.336129,0.238783369
CFL1,677.0,0.502791,234.0,0.716348,-0.02511526
CHAC2,786.0,0.395629742,277.0,1.02532,-0.149334037
CHCHD4,3528.0,0.445497334,326.0,1.035001,0.542741403
CHMP4A,296.0,0.447100154,262.0,0.507084,0.064036448
CHMP5,1241.0,0.442987983,200.0,0.052841,0.081636875
CHMP6,980.0,0.489861105,78.0,1.271029,0.475107516
CHTF8,2425.0,0.424551152,142.0,0.010297,0.109429744
CIAPIN1,1024.0,0.451663323,242.0,0.982195,0.167086665
CISD2,5376.0,0.433298698,107.0,0.642301,0.23575738
CKAP4,2872.0,0.386259817,84.0,0.56238,-0.110245453
CKS2,300.0,0.317949998,98.0,0.476771,-0.582698907
CLCC1,5185.0,0.369704467,150.0,-0.117951,0.513045519
CLCN7,1698.0,0.459147749,110.0,0.984514,-0.085539623
CLIC1,290.0,0.4571302,573.0,0.35526,0.047235694
CLK3,1233.0,0.4268607,461.0,-0.078035,0.176377345
CLPTM1,458.0,0.383990827,351.0,0.620243,0.39940458
CLTA,288.0,0.450950874,514.0,0.262389,0.028613567
CLTB,319.0,0.48548545,210.0,0.961198,0.744040419
CLTC,3104.0,0.384957863,443.0,0.467123,-0.132193187
CNBP,6850.0,0.433298698,206.0,-0.018489,-0.070548053
CNPY2,123.0,0.392778455,553.0,0.939576,0.22199981
CNPY3,1042.0,0.459231502,584.0,0.164672,-0.048946324
COG3,1967.0,0.414689223,142.0,-0.044421,0.166219014
COMMD1,306.0,0.423842833,138.0,0.190745,0.13445698
COMMD3,431.0,0.360487018,35.0,-0.283432,-0.101769769
COMMD5,498.0,0.445713337,399.0,0.1153,0.066839315
COMMD6,1375.0,0.396967837,328.0,-0.103911,0.072322495
COMMD9,2340.0,0.418062772,89.0,-0.208831,-0.035100623
COPB1,446.0,0.381738818,307.0,0.093957,-0.023654234
COPE,165.0,0.478760693,55.0,0.472145,0.005463462
COQ6,671.0,0.374062527,159.0,0.200049,0.04951864
COQ7,5700.0,0.42379098,133.0,-0.232017,0.021215084
CORO1A,112.0,0.457388252,435.0,0.295238,0.330294811
COX17,1735.0,0.484254073,86.0,0.41505,0.747835818
COX5A,860.0,0.429944966,140.0,0.63174,0.1130113
COX7A2,302.0,0.441893926,98.0,0.400408,-0.25035492
CPM,5262.0,0.406054343,75.0,-0.335813,-0.293316599
CPSF4,923.0,0.452412439,277.0,-0.572683,-0.112376555
CPT1A,2761.0,0.374132033,170.0,-0.191434,-0.411898757
CPT2,602.0,0.431256564,515.0,1.103422,-0.011902159
CRCP,8457.0,0.390198146,145.0,-0.33675,-0.065836642
CRKL,3904.0,0.422225684,509.0,0.370846,0.026619894
CRTAP,5601.0,0.446308827,120.0,0.050732,0.215364619
CRTC3,3205.0,0.355982524,186.0,0.859577,0.311483443
CRY2,2337.0,0.383442872,132.0,-0.578456,0.106281862
CRYL1,462.0,0.386242786,79.0,0.342187,0.240082487
CSRP1,1183.0,0.493833101,217.0,0.145065,-0.013082226
CST3,2762.0,0.475763324,186.0,-0.758868,-0.138559702
CSTF2,1931.0,0.372934478,58.0,0.402071,-0.06640144
CTBP1,800.0,0.464034004,393.0,0.057205,0.030197581
CTNNA1,1216.0,0.412513324,1103.0,0.135074,-0.157023375
CTNNB1,1106.0,0.432073699,448.0,-0.284475,-0.031627789
CTNNBIP1,2448.0,0.394834327,307.0,0.425629,-0.185460081
CTPS2,1870.0,0.416273085,744.0,1.815462,1.09415159
CTSG,119.0,0.369503415,37.0,-2.091755,-0.302814716
CTSH,1072.0,0.446467856,1192.0,0.102292,0.442016038
CUEDC1,2047.0,0.374410739,719.0,-0.353408,-0.411445503
CUX1,1040.0,0.395555213,127.0,-0.576883,0.14297019
CXCL10,814.0,0.410287201,105.0,2.493533,0.074537551
CXCL9,2323.0,0.403736618,74.0,2.541704,0.843330879
CYBB,2544.0,0.418993019,61.0,0.024005,0.10179663
CYP2S1,1051.0,0.420869286,58.0,0.890121,-0.085356494
CYTH4,1837.0,0.406296106,377.0,0.451832,0.237814297
DAB2,1757.0,0.368483127,531.0,-0.677014,0.378674122
DAGLB,721.0,0.377719723,170.0,0.368977,-0.059516321
DAP3,768.0,0.366492687,184.0,0.126268,0.073457207
DAPP1,2082.0,0.348655603,90.0,-0.838386,-0.311710725
DBI,233.0,0.467027529,479.0,0.506829,-0.890660089
DCAF8,1877.0,0.380310979,212.0,-0.121381,0.046353972
DCP1A,4153.0,0.411936399,381.0,-0.438766,-0.109410883
DCPS,4731.0,0.375605648,329.0,0.116427,0.140384017
DCTN5,10597.0,0.443116252,177.0,0.964506,0.150392743
DDAH2,653.0,0.361046801,1104.0,-0.562347,0.044074486
DDB2,1223.0,0.43604051,195.0,-0.428769,-0.067911737
DDX23,713.0,0.445931172,91.0,0.448191,0.198769281
DDX31,1870.0,0.361830896,544.0,-0.232676,-0.208715547
DDX47,438.0,0.379294484,22.0,0.135696,0.13090032
DDX54,1704.0,0.467316231,28.0,0.258035,-0.135786586
DDX56,586.0,0.438032149,643.0,0.680449,0.002154572
DDX59,217.0,0.413095257,243.0,-0.109118,0.052389979
DHODH,3463.0,0.371608285,21.0,0.588445,-0.174200874
DHPS,121.0,0.474111752,121.0,1.185129,0.662099947
DHX15,459.0,0.379133957,168.0,-0.468912,-0.408673508
DHX34,591.0,0.384465978,349.0,0.679223,0.071955708
DHX58,357.0,0.440330409,223.0,-0.085258,-0.153041402
DIABLO,719.0,0.425893605,1182.0,0.307704,-0.423777647
DMAP1,63.0,0.471306,301.0,-0.255647,0.018758316
DMXL2,1274.0,0.389901613,225.0,-0.316508,0.388474709
DNAJA4,1736.0,0.398301408,169.0,0.899939,0.190050053
DNAJC19,1326.0,0.403482491,259.0,-0.093227,-0.007227344
DNAJC25,1212.0,0.430964931,56.0,-0.165494,0.277608931
DNAJC8,969.0,0.416719859,33.0,0.029771,0.115942665
DNM1,1255.0,0.393835111,116.0,-0.482429,0.264315201
DNTTIP2,3564.0,0.408096853,58.0,-0.448504,0.110401611
DOCK11,3681.0,0.373818855,63.0,-1.083324,0.230445468
DOCK2,524.0,0.446250827,52.0,-0.316418,0.286932731
DOK2,438.0,0.384043737,481.0,0.674967,0.236602947
DPCD,197.0,0.459155016,389.0,-0.521856,-0.653713258
DPF2,2501.0,0.393394442,133.0,0.07722,0.016435826
DPH1,1310.0,0.448716064,341.0,0.251836,-0.333871644
DPH5,784.0,0.413363166,165.0,0.11718,-0.286694541
DPY30,562.0,0.438431353,279.0,0.791201,-0.118033139
DPYSL2,2472.0,0.430530829,431.0,-1.192436,-0.119603549
DRAP1,142.0,0.432809908,245.0,0.727168,0.147144061
DRG1,4594.0,0.444150091,131.0,0.58043,-0.325266926
DSN1,5330.0,0.392894937,373.0,-0.231616,-0.203043222
DSTN,2786.0,0.375776803,438.0,-0.874559,-0.32479425
DTL,2265.0,0.372315747,921.0,0.310335,0.052795855
DTX3L,3456.0,0.408848169,89.0,0.679688,0.176743995
DUSP12,374.0,0.419884133,34.0,0.119977,0.220566822
DUT,1937.0,0.36471409,109.0,-0.093948,-0.108192165
DYNLT1,514.0,0.420362019,78.0,0.196157,-0.603679066
EBAG9,1437.0,0.39438748,402.0,-0.345535,0.341172651
ECH1,191.0,0.389477111,85.0,0.871355,-0.159284403
ECHDC2,2269.0,0.400166641,752.0,0.948907,-0.434497683
ECM1,322.0,0.43792189,199.0,-0.070437,-0.0930251
EDEM2,76.0,0.379021051,100.0,2.662665,0.206322387
EEA1,5374.0,0.405861636,265.0,-0.845646,0.13967914
EEF1A2,286.0,0.417272363,329.0,4.142098,0.641452494
EFTUD2,1331.0,0.444646836,398.0,0.149043,-0.025549314
EHD1,3363.0,0.446314898,447.0,0.019221,-0.170724239
EIF2AK2,8063.0,0.394727306,557.0,0.022654,0.039712252
EIF2B3,1058.0,0.383118637,239.0,1.045727,0.186208854
EIF3F,5840.0,0.435728237,33.0,-0.252112,-0.10807767
EIF3L,1718.0,0.380710116,245.0,0.442477,-0.092393087
EIF4A3,1120.0,0.381528282,222.0,1.300678,0.116214397
ELAVL1,4910.0,0.437605432,167.0,0.112213,0.014138015
EMG1,248.0,0.433768095,143.0,1.047359,0.100795315
EMILIN2,2605.0,0.379592019,159.0,0.224453,0.110689661
ENDOD1,7728.0,0.376426787,118.0,-0.452423,0.091684545
ENOSF1,2904.0,0.382279782,622.0,-1.274242,-0.563505009
ENY2,2576.0,0.41756619,146.0,0.48539,0.03352244
EPSTI1,2106.0,0.391777705,469.0,0.6853,0.302637523
ERCC1,2342.0,0.45058755,188.0,0.128708,0.002275347
ERCC6L,4809.0,0.354829683,623.0,0.633577,-0.031728181
ERH,415.0,0.383837906,71.0,0.606629,0.37794781
ERLIN1,2041.0,0.444737514,478.0,0.023635,-0.039805603
ERP29,1277.0,0.401191178,118.0,0.179953,-0.247275936
ETV6,4356.0,0.398240844,274.0,-0.028477,-0.159891594
EXOC4,1232.0,0.388187525,35.0,-0.886926,-0.145441832
EXOC8,6907.0,0.436106501,127.0,0.562205,0.015464145
EXOSC1,536.0,0.430105347,451.0,-0.448395,0.038783557
EXOSC2,3902.0,0.431273517,32.0,-0.233751,-0.156717716
F8A1,571.0,0.46317284,15.0,-0.19119,-0.159114551
FAAH,2043.0,0.384592892,82.0,0.170233,0.735558084
FAF1,4425.0,0.401181969,453.0,-0.208869,-0.044002753
FAM122A,4542.0,0.40477622,33.0,-1.055829,0.119262181
FAM168A,6285.0,0.395008865,285.0,-0.724243,-0.010747368
FAM177A1,2165.0,0.411149627,459.0,0.571391,0.207521157
FAM192A,1824.0,0.379195199,1475.0,0.19433,0.014173219
FAM20B,4428.0,0.4357945,293.0,-0.460168,0.038446902
FAM32A,1091.0,0.408676074,42.0,0.271002,0.294740842
FAM50A,286.0,0.482889735,110.0,-0.114655,-0.075457857
FBP1,248.0,0.397353747,331.0,-1.998463,-0.568463987
FBXL20,9338.0,0.383104745,254.0,-0.791255,-0.077884469
FBXO4,526.0,0.393825218,58.0,-0.154436,0.13024045
FBXO6,503.0,0.42307306,166.0,1.628038,0.261705752
FCER1G,305.0,0.4202976,25.0,0.795488,0.377576511
FCGRT,309.0,0.433069976,486.0,-0.796402,0.129539226
FDPS,72.0,0.456397562,392.0,0.983369,-0.300749203
FDXR,596.0,0.384661194,188.0,1.417632,0.052155654
FEN1,1340.0,0.407867196,413.0,1.249517,0.08908128
FERMT3,399.0,0.435119014,149.0,0.435037,0.190358242
FGD2,907.0,0.441856308,171.0,-0.210674,0.14957887
FGFR1OP2,1663.0,0.396595515,353.0,-0.720153,0.07746748
FGL2,3460.0,0.40966218,40.0,-0.414117,-0.114507761
FKBP1A,1132.0,0.428443098,174.0,0.620088,-0.028753018
FKBPL,24.0,0.377510344,270.0,0.25841,0.194125004
FLOT1,422.0,0.472159534,339.0,0.225093,0.11771918
FN3K,442.0,0.389857108,61.0,1.799512,0.098387115
FN3KRP,3667.0,0.380720834,50.0,0.007852,-0.474581963
FOXJ3,3176.0,0.401878681,312.0,-0.452763,-0.398724713
FOXK2,3108.0,0.440496276,171.0,0.848356,0.011276499
FOXRED1,443.0,0.438630908,167.0,0.149,0.143733237
FSCN1,1184.0,0.396100853,132.0,0.040477,0.037805248
FTH1,530.0,0.425357612,235.0,-0.113569,-0.13110113
FTL,1031.0,0.428438948,199.0,-0.159696,-0.41880994
FTSJ1,638.0,0.457521275,569.0,0.416231,-0.160502681
FTSJ3,698.0,0.388239396,646.0,1.421582,0.111307545
FXN,6365.0,0.40465004,220.0,0.164849,-0.144834239
GABARAPL2,564.0,0.431291441,136.0,0.090404,0.503552888
GABPB1,1320.0,0.423118524,469.0,-0.076098,0.009569838
GALK1,292.0,0.455574511,63.0,1.815872,0.192466269
GANAB,989.0,0.425909644,1027.0,0.718763,0.12602289
GAS6,315.0,0.393865445,183.0,0.215882,0.050087759
GAS7,6619.0,0.423630168,311.0,-0.71269,0.495662894
GBE1,708.0,0.404013874,283.0,-0.390635,-0.112809193
GBP1,1735.0,0.42614962,220.0,2.08299,0.795837478
GBP2,5058.0,0.440134196,314.0,3.320673,1.190562265
GBP4,4106.0,0.42983554,116.0,3.786739,0.722398891
GBP5,1753.0,0.421901204,537.0,5.033979,2.003961287
GFOD2,622.0,0.396604754,295.0,0.069847,0.001406769
GGA2,5408.0,0.377812588,83.0,-0.178279,-0.131604685
GGCX,5211.0,0.417836117,106.0,0.862764,0.124654717
GIGYF1,2212.0,0.443456438,1210.0,-1.003465,-0.148280939
GINS3,1415.0,0.387351931,208.0,0.578598,-0.305166031
GLA,1699.0,0.378726947,110.0,0.373198,-0.084172931
GLE1,1357.0,0.383457083,114.0,-0.592793,-0.170008647
GLRX,1188.0,0.430296645,211.0,2.714186,0.427148683
GLRX3,3557.0,0.41418463,539.0,0.223925,-0.112852292
GLUD1,1558.0,0.392454008,1132.0,0.357758,0.037539083
GLYR1,2033.0,0.39940414,57.0,-0.318323,-0.103988669
GMEB1,4582.0,0.43446142,142.0,-0.226126,0.019903469
GMPPA,198.0,0.434966364,375.0,1.378459,0.416364116
GMPR,3984.0,0.435743929,114.0,-0.59012,-0.481838178
GMPR2,464.0,0.453637396,704.0,0.262373,-0.193030621
GNAI1,1947.0,0.435804474,356.0,0.142991,-0.414094553
GNG7,3803.0,0.398730372,237.0,-0.621477,-0.413245291
GNPDA1,1360.0,0.395964134,67.0,0.169007,0.033784999
GOLGA2,1243.0,0.401070546,13.0,-0.269107,0.188391205
GON4L,926.0,0.418089888,175.0,-0.369858,-0.109761498
GOSR1,5968.0,0.408103421,237.0,1.400973,0.831253329
GOSR2,3258.0,0.374298057,541.0,-0.085474,0.113229711
GOT2,1054.0,0.444803236,129.0,0.904506,-0.25407689
GPS2,97.0,0.431122181,76.0,0.787963,0.327440299
GPX7,626.0,0.395840774,39.0,0.650416,-0.023936861
GRAMD1A,299.0,0.411657297,748.0,-0.025615,0.130139554
GRB2,2292.0,0.4413596,358.0,0.942424,0.223284813
GSTM4,2467.0,0.390909061,314.0,-0.169309,-1.73757819
GTF2A2,1070.0,0.420716795,404.0,0.348124,0.400023862
GTF2E2,604.0,0.365750105,273.0,0.241257,0.028688612
GTF3C2,932.0,0.372227001,397.0,0.029587,-0.379421485
GTPBP1,2894.0,0.424954603,154.0,0.383789,0.073891758
GTPBP3,1032.0,0.436547413,95.0,0.293594,-0.213652209
GTSE1,680.0,0.368527868,212.0,1.416171,0.095792667
GTSF1,222.0,0.36097632,86.0,-0.129024,-0.288345629
HADH,818.0,0.383558671,219.0,-0.605474,-0.444151533
HADHA,615.0,0.383558671,130.0,-0.139009,-0.093861679
HAUS5,3319.0,0.378752573,51.0,-0.138362,0.0835135
HAUS8,346.0,0.37535995,111.0,0.207412,-0.237884176
HCCS,1274.0,0.398607648,275.0,5.011419,2.545652407
HCK,337.0,0.440224323,364.0,-0.186755,-0.02509951
HDAC1,591.0,0.390040122,63.0,-0.19988,0.194433915
HDDC3,763.0,0.387287166,29.0,1.216323,0.491017347
HDGF,1342.0,0.465394593,322.0,0.76529,-0.21719366
HDLBP,2343.0,0.397687311,375.0,0.617285,0.24431539
HEATR3,1385.0,0.384091545,883.0,0.727265,0.35014061
HEBP2,9119.0,0.359416339,297.0,1.5212,0.78465317
HECA,3704.0,0.443714129,285.0,0.115817,0.050591493
HECTD3,3914.0,0.446742268,98.0,0.299878,-0.029590917
HERC2,726.0,0.429958504,109.0,0.146257,0.191192013
HERC5,379.0,0.393838904,153.0,0.186616,-0.11770726
HERC6,651.0,0.398146132,183.0,1.090294,-0.039979511
HIP1,4874.0,0.430847644,52.0,-0.766657,0.130345076
HLA-A,4150.0,0.424443523,84.0,0.723435,-0.688744961
HLA-C,420.0,0.421684519,65.0,1.472063,1.266179267
HLA-DRA,409.0,0.420807891,109.0,0.758693,0.929144805
HLA-E,1459.0,0.413523771,126.0,0.995978,0.545430676
HLA-F,121.0,0.407256461,124.0,1.554357,0.43444799
HMBOX1,3560.0,0.369177113,482.0,-1.42166,-2.36431966
HMBS,266.0,0.451934812,299.0,0.283351,-0.080449359
HMGB2,3775.0,0.450826504,193.0,-0.474516,-0.237137377
HMGCS1,3661.0,0.374424323,345.0,0.012287,0.114885732
HMOX1,616.0,0.436401717,107.0,-0.341051,-0.096467204
HNRNPA0,7504.0,0.386421138,284.0,0.386025,0.095941032
HNRNPD,1688.0,0.420386111,318.0,0.018937,-0.301193527
HNRNPL,1102.0,0.449817015,176.0,0.258111,-0.110526463
HNRNPU,4156.0,0.432126199,218.0,0.05513,0.089747277
HNRNPUL1,2135.0,0.394022965,339.0,0.282909,-0.000675641
HNRNPUL2,2674.0,0.436897081,229.0,0.101548,0.003417035
HSBP1,3274.0,0.4454546,174.0,0.264766,0.262858821
HSD11B1,4482.0,0.426649415,154.0,3.535711,-0.267383941
HSD17B7,398.0,0.431983247,99.0,0.647599,0.228015203
HSP90AB1,313.0,0.39509298,251.0,0.292024,-0.417827501
HSPA1L,428.0,0.464100714,183.0,-0.004669,-0.206741555
HSPA4L,7877.0,0.413794867,342.0,0.233919,-0.148559427
HSPB11,107.0,0.34538245,284.0,1.509973,-0.347878227
HTRA2,571.0,0.421976635,602.0,-0.171979,-0.224339816
HTT,3901.0,0.373695076,145.0,-0.436032,0.055039183
HUS1,2068.0,0.374612864,131.0,0.170966,0.055412808
HYI,310.0,0.378597605,196.0,0.12954,-0.274271743
HYOU1,1409.0,0.403839016,234.0,0.996954,0.10633323
ICAM1,1537.0,0.426062071,319.0,1.327738,-0.23131434
IER3IP1,3342.0,0.438740024,97.0,-0.05649,-0.179421288
IFI16,254.0,0.415211655,290.0,0.296595,0.342851954
IFI30,213.0,0.431523306,62.0,0.456511,0.176226419
IFI35,160.0,0.418462024,223.0,0.718103,0.019910932
IFI44,267.0,0.403888008,124.0,1.191014,0.142510582
IFI44L,5058.0,0.403608012,200.0,0.795474,-0.063070645
IFIH1,121.0,0.412344512,377.0,0.469305,-0.135283015
IFIT1,2775.0,0.411248073,495.0,0.533607,0.012817576
IFIT2,1901.0,0.420797646,175.0,0.512235,0.001040205
IFIT3,843.0,0.417440574,529.0,1.164313,0.006799294
IFIT5,2354.0,0.414819429,231.0,0.272883,0.084096129
