,3prime,tAI,max_5_UTR_length,TCGA-A2-A0SW,TCGA-A2-A0SW.1
CDC42EP3,3941.0,0.420378821,1009.0,-0.755107,0.859631347
CDCA8,1353.0,0.384295288,290.0,1.331369,0.872547272
CDK1,2313.0,0.398329505,154.0,0.794239,0.099441772
CDK2AP1,766.0,0.439144625,522.0,-0.7097,-0.491273139
CDK5RAP2,367.0,0.371069462,192.0,-0.005418,0.222296968
CDK5RAP3,284.0,0.469750898,1791.0,0.794428,0.39853602
CDKAL1,1365.0,0.417875209,167.0,0.148177,-0.407981777
CDKN2AIPNL,3639.0,0.409801696,53.0,0.143128,0.032851683
CDKN2C,2247.0,0.381912025,1216.0,-0.765412,0.49454789
CEBPD,1714.0,0.430497143,44.0,-0.679065,0.734346385
CENPV,301.0,0.385948267,62.0,-2.392982,-0.45088856
CEP55,939.0,0.397841874,304.0,0.972078,0.20913505
CES3,2100.0,0.377378956,446.0,4.175063,0.692412775
CETN2,868.0,0.433727498,47.0,0.558448,0.016298112
CFL1,677.0,0.502791,234.0,0.486631,-0.034792677
CHAC2,786.0,0.395629742,277.0,1.633487,0.365003222
CHCHD4,3528.0,0.445497334,326.0,0.049414,0.07926663
CHMP4A,296.0,0.447100154,262.0,0.975653,0.327224476
CHMP5,1241.0,0.442987983,200.0,-0.244242,0.625823426
CHMP6,980.0,0.489861105,78.0,0.27454,-0.083744451
CHTF8,2425.0,0.424551152,142.0,-0.190462,0.518045794
CIAPIN1,1024.0,0.451663323,242.0,0.669851,0.048808649
CISD2,5376.0,0.433298698,107.0,0.220779,-0.438642297
CKAP4,2872.0,0.386259817,84.0,0.314234,-0.144448509
CKS2,300.0,0.317949998,98.0,1.062091,0.82145608
CLCC1,5185.0,0.369704467,150.0,0.345733,-0.193080185
CLCN7,1698.0,0.459147749,110.0,0.481123,-0.731958576
CLIC1,290.0,0.4571302,573.0,0.487717,0.096803595
CLK2,350.0,0.410673686,925.0,-0.019047,-0.281876078
CLK3,1233.0,0.4268607,461.0,-0.421996,-0.004868214
CLPTM1,458.0,0.383990827,351.0,0.534926,-1.016274755
CLTA,288.0,0.450950874,514.0,0.44528,1.093738161
CLTB,319.0,0.48548545,210.0,0.708604,0.380963165
CLTC,3104.0,0.384957863,443.0,0.64366,-0.339480097
CNBP,6850.0,0.433298698,206.0,-0.194518,-0.004325142
CNPY2,123.0,0.392778455,553.0,0.756001,0.10913331
CNPY3,1042.0,0.459231502,584.0,0.459652,0.075176467
COG3,1967.0,0.414689223,142.0,-0.47532,-0.355209359
COMMD1,306.0,0.423842833,138.0,-0.090436,0.199276401
COMMD3,431.0,0.360487018,35.0,-0.579681,0.018303551
COMMD5,498.0,0.445713337,399.0,0.169662,0.27966921
COMMD6,1375.0,0.396967837,328.0,-0.981518,0.532139024
COMMD9,2340.0,0.418062772,89.0,0.381962,0.250380617
COPB1,446.0,0.381738818,307.0,0.116255,-0.197877314
COPE,165.0,0.478760693,55.0,0.72452,0.204822344
COQ6,671.0,0.374062527,159.0,-0.66203,0.391434665
COQ7,5700.0,0.42379098,133.0,-0.374772,0.218450531
CORO1A,112.0,0.457388252,435.0,1.326553,0.34913909
COX17,1735.0,0.484254073,86.0,0.345586,-0.051415277
COX5A,860.0,0.429944966,140.0,0.081597,-0.12682934
COX7A2,302.0,0.441893926,98.0,0.654852,0.773160055
CPM,5262.0,0.406054343,75.0,0.786519,0.389184968
CPSF4,923.0,0.452412439,277.0,0.465013,-0.192488769
CPT1A,2761.0,0.374132033,170.0,1.032885,-0.441041468
CPT2,602.0,0.431256564,515.0,0.282699,-0.104815988
CRCP,8457.0,0.390198146,145.0,0.636945,0.00556655
CRKL,3904.0,0.422225684,509.0,-0.809575,-0.34416668
CRTAP,5601.0,0.446308827,120.0,-0.407621,0.074072021
CRTC3,3205.0,0.355982524,186.0,-0.737982,-0.250795152
CRY2,2337.0,0.383442872,132.0,-0.234198,0.008124798
CRYL1,462.0,0.386242786,79.0,-0.733683,0.373827424
CSRP1,1183.0,0.493833101,217.0,-0.346734,-0.315626685
CST3,2762.0,0.475763324,186.0,-0.38921,0.217973863
CSTF2,1931.0,0.372934478,58.0,0.060309,-0.209350954
CTBP1,800.0,0.464034004,393.0,0.54996,-0.105267089
CTNNA1,1216.0,0.412513324,1103.0,0.234341,-0.198039234
CTNNB1,1106.0,0.432073699,448.0,-1.18051,-0.246362697
CTNNBIP1,2448.0,0.394834327,307.0,1.009808,0.762029725
CTPS2,1870.0,0.416273085,744.0,1.133261,0.148969967
CTSG,119.0,0.369503415,37.0,-0.705878,0.239771432
CTSH,1072.0,0.446467856,1192.0,0.817957,0.692539057
CUEDC1,2047.0,0.374410739,719.0,0.242319,0.622832671
CUX1,1040.0,0.395555213,127.0,-0.170336,-0.154448967
CXCL10,814.0,0.410287201,105.0,2.50845,0.089241123
CXCL9,2323.0,0.403736618,74.0,3.247162,0.040596599
CYBB,2544.0,0.418993019,61.0,0.885741,-0.13422379
CYTH4,1837.0,0.406296106,377.0,1.338169,0.510421194
DAB2,1757.0,0.368483127,531.0,0.227057,0.625597714
DAGLB,721.0,0.377719723,170.0,0.689553,0.034890668
DAP3,768.0,0.366492687,184.0,0.615049,0.345868856
DAPP1,2082.0,0.348655603,90.0,0.674469,0.199936286
DBI,233.0,0.467027529,479.0,1.851414,0.700410138
DCAF8,1877.0,0.380310979,212.0,0.090097,0.077724824
DCP1A,4153.0,0.411936399,381.0,-0.851877,-0.128405058
DCPS,4731.0,0.375605648,329.0,0.627437,0.023243189
DCTN5,10597.0,0.443116252,177.0,0.104911,0.212415764
DDAH2,653.0,0.361046801,1104.0,0.247073,0.269020311
DDB2,1223.0,0.43604051,195.0,-0.393975,0.327156534
DDX23,713.0,0.445931172,91.0,0.715979,0.002982193
DDX31,1870.0,0.361830896,544.0,0.189934,-0.226520013
DDX47,438.0,0.379294484,22.0,-0.335737,-0.02910912
DDX54,1704.0,0.467316231,28.0,0.163977,0.100933134
DDX56,586.0,0.438032149,643.0,0.726364,-0.065222097
DDX59,217.0,0.413095257,243.0,-0.152611,-0.036615073
DHODH,3463.0,0.371608285,21.0,0.304652,0.432559429
DHPS,121.0,0.474111752,121.0,0.150468,0.374855758
DHX15,459.0,0.379133957,168.0,0.104915,-0.019375444
DHX34,591.0,0.384465978,349.0,0.045246,-0.010688827
DHX58,357.0,0.440330409,223.0,-0.503671,-0.259960176
DIABLO,719.0,0.425893605,1182.0,0.007572,-0.112044117
DMAP1,63.0,0.471306,301.0,0.183193,-0.114363865
DMXL2,1274.0,0.389901613,225.0,-0.958797,-0.066774481
DNAJA4,1736.0,0.398301408,169.0,-0.174562,-0.554457671
DNAJC19,1326.0,0.403482491,259.0,-0.090652,0.092841846
DNAJC25,1212.0,0.430964931,56.0,-0.169111,0.157017972
DNAJC8,969.0,0.416719859,33.0,0.320841,0.134485502
DNM1,1255.0,0.393835111,116.0,-0.409736,0.109161731
DNTTIP2,3564.0,0.408096853,58.0,0.446708,-0.075918086
DOCK11,3681.0,0.373818855,63.0,1.430948,0.484311458
DOCK2,524.0,0.446250827,52.0,1.308354,0.401390855
DOK2,438.0,0.384043737,481.0,1.361796,0.563000976
DPCD,197.0,0.459155016,389.0,-0.126155,-0.469335456
DPF2,2501.0,0.393394442,133.0,0.234618,-0.140381886
DPH1,1310.0,0.448716064,341.0,-0.338879,-0.75946157
DPH5,784.0,0.413363166,165.0,0.261124,0.137310004
DPY30,562.0,0.438431353,279.0,0.391855,0.162844176
DPYSL2,2472.0,0.430530829,431.0,1.680735,0.762562136
DRAP1,142.0,0.432809908,245.0,0.857593,0.210147665
DRG1,4594.0,0.444150091,131.0,0.396945,-0.138910923
DSN1,5330.0,0.392894937,373.0,1.517657,0.070459111
DSTN,2786.0,0.375776803,438.0,0.059466,-0.150629816
DTL,2265.0,0.372315747,921.0,0.90889,0.931217835
DTX3L,3456.0,0.408848169,89.0,0.067242,0.124862434
DUSP12,374.0,0.419884133,34.0,-0.029146,0.250209059
DUT,1937.0,0.36471409,109.0,-0.511776,-0.425869767
DYNLT1,514.0,0.420362019,78.0,0.363975,0.144067056
EBAG9,1437.0,0.39438748,402.0,-0.031542,-0.124211711
ECH1,191.0,0.389477111,85.0,0.544061,0.072612241
ECHDC2,2269.0,0.400166641,752.0,0.025441,0.282466526
ECM1,322.0,0.43792189,199.0,0.308085,0.168734189
EDEM2,76.0,0.379021051,100.0,0.795217,0.229972262
EEA1,5374.0,0.405861636,265.0,-0.485513,0.241232871
EEF1A2,286.0,0.417272363,329.0,-5.168614,-1.707260353
EFTUD2,1331.0,0.444646836,398.0,-0.383987,-0.313851172
EHD1,3363.0,0.446314898,447.0,0.431549,0.136247288
EIF2AK2,8063.0,0.394727306,557.0,-0.224584,0.026308901
EIF2B3,1058.0,0.383118637,239.0,0.479076,0.147801021
EIF3F,5840.0,0.435728237,33.0,-0.364332,0.113791017
EIF3L,1718.0,0.380710116,245.0,-0.44249,-0.232810346
EIF4A3,1120.0,0.381528282,222.0,0.529084,-0.165468345
ELAVL1,4910.0,0.437605432,167.0,0.077693,-0.066423813
EMG1,248.0,0.433768095,143.0,0.542234,-0.059086649
EMILIN2,2605.0,0.379592019,159.0,-0.087274,0.06831061
ENDOD1,7728.0,0.376426787,118.0,0.941587,-0.096498789
ENOSF1,2904.0,0.382279782,622.0,-0.58115,-0.645909336
ENY2,2576.0,0.41756619,146.0,0.183378,0.021726423
ERCC1,2342.0,0.45058755,188.0,-0.407755,0.201600571
ERCC6L,4809.0,0.354829683,623.0,0.663481,-0.106476523
ERH,415.0,0.383837906,71.0,0.134656,-0.026188683
ERLIN1,2041.0,0.444737514,478.0,-0.766337,-0.16165308
ERP29,1277.0,0.401191178,118.0,0.525066,0.588066387
ETV6,4356.0,0.398240844,274.0,-0.313122,-0.504590044
EXOC4,1232.0,0.388187525,35.0,0.051944,-0.11510429
EXOC8,6907.0,0.436106501,127.0,0.332779,-0.148519458
EXOSC1,536.0,0.430105347,451.0,0.515597,0.168685
EXOSC2,3902.0,0.431273517,32.0,-0.014128,0.007768653
F8A1,571.0,0.46317284,15.0,0.864719,-0.085547489
FAAH,2043.0,0.384592892,82.0,0.321559,-0.583811567
FAF1,4425.0,0.401181969,453.0,0.334792,-0.035288245
FAM122A,4542.0,0.40477622,33.0,-0.43677,-0.084026916
FAM168A,6285.0,0.395008865,285.0,-0.34833,0.400344824
FAM177A1,2165.0,0.411149627,459.0,0.599418,0.243372746
FAM192A,1824.0,0.379195199,1475.0,0.925935,0.194253477
FAM20B,4428.0,0.4357945,293.0,-0.015275,-0.1379004
FAM32A,1091.0,0.408676074,42.0,0.281574,-0.781542526
FAM50A,286.0,0.482889735,110.0,1.182444,0.267779176
FBP1,248.0,0.397353747,331.0,1.119394,0.528363081
FBXL20,9338.0,0.383104745,254.0,-1.317475,-0.972004896
FBXO4,526.0,0.393825218,58.0,0.233664,0.009689803
FBXO6,503.0,0.42307306,166.0,1.453741,-0.365506478
FCER1G,305.0,0.4202976,25.0,0.732284,-0.193553999
FCGRT,309.0,0.433069976,486.0,-0.302126,0.014409761
FCHO1,270.0,0.372951657,283.0,1.755312,0.508428952
FDPS,72.0,0.456397562,392.0,0.883673,0.232579083
FDXR,596.0,0.384661194,188.0,1.303028,0.124476922
FEN1,1340.0,0.407867196,413.0,0.580654,0.296549145
FERMT3,399.0,0.435119014,149.0,1.347324,0.115917756
FGD2,907.0,0.441856308,171.0,1.401605,0.613181635
FGFR1OP2,1663.0,0.396595515,353.0,-0.08128,0.11505632
FGL2,3460.0,0.40966218,40.0,-0.095905,0.132412661
FKBP1A,1132.0,0.428443098,174.0,0.073286,0.276856521
FKBPL,24.0,0.377510344,270.0,0.125972,-0.05670866
FLOT1,422.0,0.472159534,339.0,-0.277897,-0.36053265
FN3K,442.0,0.389857108,61.0,0.181409,-0.194707235
FN3KRP,3667.0,0.380720834,50.0,1.16182,0.321724244
FOXJ3,3176.0,0.401878681,312.0,0.110536,-0.064501771
FOXK2,3108.0,0.440496276,171.0,0.397054,-0.031580683
FOXRED1,443.0,0.438630908,167.0,1.087758,-0.25447399
FSCN1,1184.0,0.396100853,132.0,-0.01267,-0.052416061
FTH1,530.0,0.425357612,235.0,-0.148643,-0.595158354
FTL,1031.0,0.428438948,199.0,1.138834,-0.60298599
FTSJ1,638.0,0.457521275,569.0,0.059866,-0.062846178
FTSJ3,698.0,0.388239396,646.0,0.91981,-0.19186264
FXN,6365.0,0.40465004,220.0,0.217927,-0.891632477
GABARAPL2,564.0,0.431291441,136.0,-0.004135,0.11876572
GABPB1,1320.0,0.423118524,469.0,-0.153414,0.239249587
GALK1,292.0,0.455574511,63.0,1.541677,0.235982322
GANAB,989.0,0.425909644,1027.0,0.081589,-0.049255365
GAS6,315.0,0.393865445,183.0,-0.34306,0.077783371
GAS7,6619.0,0.423630168,311.0,-0.124144,-0.097170458
GBE1,708.0,0.404013874,283.0,-0.614346,-0.220422144
GBP1,1735.0,0.42614962,220.0,1.401765,0.040178454
GBP2,5058.0,0.440134196,314.0,0.834089,0.135718983
GBP4,4106.0,0.42983554,116.0,1.825572,0.545538441
GBP5,1753.0,0.421901204,537.0,1.986702,0.157043867
GCH1,2011.0,0.419329122,161.0,1.631591,0.85096633
GFOD2,622.0,0.396604754,295.0,0.01837,-0.529682084
GGA2,5408.0,0.377812588,83.0,-0.039859,-0.029687283
GGCX,5211.0,0.417836117,106.0,0.196039,-0.550091427
GIGYF1,2212.0,0.443456438,1210.0,0.027977,0.135048033
GINS3,1415.0,0.387351931,208.0,0.73984,0.779701097
GLA,1699.0,0.378726947,110.0,1.166582,0.535761524
GLE1,1357.0,0.383457083,114.0,0.09891,-0.032178749
GLRX,1188.0,0.430296645,211.0,0.814316,0.302721108
GLRX3,3557.0,0.41418463,539.0,0.526386,0.607541786
GLUD1,1558.0,0.392454008,1132.0,-0.514666,-0.026948087
GLYR1,2033.0,0.39940414,57.0,0.295976,-0.021135268
GMEB1,4582.0,0.43446142,142.0,-0.147241,0.09103036
GMPPA,198.0,0.434966364,375.0,0.678298,-0.104505334
GMPR,3984.0,0.435743929,114.0,-1.384701,-0.638213357
GMPR2,464.0,0.453637396,704.0,0.238061,0.366828915
GNAI1,1947.0,0.435804474,356.0,-0.330788,0.62496831
GNG7,3803.0,0.398730372,237.0,-1.006256,-0.027295236
GNPDA1,1360.0,0.395964134,67.0,0.048437,0.276696086
GOLGA2,1243.0,0.401070546,13.0,0.259001,0.021685524
GON4L,926.0,0.418089888,175.0,0.242394,0.202350313
GOSR1,5968.0,0.408103421,237.0,-0.77193,-0.249040008
GOSR2,3258.0,0.374298057,541.0,0.732587,0.814022967
GOT2,1054.0,0.444803236,129.0,1.067152,0.959411392
GPS2,97.0,0.431122181,76.0,0.017515,0.586156447
GPX7,626.0,0.395840774,39.0,0.042873,0.179304827
GRAMD1A,299.0,0.411657297,748.0,0.375847,-0.396118087
GRB2,2292.0,0.4413596,358.0,0.343169,-0.087688103
GSTM4,2467.0,0.390909061,314.0,0.425867,0.562414136
GTF2A2,1070.0,0.420716795,404.0,-0.508109,-0.413281584
GTF2E2,604.0,0.365750105,273.0,1.428021,0.574928176
GTF3C2,932.0,0.372227001,397.0,0.205333,-0.123472383
GTPBP1,2894.0,0.424954603,154.0,0.082621,0.140903786
GTPBP3,1032.0,0.436547413,95.0,0.280484,0.037693267
GTSF1,222.0,0.36097632,86.0,2.482538,0.328291215
HADH,818.0,0.383558671,219.0,0.141507,0.213088285
HADHA,615.0,0.383558671,130.0,-0.071247,0.26004045
HAUS5,3319.0,0.378752573,51.0,0.287026,-0.271785641
HAUS8,346.0,0.37535995,111.0,0.644449,0.102484348
HCCS,1274.0,0.398607648,275.0,0.392999,-0.526466013
HCK,337.0,0.440224323,364.0,0.698315,0.245933487
HDAC1,591.0,0.390040122,63.0,0.761172,0.014529614
HDDC3,763.0,0.387287166,29.0,-0.170321,0.425698035
HDGF,1342.0,0.465394593,322.0,0.646546,-0.17233242
HDLBP,2343.0,0.397687311,375.0,-0.087922,0.134598103
HEATR3,1385.0,0.384091545,883.0,1.109941,0.195319026
HEBP2,9119.0,0.359416339,297.0,0.363871,0.074224958
HECA,3704.0,0.443714129,285.0,-0.074931,0.40450488
HECTD3,3914.0,0.446742268,98.0,0.986912,-0.006404483
HERC2,726.0,0.429958504,109.0,-1.033097,-0.147558017
HERC5,379.0,0.393838904,153.0,0.133271,-0.221881394
HERC6,651.0,0.398146132,183.0,1.51548,1.140442889
HIP1,4874.0,0.430847644,52.0,-1.346385,-0.202233422
HLA-A,4150.0,0.424443523,84.0,1.120735,1.079220681
HLA-C,420.0,0.421684519,65.0,0.992825,-0.922210552
HLA-DRA,409.0,0.420807891,109.0,0.723637,0.834724672
HLA-E,1459.0,0.413523771,126.0,0.871496,0.439716582
HLA-F,121.0,0.407256461,124.0,1.08421,0.580948303
HMBOX1,3560.0,0.369177113,482.0,-0.121667,0.311263755
HMBS,266.0,0.451934812,299.0,0.323053,0.091487645
HMGB2,3775.0,0.450826504,193.0,0.527224,-0.443334826
HMGCS1,3661.0,0.374424323,345.0,0.524434,0.676828576
HMOX1,616.0,0.436401717,107.0,0.497731,0.044941858
HNRNPA0,7504.0,0.386421138,284.0,0.17773,-0.18779603
HNRNPD,1688.0,0.420386111,318.0,0.315776,-0.171421866
HNRNPL,1102.0,0.449817015,176.0,0.191473,-0.283667743
HNRNPU,4156.0,0.432126199,218.0,0.089481,-0.07047504
HNRNPUL1,2135.0,0.394022965,339.0,0.325432,0.060834373
HNRNPUL2,2674.0,0.436897081,229.0,0.206398,-0.161743443
HSBP1,3274.0,0.4454546,174.0,0.526705,-0.190511406
HSD11B1,4482.0,0.426649415,154.0,1.498525,0.80462799
HSD17B7,398.0,0.431983247,99.0,0.000604,-0.450252464
HSP90AB1,313.0,0.39509298,251.0,-0.193029,-0.257683842
HSPA1L,428.0,0.464100714,183.0,-0.560665,-0.269953183
HSPA4L,7877.0,0.413794867,342.0,0.747861,0.220009238
HSPB11,107.0,0.34538245,284.0,0.283782,0.178608877
HTRA2,571.0,0.421976635,602.0,0.040601,0.104588091
HTT,3901.0,0.373695076,145.0,-0.382912,-0.27714059
HUS1,2068.0,0.374612864,131.0,0.097308,0.01113125
HYI,310.0,0.378597605,196.0,0.427087,0.350977791
HYOU1,1409.0,0.403839016,234.0,0.57837,0.18886825
ICAM1,1537.0,0.426062071,319.0,0.596257,-0.05263167
IFI16,254.0,0.415211655,290.0,0.183687,0.213697458
IFI30,213.0,0.431523306,62.0,1.627891,0.255485524
IFI35,160.0,0.418462024,223.0,0.373521,-0.207373236
IFI44,267.0,0.403888008,124.0,1.217342,1.004099329
IFI44L,5058.0,0.403608012,200.0,1.180169,0.872445747
IFIH1,121.0,0.412344512,377.0,1.132172,0.501881224
IFIT1,2775.0,0.411248073,495.0,0.635653,-0.556433418
IFIT2,1901.0,0.420797646,175.0,0.362842,-0.263732193
IFIT3,843.0,0.417440574,529.0,0.544579,-0.445172894
IFIT5,2354.0,0.414819429,231.0,0.469622,0.220451896
IFT27,109.0,0.4030938,426.0,-0.188202,0.025747364
IGFBP3,1605.0,0.43060006,132.0,-0.123821,-0.318646901
IGFBP7,558.0,0.392734536,34.0,-0.112635,-0.375966411
IKBKE,745.0,0.435100597,714.0,0.749698,0.172232578
IL16,3965.0,0.367979445,2395.0,0.825533,0.612265027
