,3prime,tAI,max_5_UTR_length,TCGA-A2-A0CM,TCGA-A2-A0CM.1
CCDC58,2462.0,0.421830022,75.0,0.576436,0.139544488
CCDC88C,1302.0,0.396031427,154.0,0.278792,-0.271499619
CCL5,886.0,0.462166288,68.0,2.367857,0.640792749
CCNA2,1206.0,0.409154498,373.0,1.515847,0.232061974
CCNB2,168.0,0.374401461,184.0,0.430504,0.507318469
CCNDBP1,2336.0,0.44393643,231.0,0.484644,0.202757925
CCS,4244.0,0.460896681,43.0,-0.466839,-0.297166698
CCT3,238.0,0.457984718,231.0,1.461637,0.041464671
CCT4,1361.0,0.393363555,164.0,3.17044,-0.028171336
CD14,128.0,0.416321757,392.0,0.77187,-0.105617035
CD209,3046.0,0.440000747,67.0,1.4881,-0.560352831
CD36,2894.0,0.410517795,414.0,-0.439453,0.052767639
CD44,3115.0,0.39995987,434.0,-2.472924,-0.196455274
CD63,923.0,0.512738356,403.0,0.386782,-0.939245639
CD74,635.0,0.427357309,187.0,0.637195,0.248434166
CDC26,271.0,0.395637029,359.0,-1.287268,0.059378539
CDC34,560.0,0.46431386,199.0,-1.335503,0.155387845
CDCA3,816.0,0.351209268,820.0,-0.106098,0.427215907
CDCA8,1353.0,0.384295288,290.0,0.240076,0.755229574
CDIPT,1864.0,0.442654716,541.0,-1.139322,-0.338721508
CDK1,2313.0,0.398329505,154.0,-0.231997,0.510031029
CDK19,4557.0,0.421511824,180.0,-1.346614,0.470903841
CDK2AP1,766.0,0.439144625,522.0,-1.476329,0.565394644
CDK5RAP2,367.0,0.371069462,192.0,-0.556756,-0.24425409
CDK5RAP3,284.0,0.469750898,1791.0,0.966907,-0.25307786
CDKAL1,1365.0,0.417875209,167.0,0.949365,0.369457254
CDKN2AIPNL,3639.0,0.409801696,53.0,-0.548739,-0.688104994
CDKN2C,2247.0,0.381912025,1216.0,-1.255288,-0.279424297
CEBPD,1714.0,0.430497143,44.0,0.424138,-0.357426509
CENPH,1478.0,0.418392258,87.0,0.446079,0.22333541
CENPV,301.0,0.385948267,62.0,-1.281721,-1.33048515
CEP55,939.0,0.397841874,304.0,0.116537,0.293890223
CES3,2100.0,0.377378956,446.0,-0.063345,-0.487864688
CETN2,868.0,0.433727498,47.0,-0.209756,-0.079134821
CFL1,677.0,0.502791,234.0,-1.05467,-0.127623906
CHAC2,786.0,0.395629742,277.0,-1.298477,0.052235238
CHCHD4,3528.0,0.445497334,326.0,-2.114976,0.35249604
CHMP4A,296.0,0.447100154,262.0,-0.074496,-0.121690698
CHMP5,1241.0,0.442987983,200.0,0.330651,0.119233477
CHMP6,980.0,0.489861105,78.0,-0.127768,-0.415517417
CHTF8,2425.0,0.424551152,142.0,0.03307,0.653847804
CIAPIN1,1024.0,0.451663323,242.0,-0.601475,-0.070897348
CISD2,5376.0,0.433298698,107.0,-0.740077,-0.265889519
CKAP4,2872.0,0.386259817,84.0,-1.007383,0.07334964
CKS2,300.0,0.317949998,98.0,0.985116,0.008087756
CLCC1,5185.0,0.369704467,150.0,2.241491,-0.344615461
CLCN7,1698.0,0.459147749,110.0,-0.056028,-0.001479386
CLIC1,290.0,0.4571302,573.0,0.405065,0.142235194
CLK2,350.0,0.410673686,925.0,-2.904855,0.414941332
CLK3,1233.0,0.4268607,461.0,-1.329847,0.182856157
CLPTM1,458.0,0.383990827,351.0,-0.847742,-0.144609353
CLTA,288.0,0.450950874,514.0,0.084714,-0.094242755
CLTB,319.0,0.48548545,210.0,0.597961,0.428695176
CLTC,3104.0,0.384957863,443.0,0.341834,-0.203825081
CNBP,6850.0,0.433298698,206.0,-3.121132,0.229816559
CNPY2,123.0,0.392778455,553.0,0.222631,-0.165602642
CNPY3,1042.0,0.459231502,584.0,-1.340961,-0.046917409
COG3,1967.0,0.414689223,142.0,0.423137,-0.459495705
COMMD1,306.0,0.423842833,138.0,0.134843,0.029752846
COMMD3,431.0,0.360487018,35.0,0.53895,0.273911278
COMMD5,498.0,0.445713337,399.0,0.124343,0.033312881
COMMD6,1375.0,0.396967837,328.0,-0.353877,0.414294235
COMMD9,2340.0,0.418062772,89.0,0.100394,0.069450522
COPB1,446.0,0.381738818,307.0,0.381431,-0.169567755
COPE,165.0,0.478760693,55.0,-3.362553,-0.175039542
COQ6,671.0,0.374062527,159.0,-1.130879,-0.023733481
COQ7,5700.0,0.42379098,133.0,-3.579492,-0.035429741
CORO1A,112.0,0.457388252,435.0,0.875781,0.386421872
COX17,1735.0,0.484254073,86.0,0.394319,-0.127816545
COX5A,860.0,0.429944966,140.0,-0.409243,-0.083143409
COX7A2,302.0,0.441893926,98.0,-1.098055,0.025307014
CPM,5262.0,0.406054343,75.0,-0.217073,-0.322420211
CPSF4,923.0,0.452412439,277.0,0.464755,0.118806596
CPT1A,2761.0,0.374132033,170.0,0.07314,-0.222838418
CPT2,602.0,0.431256564,515.0,-2.432925,-0.290008743
CRCP,8457.0,0.390198146,145.0,-2.364888,-0.093553244
CRKL,3904.0,0.422225684,509.0,-0.323587,-0.003779196
CRTAP,5601.0,0.446308827,120.0,-0.331585,0.369628372
CRTC3,3205.0,0.355982524,186.0,-1.428497,-0.521271195
CRYL1,462.0,0.386242786,79.0,0.906921,-0.454008932
CSRP1,1183.0,0.493833101,217.0,0.49089,-0.127077447
CST3,2762.0,0.475763324,186.0,-3.065764,-0.472416945
CSTF2,1931.0,0.372934478,58.0,-0.630412,0.20190956
CTBP1,800.0,0.464034004,393.0,0.463795,-0.218880508
CTNNA1,1216.0,0.412513324,1103.0,0.171147,-0.193626569
CTNNB1,1106.0,0.432073699,448.0,-0.454327,0.127420607
CTNNBIP1,2448.0,0.394834327,307.0,0.885124,0.099354812
CTPS2,1870.0,0.416273085,744.0,5.514643,-0.656020136
CTSG,119.0,0.369503415,37.0,3.587126,-0.831897476
CTSH,1072.0,0.446467856,1192.0,-2.5669,-0.44012304
CUEDC1,2047.0,0.374410739,719.0,-0.81623,-0.458962095
CUX1,1040.0,0.395555213,127.0,-0.480063,-0.177529558
CXCL10,814.0,0.410287201,105.0,-0.935124,1.518481898
CXCL9,2323.0,0.403736618,74.0,-0.742372,0.735656599
CYBB,2544.0,0.418993019,61.0,-1.241936,0.163489621
CYP2S1,1051.0,0.420869286,58.0,1.682869,0.046860131
CYTH4,1837.0,0.406296106,377.0,-0.249241,0.288340356
DAB2,1757.0,0.368483127,531.0,-1.188373,0.034604824
DAGLB,721.0,0.377719723,170.0,0.841523,-0.114054915
DAP3,768.0,0.366492687,184.0,-0.249061,0.277152603
DAPP1,2082.0,0.348655603,90.0,1.107346,0.541407217
DBI,233.0,0.467027529,479.0,0.769804,-0.267056649
DCAF8,1877.0,0.380310979,212.0,0.612633,0.416391303
DCP1A,4153.0,0.411936399,381.0,1.75769,0.069899839
DCPS,4731.0,0.375605648,329.0,0.571376,0.048550116
DCTN5,10597.0,0.443116252,177.0,0.223804,-0.017837936
DDAH2,653.0,0.361046801,1104.0,1.06131,-0.241244071
DDB2,1223.0,0.43604051,195.0,0.394479,-0.031095786
DDX23,713.0,0.445931172,91.0,-0.153922,0.032972475
DDX31,1870.0,0.361830896,544.0,-0.26437,0.291936456
DDX47,438.0,0.379294484,22.0,0.942841,0.332820065
DDX54,1704.0,0.467316231,28.0,-0.212385,0.691725101
DDX56,586.0,0.438032149,643.0,-0.623923,0.469788037
DDX59,217.0,0.413095257,243.0,-0.143543,0.122978311
DHODH,3463.0,0.371608285,21.0,-0.477193,0.088077657
DHPS,121.0,0.474111752,121.0,0.098724,-0.095169239
DHX15,459.0,0.379133957,168.0,-0.137827,0.039701306
DHX34,591.0,0.384465978,349.0,0.124481,0.087832019
DHX58,357.0,0.440330409,223.0,0.502094,-0.049110878
DIABLO,719.0,0.425893605,1182.0,-0.687716,-0.122261881
DMAP1,63.0,0.471306,301.0,-0.12799,0.310830146
DMXL2,1274.0,0.389901613,225.0,0.498462,-0.000362469
DNAJA4,1736.0,0.398301408,169.0,0.125879,-0.62788028
DNAJC19,1326.0,0.403482491,259.0,0.766252,0.046975621
DNAJC25,1212.0,0.430964931,56.0,1.592684,-0.194074494
DNAJC8,969.0,0.416719859,33.0,0.350898,0.357028615
DNM1,1255.0,0.393835111,116.0,-0.147983,0.071199385
DNTTIP2,3564.0,0.408096853,58.0,-2.923529,0.129551553
DOCK11,3681.0,0.373818855,63.0,-0.138264,0.126687109
DOCK2,524.0,0.446250827,52.0,-0.409938,0.379678735
DOK2,438.0,0.384043737,481.0,0.647146,0.31966424
DPCD,197.0,0.459155016,389.0,0.434877,0.081161753
DPF2,2501.0,0.393394442,133.0,0.13054,0.253134874
DPH1,1310.0,0.448716064,341.0,1.632541,0.00180952
DPH5,784.0,0.413363166,165.0,-0.420061,0.067442707
DPY30,562.0,0.438431353,279.0,1.237139,0.063060803
DPYSL2,2472.0,0.430530829,431.0,-5.801571,0.122597303
DRAP1,142.0,0.432809908,245.0,-1.45308,0.269185224
DRG1,4594.0,0.444150091,131.0,-0.565269,0.139078119
DSN1,5330.0,0.392894937,373.0,-0.324391,0.111580863
DSTN,2786.0,0.375776803,438.0,-1.131673,-0.102209191
DTX3L,3456.0,0.408848169,89.0,-0.211298,0.222563286
DUSP12,374.0,0.419884133,34.0,-0.201812,0.545793904
DUT,1937.0,0.36471409,109.0,1.471666,0.292030416
DYNLT1,514.0,0.420362019,78.0,0.393352,0.035929094
EBAG9,1437.0,0.39438748,402.0,-0.239636,-0.106735563
ECH1,191.0,0.389477111,85.0,1.785797,-0.620128095
ECHDC2,2269.0,0.400166641,752.0,-0.409992,-0.511956736
ECM1,322.0,0.43792189,199.0,-2.591688,-0.247341502
EEA1,5374.0,0.405861636,265.0,-0.82648,0.062290138
EEF1A2,286.0,0.417272363,329.0,0.904708,-0.947860262
EFTUD2,1331.0,0.444646836,398.0,0.054601,0.060266613
EHD1,3363.0,0.446314898,447.0,-0.52551,-0.021553027
EIF2AK2,8063.0,0.394727306,557.0,-0.367322,0.191821745
EIF2B3,1058.0,0.383118637,239.0,0.645926,0.021767026
EIF3F,5840.0,0.435728237,33.0,-1.164151,0.291385234
EIF3L,1718.0,0.380710116,245.0,0.332538,0.268805452
EIF4A3,1120.0,0.381528282,222.0,0.455413,0.218146354
ELAVL1,4910.0,0.437605432,167.0,-0.492942,0.001172797
EMG1,248.0,0.433768095,143.0,0.261089,0.646514074
EMILIN2,2605.0,0.379592019,159.0,-1.075547,0.007298607
ENDOD1,7728.0,0.376426787,118.0,0.784962,0.129148432
ENOSF1,2904.0,0.382279782,622.0,-2.176182,-0.626858743
ENY2,2576.0,0.41756619,146.0,-1.300406,0.242216659
EPSTI1,2106.0,0.391777705,469.0,0.496949,0.309731935
ERCC1,2342.0,0.45058755,188.0,1.111559,0.037671663
ERCC6L,4809.0,0.354829683,623.0,1.678339,0.111457321
ERH,415.0,0.383837906,71.0,-0.228225,0.080777105
ERLIN1,2041.0,0.444737514,478.0,-0.499431,0.135700935
ERP29,1277.0,0.401191178,118.0,-0.664385,0.070674285
ETV6,4356.0,0.398240844,274.0,-5.756904,0.482472521
EXOC4,1232.0,0.388187525,35.0,0.798331,-0.06370522
EXOC8,6907.0,0.436106501,127.0,-0.680516,-0.158337957
EXOSC1,536.0,0.430105347,451.0,0.176646,0.441157733
EXOSC2,3902.0,0.431273517,32.0,-0.253992,0.383832887
F8A1,571.0,0.46317284,15.0,-0.74664,-0.023389022
FAAH,2043.0,0.384592892,82.0,0.215792,-0.888099562
FAF1,4425.0,0.401181969,453.0,0.418721,-0.098213375
FAM122A,4542.0,0.40477622,33.0,-4.289819,-0.027084237
FAM168A,6285.0,0.395008865,285.0,-0.783117,-0.008319505
FAM177A1,2165.0,0.411149627,459.0,0.197536,0.086744459
FAM192A,1824.0,0.379195199,1475.0,2.183597,0.211294297
FAM20B,4428.0,0.4357945,293.0,0.142837,-0.368588914
FAM32A,1091.0,0.408676074,42.0,0.408323,-0.343415042
FAM50A,286.0,0.482889735,110.0,-0.039999,0.226011218
FBP1,248.0,0.397353747,331.0,1.31648,-1.275042345
FBXL20,9338.0,0.383104745,254.0,2.181782,-0.549899291
FBXO4,526.0,0.393825218,58.0,-1.960392,-0.356070296
FBXO6,503.0,0.42307306,166.0,-1.756888,-0.147002406
FCER1G,305.0,0.4202976,25.0,0.402298,0.128729627
FCGRT,309.0,0.433069976,486.0,-1.26674,-0.394557363
FDPS,72.0,0.456397562,392.0,-0.589466,0.630578133
FDXR,596.0,0.384661194,188.0,-0.43306,-0.515481253
FEN1,1340.0,0.407867196,413.0,-1.341626,-0.126503073
FERMT3,399.0,0.435119014,149.0,-1.175295,0.411655575
FGD2,907.0,0.441856308,171.0,-0.534974,0.128727115
FGFR1OP2,1663.0,0.396595515,353.0,-0.353536,0.025916276
FGL2,3460.0,0.40966218,40.0,-2.925165,0.272768967
FKBP1A,1132.0,0.428443098,174.0,0.052516,-0.189518573
FKBPL,24.0,0.377510344,270.0,-6.789706,-0.000838713
FLOT1,422.0,0.472159534,339.0,-0.618883,-0.55816189
FN3K,442.0,0.389857108,61.0,-0.105342,-0.469914144
FN3KRP,3667.0,0.380720834,50.0,0.022729,-0.152806156
FOXJ3,3176.0,0.401878681,312.0,0.14265,0.243181897
FOXK2,3108.0,0.440496276,171.0,0.359352,-0.007140943
FOXRED1,443.0,0.438630908,167.0,-2.617387,0.011757605
FSCN1,1184.0,0.396100853,132.0,0.345582,0.574073971
FTH1,530.0,0.425357612,235.0,-0.22272,-0.292647954
FTL,1031.0,0.428438948,199.0,-1.615027,-0.387913333
FTSJ1,638.0,0.457521275,569.0,1.240525,-0.068101422
FTSJ3,698.0,0.388239396,646.0,0.734202,0.221798738
FXN,6365.0,0.40465004,220.0,0.597922,0.054856268
GABARAPL2,564.0,0.431291441,136.0,-1.704463,0.3946093
GABPB1,1320.0,0.423118524,469.0,-0.111564,0.200328967
GALK1,292.0,0.455574511,63.0,-0.329537,0.010352805
GANAB,989.0,0.425909644,1027.0,-0.381833,-0.277401363
GAS7,6619.0,0.423630168,311.0,-0.725259,0.078052878
GBE1,708.0,0.404013874,283.0,0.510236,-0.398538063
GBP1,1735.0,0.42614962,220.0,-0.824797,0.914678944
GBP2,5058.0,0.440134196,314.0,-1.659725,0.205715031
GBP4,4106.0,0.42983554,116.0,-0.699134,0.64968402
GBP5,1753.0,0.421901204,537.0,-2.47597,1.098431319
GFOD2,622.0,0.396604754,295.0,-1.820608,0.295932792
GGA2,5408.0,0.377812588,83.0,-0.448627,-0.207003831
GGCX,5211.0,0.417836117,106.0,2.195154,1.2e-05
GIGYF1,2212.0,0.443456438,1210.0,-0.498703,0.01243534
GINS3,1415.0,0.387351931,208.0,0.051892,0.231403823
GLA,1699.0,0.378726947,110.0,0.344377,-0.125453059
GLE1,1357.0,0.383457083,114.0,1.775036,0.272374797
GLRX,1188.0,0.430296645,211.0,-3.29252,-0.1441165
GLRX3,3557.0,0.41418463,539.0,0.014126,0.377487178
GLUD1,1558.0,0.392454008,1132.0,0.772002,-0.082092283
GLYR1,2033.0,0.39940414,57.0,-0.507693,0.032118877
GMEB1,4582.0,0.43446142,142.0,-0.995262,0.240815984
GMPPA,198.0,0.434966364,375.0,0.824191,-0.087744304
GMPR,3984.0,0.435743929,114.0,0.579329,-0.473643672
GMPR2,464.0,0.453637396,704.0,0.337779,-0.446157725
GNAI1,1947.0,0.435804474,356.0,-0.64583,0.176829375
GNG7,3803.0,0.398730372,237.0,-2.306366,-0.427364095
GNPDA1,1360.0,0.395964134,67.0,1.198849,-0.298314638
GOLGA2,1243.0,0.401070546,13.0,0.898641,-0.18575228
GON4L,926.0,0.418089888,175.0,-1.360511,0.38435042
GOSR1,5968.0,0.408103421,237.0,0.469445,-0.397184929
GOSR2,3258.0,0.374298057,541.0,-1.152426,-0.041626685
GOT2,1054.0,0.444803236,129.0,-0.110376,-0.234817748
GPS2,97.0,0.431122181,76.0,-0.091727,0.408790162
GPX7,626.0,0.395840774,39.0,-0.357394,0.383083721
GRAMD1A,299.0,0.411657297,748.0,-2.557478,-0.437877702
GRB2,2292.0,0.4413596,358.0,0.433555,0.09924252
GSTM4,2467.0,0.390909061,314.0,-0.356986,-0.659763411
GTF2A2,1070.0,0.420716795,404.0,-3.340193,0.382167033
GTF2E2,604.0,0.365750105,273.0,0.262834,0.663865377
GTF3C2,932.0,0.372227001,397.0,2.886095,0.086213295
GTPBP1,2894.0,0.424954603,154.0,0.613385,0.050692918
GTPBP3,1032.0,0.436547413,95.0,0.289789,0.041261501
GTSE1,680.0,0.368527868,212.0,0.517584,0.268561881
HADH,818.0,0.383558671,219.0,-0.034341,-0.410374352
HADHA,615.0,0.383558671,130.0,-0.46566,-0.072050213
HAUS5,3319.0,0.378752573,51.0,-0.54412,0.400238451
HAUS8,346.0,0.37535995,111.0,1.132224,0.274934249
HCCS,1274.0,0.398607648,275.0,-0.108535,0.085273984
HCK,337.0,0.440224323,364.0,-0.217773,0.093774887
HDAC1,591.0,0.390040122,63.0,0.177159,-0.195858948
HDDC3,763.0,0.387287166,29.0,-0.063079,-0.406476702
HDGF,1342.0,0.465394593,322.0,-0.26359,0.737370263
HDLBP,2343.0,0.397687311,375.0,-0.242349,0.06627072
HEATR3,1385.0,0.384091545,883.0,0.35309,-0.061064408
HEBP2,9119.0,0.359416339,297.0,0.304802,0.261643208
HECA,3704.0,0.443714129,285.0,0.383127,0.188763767
HECTD3,3914.0,0.446742268,98.0,0.945781,0.05133826
HERC2,726.0,0.429958504,109.0,0.932937,-0.052009168
HERC5,379.0,0.393838904,153.0,0.962846,0.45501677
HERC6,651.0,0.398146132,183.0,-0.041189,0.067173668
HIP1,4874.0,0.430847644,52.0,-1.121215,-0.271246075
HLA-A,4150.0,0.424443523,84.0,-0.034211,0.692136099
HLA-C,420.0,0.421684519,65.0,0.392933,0.957842745
HLA-DRA,409.0,0.420807891,109.0,-1.709614,0.012613192
HLA-E,1459.0,0.413523771,126.0,-1.507659,0.272647453
HLA-F,121.0,0.407256461,124.0,-1.270783,0.522966845
HMBOX1,3560.0,0.369177113,482.0,-2.581974,-1.605085823
HMBS,266.0,0.451934812,299.0,-0.054773,0.051772243
HMGB2,3775.0,0.450826504,193.0,-1.773383,0.474598825
HMGCS1,3661.0,0.374424323,345.0,-1.689846,-0.520233336
HMOX1,616.0,0.436401717,107.0,1.091192,0.151006474
HNRNPA0,7504.0,0.386421138,284.0,4.468253,1.93e-05
HNRNPD,1688.0,0.420386111,318.0,-0.45744,0.072927164
HNRNPL,1102.0,0.449817015,176.0,-0.732281,-0.137006133
HNRNPU,4156.0,0.432126199,218.0,0.497276,-0.084963977
HNRNPUL1,2135.0,0.394022965,339.0,1.619242,-0.035432296
HNRNPUL2,2674.0,0.436897081,229.0,-5.798718,-0.00266126
HSBP1,3274.0,0.4454546,174.0,-1.648667,-0.187611377
HSD17B7,398.0,0.431983247,99.0,-3.209969,0.064401421
HSP90AB1,313.0,0.39509298,251.0,0.947288,-0.075531237
HSPA4L,7877.0,0.413794867,342.0,0.312378,-0.167860434
HSPB11,107.0,0.34538245,284.0,0.677675,-0.479980735
HTRA2,571.0,0.421976635,602.0,-0.822964,0.206810437
HTT,3901.0,0.373695076,145.0,0.010731,-0.079534712
HUS1,2068.0,0.374612864,131.0,0.068201,-0.148187349
HYI,310.0,0.378597605,196.0,-1.149659,-0.534948901
HYOU1,1409.0,0.403839016,234.0,5.549497,-0.355082462
ICAM1,1537.0,0.426062071,319.0,-0.812709,0.005591675
IER3IP1,3342.0,0.438740024,97.0,-0.293315,-0.637475797
IFI16,254.0,0.415211655,290.0,0.70489,0.418952324
IFI30,213.0,0.431523306,62.0,2.021166,0.176573831
IFI35,160.0,0.418462024,223.0,5.024036,0.467589943
IFI44,267.0,0.403888008,124.0,-1.061419,0.80981526
IFI44L,5058.0,0.403608012,200.0,-1.366333,0.656861927
IFIH1,121.0,0.412344512,377.0,2.387352,0.615929574
IFIT1,2775.0,0.411248073,495.0,0.177231,0.574582057
IFIT2,1901.0,0.420797646,175.0,-3.14672,0.552037638
IFIT3,843.0,0.417440574,529.0,-0.335231,0.690767893
IFIT5,2354.0,0.414819429,231.0,-0.229135,0.242798113
IFT27,109.0,0.4030938,426.0,3.628429,-0.267125403
IGFBP3,1605.0,0.43060006,132.0,-0.665261,-0.07163918
IGFBP7,558.0,0.392734536,34.0,2.150664,-0.114629234
IKBKE,745.0,0.435100597,714.0,-0.593217,0.19576732
IL16,3965.0,0.367979445,2395.0,-1.941106,0.40315047
IL1RN,1145.0,0.411881061,408.0,0.243212,-0.469859057
