,3prime,tAI,max_5_UTR_length,TCGA-AO-A0JE,TCGA-AO-A0JE.1
ALOX5AP,976.0,0.392577632,248.0,1.245335,1.490624563
AMBRA1,1041.0,0.36170155,362.0,0.052679,-0.012042031
AMPD2,903.0,0.389224108,566.0,0.482766,0.228743643
AMPD3,1695.0,0.423686063,472.0,0.579339,0.413059934
ANAPC5,235.0,0.390209877,197.0,-0.13424,-0.064009223
ANKLE2,1737.0,0.418251419,90.0,-0.35304,0.150357179
ANKRD16,135.0,0.465649334,543.0,-0.274643,-0.287928925
ANKRD35,249.0,0.402949835,108.0,-0.336649,-0.029726726
ANXA2,496.0,0.429738522,160.0,0.685989,0.046084414
ANXA5,1441.0,0.418050335,165.0,1.068539,0.09849653
AP1B1,1153.0,0.424070668,187.0,0.36467,-0.07516117
AP1M1,914.0,0.463388599,173.0,0.407189,0.025083031
APBA1,3797.0,0.387421148,276.0,-1.595529,0.239597455
APIP,427.0,0.433104693,127.0,0.023157,-0.086079646
APOBEC3B,339.0,0.43450554,55.0,1.655703,-0.391110108
APOBEC3C,1979.0,0.381716897,103.0,0.776868,0.399155456
APOBEC3G,322.0,0.410940579,404.0,1.27173,0.744935672
APOL2,1195.0,0.42932248,477.0,1.999913,0.824560231
ARF6,2971.0,0.462806813,621.0,-0.267041,-0.627025103
ARFIP2,2430.0,0.403729309,291.0,-0.125553,-0.338745965
ARHGAP17,2624.0,0.371011524,117.0,1.57594,0.664595226
ARHGAP30,773.0,0.384451823,645.0,1.228507,0.61623316
ARHGEF10,1378.0,0.370244255,202.0,-0.587146,-0.127289915
ARID2,3145.0,0.362288628,128.0,-0.380266,-0.186119472
ARID3A,3881.0,0.411693449,290.0,0.728204,0.115147087
ARIH2,3112.0,0.397061561,878.0,-0.763063,-0.054324328
ARL8A,1065.0,0.409602486,171.0,-0.321663,-0.216898623
ARRB1,6041.0,0.39512759,224.0,0.539849,0.328427268
ASF1B,950.0,0.395794233,172.0,0.411847,-0.183629078
ASS1,1357.0,0.394201053,356.0,1.671261,0.760378225
ATPAF1,3039.0,0.439253133,510.0,0.079399,0.007425696
ATRIP,162.0,0.417082642,462.0,-0.597416,-0.124442118
AXL,1863.0,0.417061167,376.0,0.757866,0.383327345
B4GALT7,4483.0,0.433879574,93.0,-0.001928,0.51297599
BAG1,2764.0,0.431693656,501.0,-0.612099,-0.108088754
BAG3,537.0,0.387438444,306.0,0.33325,-0.346251495
BASP1,971.0,0.520859146,259.0,0.655692,0.445448588
BBS7,1531.0,0.408023089,184.0,0.626428,0.024968896
BCAT2,364.0,0.445598481,657.0,-0.312377,-0.302928635
BCKDHB,3082.0,0.419736544,88.0,-0.919933,-0.288175249
BCL2,5279.0,0.374049285,493.0,-1.997319,-1.536610283
BCL2L13,4109.0,0.411790332,769.0,0.861748,0.0397119
BID,4193.0,0.428633517,498.0,0.311051,0.066403054
BLVRA,3376.0,0.414260839,177.0,-0.097859,-0.39493564
BOLA2,40.0,0.43059393,513.0,0.216708,-0.212493675
BOLA3,383.0,0.406657227,38.0,0.566221,-0.195323469
BRD2,787.0,0.377809737,2066.0,-0.046193,0.025186834
BRD3,3285.0,0.401150236,188.0,-0.344489,-0.421787753
BSPRY,1091.0,0.380011644,48.0,-0.692424,-0.450983867
BST2,411.0,0.444557266,81.0,1.238133,0.585333195
BUB3,1535.0,0.421992618,242.0,0.262261,-0.036021774
C1QB,152.0,0.436596666,340.0,1.047505,0.490445823
C1QC,327.0,0.41150294,283.0,0.921686,0.585918281
C2CD3,671.0,0.360398895,227.0,0.449804,-0.172704254
C3,5088.0,0.430632158,93.0,1.388815,0.557245131
CAP1,1134.0,0.406948565,416.0,0.692172,0.092798544
CAPN1,720.0,0.455130071,197.0,-0.197796,-0.315625612
CAPRIN1,5632.0,0.374918508,189.0,-0.083096,0.005629348
CAPZB,5180.0,0.446052528,622.0,0.085503,0.088195652
CARD16,437.0,0.41300235,27.0,1.189029,0.734923118
CARHSP1,4898.0,0.362100245,360.0,0.985,0.31420722
CASC3,1778.0,0.370720542,295.0,-0.77935,-0.684129135
CASP1,750.0,0.424742838,44.0,1.013097,0.548685222
CASP8,1794.0,0.376118708,303.0,1.454318,0.491440845
CAT,629.0,0.397270122,89.0,0.055382,-0.263221454
CBL,8368.0,0.375957197,142.0,-0.697054,0.087733284
CBLL1,3286.0,0.400851504,467.0,-0.844113,-0.10440071
CBR3,54.0,0.445176236,228.0,0.671866,0.101521017
CBS,4385.0,0.477784031,626.0,-1.67925,-1.63151306
CBX5,10815.0,0.390902295,318.0,-0.441557,0.38162257
CBX8,2504.0,0.36735217,118.0,0.378281,0.464374091
CCDC115,2169.0,0.385110507,452.0,-0.110561,0.024629545
CCDC125,2554.0,0.359965106,322.0,0.043268,-0.005633388
CCDC58,2462.0,0.421830022,75.0,0.677786,-0.351075284
CCDC88C,1302.0,0.396031427,154.0,-0.28636,-0.227315504
CCL5,886.0,0.462166288,68.0,2.308469,1.235625571
CCNA2,1206.0,0.409154498,373.0,0.28112,-0.848289337
CCNB2,168.0,0.374401461,184.0,0.750764,-0.017064111
CCNDBP1,2336.0,0.44393643,231.0,-0.368004,0.083486392
CCS,4244.0,0.460896681,43.0,0.366344,-0.086137077
CCT3,238.0,0.457984718,231.0,0.536324,-0.234631723
CCT4,1361.0,0.393363555,164.0,-0.047812,-0.238870213
CD14,128.0,0.416321757,392.0,0.579712,0.333607672
CD209,3046.0,0.440000747,67.0,-0.164023,-0.092225824
CD33,331.0,0.428315036,40.0,1.09045,1.515244844
CD36,2894.0,0.410517795,414.0,-0.256734,0.462547078
CD40,982.0,0.429065654,90.0,0.749536,1.166077208
CD44,3115.0,0.39995987,434.0,1.15119,0.221860806
CD63,923.0,0.512738356,403.0,0.118818,0.04964734
CD74,635.0,0.427357309,187.0,1.925338,1.121408122
CDC25C,437.0,0.364786128,387.0,0.537323,-0.302010302
CDC26,271.0,0.395637029,359.0,0.543768,-0.019192519
CDC34,560.0,0.46431386,199.0,-0.080024,-0.032223052
CDC42EP3,3941.0,0.420378821,1009.0,0.193498,0.247534701
CDCA3,816.0,0.351209268,820.0,0.012324,-0.399010667
CDCA8,1353.0,0.384295288,290.0,0.438893,-0.131414894
CDIPT,1864.0,0.442654716,541.0,-0.287477,-0.88404842
CDK1,2313.0,0.398329505,154.0,-0.090215,-0.236768358
CDK19,4557.0,0.421511824,180.0,-0.746081,-0.080715287
CDK2AP1,766.0,0.439144625,522.0,0.251264,0.053643615
CDK5RAP2,367.0,0.371069462,192.0,-0.020525,0.072932171
CDK5RAP3,284.0,0.469750898,1791.0,0.137076,-0.137487483
CDKAL1,1365.0,0.417875209,167.0,0.03327,-0.2248192
CDKN2AIPNL,3639.0,0.409801696,53.0,-0.748161,0.161955216
CDKN2C,2247.0,0.381912025,1216.0,-0.120632,0.407118653
CENPH,1478.0,0.418392258,87.0,-0.208604,-0.108694161
CENPV,301.0,0.385948267,62.0,-2.147505,-0.747131918
CEP55,939.0,0.397841874,304.0,0.580199,0.012172674
CES3,2100.0,0.377378956,446.0,3.505105,-0.297303865
CETN2,868.0,0.433727498,47.0,0.324483,-0.219228305
CFL1,677.0,0.502791,234.0,0.301961,-0.214321134
CHAC2,786.0,0.395629742,277.0,1.287581,-0.056615448
CHCHD4,3528.0,0.445497334,326.0,0.260587,0.244727999
CHMP4A,296.0,0.447100154,262.0,-0.233045,-0.064191156
CHMP5,1241.0,0.442987983,200.0,-0.321627,0.038390404
CHMP6,980.0,0.489861105,78.0,0.056564,-0.017872206
CHST11,4211.0,0.430763246,498.0,1.563102,0.735379857
CHTF8,2425.0,0.424551152,142.0,-0.045232,-1.840775373
CIAPIN1,1024.0,0.451663323,242.0,0.581169,-0.091581952
CISD2,5376.0,0.433298698,107.0,-0.431892,0.593140367
CKAP4,2872.0,0.386259817,84.0,1.073051,0.858901472
CKS2,300.0,0.317949998,98.0,0.082651,-0.05152071
CLCC1,5185.0,0.369704467,150.0,0.6255,0.756419562
CLCN7,1698.0,0.459147749,110.0,0.963788,0.389085026
CLIC1,290.0,0.4571302,573.0,-0.039961,-0.368681014
CLK2,350.0,0.410673686,925.0,0.171293,-0.223812731
CLK3,1233.0,0.4268607,461.0,-0.19482,0.091740911
CLPTM1,458.0,0.383990827,351.0,-0.054527,-0.006891626
CLTA,288.0,0.450950874,514.0,-0.269743,-0.336660836
CLTB,319.0,0.48548545,210.0,0.057874,-0.14413878
CLTC,3104.0,0.384957863,443.0,0.254038,-0.45642827
CNBP,6850.0,0.433298698,206.0,-0.445822,-0.201673101
CNPY2,123.0,0.392778455,553.0,0.394447,0.199778643
CNPY3,1042.0,0.459231502,584.0,0.188967,0.301050901
COG3,1967.0,0.414689223,142.0,-0.34775,-0.161453994
COMMD1,306.0,0.423842833,138.0,0.232993,-0.006510811
COMMD3,431.0,0.360487018,35.0,0.812067,0.211907028
COMMD5,498.0,0.445713337,399.0,0.02678,0.527337549
COMMD6,1375.0,0.396967837,328.0,-0.808928,0.249243686
COMMD9,2340.0,0.418062772,89.0,0.5727,0.12022963
COPB1,446.0,0.381738818,307.0,0.226922,-0.093711418
COPE,165.0,0.478760693,55.0,0.084779,-0.222170328
COQ6,671.0,0.374062527,159.0,0.140357,0.213385017
COQ7,5700.0,0.42379098,133.0,0.834801,0.681322541
CORO1A,112.0,0.457388252,435.0,1.180044,0.414501041
COX17,1735.0,0.484254073,86.0,-0.551398,-0.47083922
COX5A,860.0,0.429944966,140.0,0.575675,-0.330905021
COX7A2,302.0,0.441893926,98.0,-0.844409,0.048990928
CPM,5262.0,0.406054343,75.0,-0.599028,0.200424576
CPSF4,923.0,0.452412439,277.0,-0.843374,-0.044939132
CPT1A,2761.0,0.374132033,170.0,0.175087,0.282288363
CPT2,602.0,0.431256564,515.0,-0.253194,-0.211360709
CRCP,8457.0,0.390198146,145.0,0.457053,0.188460556
CRKL,3904.0,0.422225684,509.0,-0.400909,-0.271587038
CRTAP,5601.0,0.446308827,120.0,0.021549,0.696210077
CRTC3,3205.0,0.355982524,186.0,-0.093656,-0.017363318
CRYL1,462.0,0.386242786,79.0,-0.841733,-0.513040419
CSRP1,1183.0,0.493833101,217.0,-0.016048,-0.510463107
CST3,2762.0,0.475763324,186.0,-0.769591,-0.499419848
CSTF2,1931.0,0.372934478,58.0,0.481585,-0.069334185
CTBP1,800.0,0.464034004,393.0,-0.204474,-0.077395112
CTNNA1,1216.0,0.412513324,1103.0,0.183843,-0.30523556
CTNNB1,1106.0,0.432073699,448.0,-0.186489,-0.42570632
CTNNBIP1,2448.0,0.394834327,307.0,-1.478015,-0.251178747
CTPS2,1870.0,0.416273085,744.0,-0.52029,-0.520458237
CTSG,119.0,0.369503415,37.0,-0.929887,-0.56342756
CTSH,1072.0,0.446467856,1192.0,0.194146,0.475299038
CUEDC1,2047.0,0.374410739,719.0,-0.212965,-0.32422215
CUX1,1040.0,0.395555213,127.0,-0.630706,-0.288565259
CXCL10,814.0,0.410287201,105.0,3.511715,-0.096310842
CXCL9,2323.0,0.403736618,74.0,3.663178,1.474508551
CYBB,2544.0,0.418993019,61.0,1.229749,0.883753176
CYP2S1,1051.0,0.420869286,58.0,1.423034,0.446727735
CYTH4,1837.0,0.406296106,377.0,0.842183,0.57189104
DAB2,1757.0,0.368483127,531.0,0.784394,0.284221037
DAGLB,721.0,0.377719723,170.0,0.039806,-0.255245619
DAP3,768.0,0.366492687,184.0,0.075842,0.099024106
DAPP1,2082.0,0.348655603,90.0,0.867563,0.302504007
DBI,233.0,0.467027529,479.0,1.011052,-0.46142664
DCAF12,1967.0,0.42050769,342.0,-0.596308,0.010107174
DCAF8,1877.0,0.380310979,212.0,-0.117899,0.020704506
DCP1A,4153.0,0.411936399,381.0,-0.907485,0.002388572
DCPS,4731.0,0.375605648,329.0,-0.005145,-0.109460273
DCTN5,10597.0,0.443116252,177.0,0.945899,0.318649942
DDAH2,653.0,0.361046801,1104.0,-0.433726,-0.228519952
DDB2,1223.0,0.43604051,195.0,-0.114551,0.061132299
DDX23,713.0,0.445931172,91.0,0.011014,-0.130881598
DDX31,1870.0,0.361830896,544.0,0.247947,0.484820442
DDX47,438.0,0.379294484,22.0,0.16181,0.215602785
DDX54,1704.0,0.467316231,28.0,0.265849,0.177225301
DDX56,586.0,0.438032149,643.0,-0.232476,0.312304276
DDX59,217.0,0.413095257,243.0,0.17847,-0.034283986
DHODH,3463.0,0.371608285,21.0,0.404499,0.326424454
DHPS,121.0,0.474111752,121.0,-0.816866,-0.486252282
DHX15,459.0,0.379133957,168.0,-0.378686,-0.166347627
DHX34,591.0,0.384465978,349.0,-0.764703,-0.092065308
DHX58,357.0,0.440330409,223.0,0.850662,0.063836911
DIABLO,719.0,0.425893605,1182.0,0.072697,-0.326322309
DMAP1,63.0,0.471306,301.0,-0.040691,-0.058600932
DMXL2,1274.0,0.389901613,225.0,-0.857499,0.084098961
DNAJA4,1736.0,0.398301408,169.0,0.192321,-0.197161336
DNAJC14,1509.0,0.37755465,204.0,0.224436,0.367953185
DNAJC19,1326.0,0.403482491,259.0,-0.460732,-0.340768788
DNAJC25,1212.0,0.430964931,56.0,0.637107,0.535813932
DNAJC8,969.0,0.416719859,33.0,-0.009767,0.109821959
DNM1,1255.0,0.393835111,116.0,0.62848,0.607059003
DNTTIP2,3564.0,0.408096853,58.0,0.288696,0.0979134
DOCK11,3681.0,0.373818855,63.0,0.784899,0.502445959
DOCK2,524.0,0.446250827,52.0,1.198888,0.724022142
DOK2,438.0,0.384043737,481.0,0.848699,0.662429747
DPCD,197.0,0.459155016,389.0,-0.539996,-0.568652623
DPF2,2501.0,0.393394442,133.0,0.125285,-0.233063583
DPH1,1310.0,0.448716064,341.0,-0.281364,-0.327305528
DPH5,784.0,0.413363166,165.0,0.786671,-0.018753938
DPY30,562.0,0.438431353,279.0,-0.152311,-0.012480006
DPYSL2,2472.0,0.430530829,431.0,0.194352,0.027108923
DRAP1,142.0,0.432809908,245.0,0.30893,0.086225517
DRG1,4594.0,0.444150091,131.0,0.161049,0.12669917
DSN1,5330.0,0.392894937,373.0,0.574703,-0.047920855
DSTN,2786.0,0.375776803,438.0,0.788708,0.072820493
DTL,2265.0,0.372315747,921.0,0.464611,0.527421149
DTX3L,3456.0,0.408848169,89.0,0.590681,0.114888245
DUSP12,374.0,0.419884133,34.0,0.064928,-0.040358965
DUT,1937.0,0.36471409,109.0,-0.290104,-0.444574478
DYNLT1,514.0,0.420362019,78.0,0.037225,-0.045714933
EBAG9,1437.0,0.39438748,402.0,0.04524,0.369170326
ECH1,191.0,0.389477111,85.0,-0.358077,-0.344024076
ECHDC2,2269.0,0.400166641,752.0,-0.870489,-0.413336767
ECM1,322.0,0.43792189,199.0,3.824651,0.64874106
EDEM2,76.0,0.379021051,100.0,0.879259,0.559900483
EEA1,5374.0,0.405861636,265.0,-0.047661,0.278104091
EEF1A2,286.0,0.417272363,329.0,3.050958,-0.207094488
EFTUD2,1331.0,0.444646836,398.0,0.746717,-0.001172193
EHD1,3363.0,0.446314898,447.0,0.155826,0.117172516
EIF2AK2,8063.0,0.394727306,557.0,1.677937,-0.053136487
EIF2B3,1058.0,0.383118637,239.0,0.308483,0.042704684
EIF3F,5840.0,0.435728237,33.0,0.32106,0.038103246
EIF3L,1718.0,0.380710116,245.0,-0.268049,0.100882393
EIF4A3,1120.0,0.381528282,222.0,0.139773,-0.190653815
ELAVL1,4910.0,0.437605432,167.0,-0.086289,-0.063743903
EMG1,248.0,0.433768095,143.0,-0.149503,0.023789326
EMILIN2,2605.0,0.379592019,159.0,0.297662,-0.069460142
ENDOD1,7728.0,0.376426787,118.0,0.321818,0.483181115
ENOSF1,2904.0,0.382279782,622.0,-0.140987,0.083686509
ENY2,2576.0,0.41756619,146.0,-0.093205,-0.043994651
EPSTI1,2106.0,0.391777705,469.0,1.643925,-0.012625542
ERCC1,2342.0,0.45058755,188.0,-0.280561,0.315101394
ERCC6L,4809.0,0.354829683,623.0,0.699704,-0.176472779
ERH,415.0,0.383837906,71.0,0.250688,-0.229745204
ERLIN1,2041.0,0.444737514,478.0,0.365533,0.394442802
ERP29,1277.0,0.401191178,118.0,0.471889,0.14167
ETV6,4356.0,0.398240844,274.0,0.026082,-0.168662118
EXOC4,1232.0,0.388187525,35.0,-0.743073,-0.143317559
EXOC8,6907.0,0.436106501,127.0,0.094678,0.105903596
EXOSC1,536.0,0.430105347,451.0,0.378709,-0.037294526
EXOSC2,3902.0,0.431273517,32.0,0.418572,-0.188453686
F8A1,571.0,0.46317284,15.0,0.282871,0.190322434
FAAH,2043.0,0.384592892,82.0,0.125291,0.156650159
FAF1,4425.0,0.401181969,453.0,0.064024,-0.272626389
FAM122A,4542.0,0.40477622,33.0,-0.739988,-0.128658248
FAM168A,6285.0,0.395008865,285.0,1.142028,0.320022212
FAM177A1,2165.0,0.411149627,459.0,0.024153,0.155732012
FAM192A,1824.0,0.379195199,1475.0,0.524674,-0.163278219
FAM20B,4428.0,0.4357945,293.0,-0.391175,0.287705363
FAM32A,1091.0,0.408676074,42.0,-0.026737,0.872206382
FAM50A,286.0,0.482889735,110.0,0.016902,-0.015694602
FBP1,248.0,0.397353747,331.0,-0.936508,-0.613027364
FBXL20,9338.0,0.383104745,254.0,2.186424,0.231843709
FBXO4,526.0,0.393825218,58.0,0.935954,0.265477436
FBXO6,503.0,0.42307306,166.0,-0.148146,-0.378622357
FCER1G,305.0,0.4202976,25.0,1.474912,0.951292258
FCGRT,309.0,0.433069976,486.0,-0.413118,0.567991367
FCHO1,270.0,0.372951657,283.0,-0.234141,0.419434972
FDPS,72.0,0.456397562,392.0,0.742697,-0.036313193
FDXR,596.0,0.384661194,188.0,0.165383,-0.206465375
FEN1,1340.0,0.407867196,413.0,1.231837,0.151349068
FERMT3,399.0,0.435119014,149.0,1.074096,0.354513585
FGD2,907.0,0.441856308,171.0,0.441667,0.25108089
FGFR1OP2,1663.0,0.396595515,353.0,0.24646,0.149066666
FGL2,3460.0,0.40966218,40.0,1.080367,0.658417051
FKBP1A,1132.0,0.428443098,174.0,0.862433,0.033000837
FKBPL,24.0,0.377510344,270.0,0.386733,0.345139853
FLOT1,422.0,0.472159534,339.0,0.04009,0.353703667
FN3K,442.0,0.389857108,61.0,-0.614613,-0.632347329
FN3KRP,3667.0,0.380720834,50.0,0.253315,-0.09866012
FOXJ3,3176.0,0.401878681,312.0,-0.162419,-0.157505446
FOXK2,3108.0,0.440496276,171.0,-0.176932,-0.17542798
FOXRED1,443.0,0.438630908,167.0,0.061706,0.128616065
FSCN1,1184.0,0.396100853,132.0,0.794082,-0.090979198
FTH1,530.0,0.425357612,235.0,1.078676,-0.057819093
FTL,1031.0,0.428438948,199.0,0.381383,-0.514788465
FTSJ1,638.0,0.457521275,569.0,0.389641,-0.048834006
FTSJ3,698.0,0.388239396,646.0,0.615944,0.053313372
FXN,6365.0,0.40465004,220.0,-0.355166,-0.870763695
GABARAPL2,564.0,0.431291441,136.0,-0.324591,0.49003959
GABPB1,1320.0,0.423118524,469.0,-0.332296,-0.174593747
GALK1,292.0,0.455574511,63.0,0.326307,0.03404553
GANAB,989.0,0.425909644,1027.0,1.472829,-0.074355721
GAS6,315.0,0.393865445,183.0,0.806419,0.300455626
GAS7,6619.0,0.423630168,311.0,0.380833,0.630833937
GBE1,708.0,0.404013874,283.0,0.409001,0.028566773
GBP1,1735.0,0.42614962,220.0,2.74883,0.717004376
GBP2,5058.0,0.440134196,314.0,1.781024,0.834392882
GBP4,4106.0,0.42983554,116.0,2.161976,0.745751097
GBP5,1753.0,0.421901204,537.0,3.550017,0.994271381
GCH1,2011.0,0.419329122,161.0,1.067033,0.287194077
GFOD2,622.0,0.396604754,295.0,-0.210355,-0.257464477
GGA2,5408.0,0.377812588,83.0,0.401494,0.25495191
GGCX,5211.0,0.417836117,106.0,1.236646,0.291107982
GIGYF1,2212.0,0.443456438,1210.0,-1.426345,-0.244350307
GINS3,1415.0,0.387351931,208.0,0.574304,-0.488907617
GLA,1699.0,0.378726947,110.0,0.611716,-0.11126495
GLE1,1357.0,0.383457083,114.0,0.3265,0.102202331
GLRX,1188.0,0.430296645,211.0,0.221842,-0.275571858
GLRX3,3557.0,0.41418463,539.0,-0.107453,-0.031260409
GLUD1,1558.0,0.392454008,1132.0,-0.168787,-0.08878387
GLYR1,2033.0,0.39940414,57.0,0.687619,0.028308388
GMEB1,4582.0,0.43446142,142.0,-0.143782,0.004502906
GMPPA,198.0,0.434966364,375.0,1.070515,0.058948749
GMPR,3984.0,0.435743929,114.0,1.789479,0.460929407
GMPR2,464.0,0.453637396,704.0,0.84433,0.14474869
GNAI1,1947.0,0.435804474,356.0,0.092801,0.498588258
GNG7,3803.0,0.398730372,237.0,-0.984079,-0.039535228
GNPDA1,1360.0,0.395964134,67.0,-0.071257,0.052628279
GOLGA2,1243.0,0.401070546,13.0,0.411168,-0.119545858
GON4L,926.0,0.418089888,175.0,0.028133,-0.4162514
GOSR1,5968.0,0.408103421,237.0,0.663849,0.505764408
GOSR2,3258.0,0.374298057,541.0,0.43303,0.643168072
GOT2,1054.0,0.444803236,129.0,0.539635,-0.182284685
GPS2,97.0,0.431122181,76.0,0.433668,0.100001778
GPSM2,4697.0,0.401967226,496.0,0.291555,-0.496221478
GPX7,626.0,0.395840774,39.0,0.942639,0.369251047
GRAMD1A,299.0,0.411657297,748.0,-0.448665,-0.55443768
GRB2,2292.0,0.4413596,358.0,-0.212673,-0.009835839
GSTM4,2467.0,0.390909061,314.0,0.887693,1.291574809
GTF2A2,1070.0,0.420716795,404.0,-0.285774,0.100325667
GTF2E2,604.0,0.365750105,273.0,-0.149806,0.146705347
GTF3C2,932.0,0.372227001,397.0,0.198599,-0.014139818
GTPBP1,2894.0,0.424954603,154.0,0.076588,0.062359379
GTPBP3,1032.0,0.436547413,95.0,-0.417461,-0.374298334
GTSE1,680.0,0.368527868,212.0,0.046355,-0.491435519
HADH,818.0,0.383558671,219.0,-0.159479,-0.215181614
HADHA,615.0,0.383558671,130.0,0.214503,0.038936372
HAUS5,3319.0,0.378752573,51.0,-0.623768,-0.213609659
HAUS8,346.0,0.37535995,111.0,0.849996,-0.315452256
HCCS,1274.0,0.398607648,275.0,0.164446,-0.337598749
HCK,337.0,0.440224323,364.0,0.98758,0.40014102
HDAC1,591.0,0.390040122,63.0,0.435839,-0.129484396
HDDC3,763.0,0.387287166,29.0,0.450978,-0.052970418
HDGF,1342.0,0.465394593,322.0,0.261893,-0.41843763
HDLBP,2343.0,0.397687311,375.0,0.215092,0.207114889
HEATR3,1385.0,0.384091545,883.0,1.569604,0.414398523
HEBP2,9119.0,0.359416339,297.0,-0.164149,0.011419302
HECA,3704.0,0.443714129,285.0,-0.056044,0.298326477
HECTD3,3914.0,0.446742268,98.0,0.124652,0.132270009
HERC2,726.0,0.429958504,109.0,-0.206283,0.032648278
HERC5,379.0,0.393838904,153.0,1.241953,0.058883865
HERC6,651.0,0.398146132,183.0,2.019873,0.193372462
HIP1,4874.0,0.430847644,52.0,1.281954,0.372181342
HLA-A,4150.0,0.424443523,84.0,0.643528,0.99692241
HLA-C,420.0,0.421684519,65.0,1.430485,0.666641388
HLA-DRA,409.0,0.420807891,109.0,1.997341,1.083674613
HLA-E,1459.0,0.413523771,126.0,1.067721,0.626548989
HLA-F,121.0,0.407256461,124.0,1.189956,0.721904308
HMBOX1,3560.0,0.369177113,482.0,0.646161,-1.161622575
HMBS,266.0,0.451934812,299.0,-0.055841,-0.188082685
HMGB2,3775.0,0.450826504,193.0,0.095517,-0.039097879
HMGCS1,3661.0,0.374424323,345.0,1.995676,1.570802952
HMOX1,616.0,0.436401717,107.0,0.822773,0.112841842
HNRNPA0,7504.0,0.386421138,284.0,0.374203,-0.202858539
HNRNPD,1688.0,0.420386111,318.0,0.067275,-0.428333798
HNRNPL,1102.0,0.449817015,176.0,-0.10812,-0.439219027
HNRNPU,4156.0,0.432126199,218.0,0.311917,-0.143241363
HNRNPUL1,2135.0,0.394022965,339.0,-0.525562,-0.112491537
HNRNPUL2,2674.0,0.436897081,229.0,0.886458,0.179093891
HSBP1,3274.0,0.4454546,174.0,-0.593628,-0.18235085
HSD11B1,4482.0,0.426649415,154.0,-0.001975,0.038712294
HSD17B7,398.0,0.431983247,99.0,1.316464,0.092045349
HSP90AB1,313.0,0.39509298,251.0,0.394461,-0.327837713
HSPA1L,428.0,0.464100714,183.0,0.386734,-0.219673701
HSPA4L,7877.0,0.413794867,342.0,-0.417828,-0.946799194
HSPB11,107.0,0.34538245,284.0,0.292404,-0.105525745
HTRA2,571.0,0.421976635,602.0,-0.062982,-0.161200368
HTT,3901.0,0.373695076,145.0,-1.14864,-0.176051253
HUS1,2068.0,0.374612864,131.0,0.231263,0.126983593
HYI,310.0,0.378597605,196.0,-0.695787,0.0635154
HYOU1,1409.0,0.403839016,234.0,0.269214,-0.265413893
ICAM1,1537.0,0.426062071,319.0,1.387789,0.353652369
IER3IP1,3342.0,0.438740024,97.0,-0.570917,-0.20396531
IFI16,254.0,0.415211655,290.0,1.145516,0.551068175
