,3prime,tAI,max_5_UTR_length,TCGA-BH-A0C1,TCGA-BH-A0C1.1
BAG1,2764.0,0.431693656,501.0,-0.419551,-0.778177291
BAG3,537.0,0.387438444,306.0,-0.533524,-0.714724313
BASP1,971.0,0.520859146,259.0,0.95894,-0.911399536
BBS7,1531.0,0.408023089,184.0,0.15378,-0.069010721
BCAT2,364.0,0.445598481,657.0,0.169905,-0.006866429
BCKDHB,3082.0,0.419736544,88.0,0.699892,-0.106334251
BCL2,5279.0,0.374049285,493.0,-0.818936,-1.37077357
BCL2L13,4109.0,0.411790332,769.0,0.09052,-0.158593806
BID,4193.0,0.428633517,498.0,0.755478,-0.143717219
BLVRA,3376.0,0.414260839,177.0,-0.171638,-0.151330322
BOLA2,40.0,0.43059393,513.0,-0.391315,0.002140317
BOLA3,383.0,0.406657227,38.0,-0.470348,-0.095072894
BRD2,787.0,0.377809737,2066.0,0.136731,0.012209688
BRD3,3285.0,0.401150236,188.0,0.62013,-0.062462055
BSPRY,1091.0,0.380011644,48.0,0.415694,-0.226544239
BST2,411.0,0.444557266,81.0,-1.450705,0.194209863
BUB3,1535.0,0.421992618,242.0,0.550105,0.040381182
C1QB,152.0,0.436596666,340.0,-0.154103,0.411393121
C1QC,327.0,0.41150294,283.0,-0.292384,0.556972128
C2CD3,671.0,0.360398895,227.0,0.470979,0.117772422
C3,5088.0,0.430632158,93.0,0.592195,-0.310722529
CAP1,1134.0,0.406948565,416.0,-0.049676,0.055990379
CAPN1,720.0,0.455130071,197.0,-0.437268,0.077441705
CAPRIN1,5632.0,0.374918508,189.0,0.648202,0.001187117
CAPZB,5180.0,0.446052528,622.0,-0.123861,0.052293232
CARD16,437.0,0.41300235,27.0,-0.362027,1.291058839
CARHSP1,4898.0,0.362100245,360.0,-0.484926,0.013452667
CASC3,1778.0,0.370720542,295.0,0.002545,-0.453006833
CASP1,750.0,0.424742838,44.0,-0.652049,0.882462023
CASP8,1794.0,0.376118708,303.0,0.254583,-0.10643635
CAT,629.0,0.397270122,89.0,-0.776319,0.366706333
CBL,8368.0,0.375957197,142.0,0.79325,0.476444708
CBLL1,3286.0,0.400851504,467.0,0.54354,-0.358168758
CBR3,54.0,0.445176236,228.0,-0.924924,-0.596714064
CBS,4385.0,0.477784031,626.0,-0.887382,0.638213413
CBX5,10815.0,0.390902295,318.0,0.564315,-0.70158094
CBX8,2504.0,0.36735217,118.0,-1.053209,0.046036407
CCDC115,2169.0,0.385110507,452.0,0.219351,-0.332223404
CCDC58,2462.0,0.421830022,75.0,-0.257662,0.252177638
CCDC88C,1302.0,0.396031427,154.0,0.610998,-0.443251618
CCL5,886.0,0.462166288,68.0,0.861611,1.528626501
CCNA2,1206.0,0.409154498,373.0,0.392527,-0.015194621
CCNB2,168.0,0.374401461,184.0,-0.721499,0.60429409
CCNDBP1,2336.0,0.44393643,231.0,-0.825078,-0.045115034
CCS,4244.0,0.460896681,43.0,-0.63088,-0.028871053
CCT3,238.0,0.457984718,231.0,0.642477,-0.085448284
CCT4,1361.0,0.393363555,164.0,0.488491,-0.137802975
CD14,128.0,0.416321757,392.0,-1.684421,0.923092093
CD209,3046.0,0.440000747,67.0,-0.190982,-0.179697921
CD33,331.0,0.428315036,40.0,-0.699577,-0.651800652
CD36,2894.0,0.410517795,414.0,-1.539883,-0.669122423
CD40,982.0,0.429065654,90.0,-0.406718,1.560729746
CD44,3115.0,0.39995987,434.0,-0.999946,0.436388942
CD63,923.0,0.512738356,403.0,-0.003803,0.099842413
CD74,635.0,0.427357309,187.0,0.516569,1.020256287
CDC25C,437.0,0.364786128,387.0,0.170161,0.749717894
CDC26,271.0,0.395637029,359.0,-0.529465,-0.410897345
CDC34,560.0,0.46431386,199.0,0.002603,0.164068928
CDCA3,816.0,0.351209268,820.0,-0.083622,-0.511446877
CDCA8,1353.0,0.384295288,290.0,-0.471321,0.678127484
CDIPT,1864.0,0.442654716,541.0,-0.452673,-2.125696107
CDK1,2313.0,0.398329505,154.0,-0.062666,0.399156037
CDK19,4557.0,0.421511824,180.0,1.432958,0.103173332
CDK5RAP2,367.0,0.371069462,192.0,0.332768,-0.235243605
CDK5RAP3,284.0,0.469750898,1791.0,-1.256629,0.137570424
CDKAL1,1365.0,0.417875209,167.0,0.402155,0.12633717
CDKN2AIPNL,3639.0,0.409801696,53.0,-0.509605,-0.261280079
CDKN2C,2247.0,0.381912025,1216.0,0.845194,-0.022571871
CEBPD,1714.0,0.430497143,44.0,-0.157418,-0.188358106
CENPH,1478.0,0.418392258,87.0,0.853415,0.194127287
CENPV,301.0,0.385948267,62.0,-1.079173,-1.526954189
CEP55,939.0,0.397841874,304.0,0.179547,0.146389895
CES3,2100.0,0.377378956,446.0,-1.773303,-0.178328208
CETN2,868.0,0.433727498,47.0,-0.224078,0.193451389
CFL1,677.0,0.502791,234.0,-0.317423,-0.045034901
CHAC2,786.0,0.395629742,277.0,0.466906,0.19527791
CHCHD4,3528.0,0.445497334,326.0,-0.176668,0.629841709
CHMP4A,296.0,0.447100154,262.0,-0.573843,-0.392095429
CHMP5,1241.0,0.442987983,200.0,-0.603191,-0.183309744
CHMP6,980.0,0.489861105,78.0,-0.72307,0.223226756
CHST11,4211.0,0.430763246,498.0,0.535839,0.651383514
CHTF8,2425.0,0.424551152,142.0,0.134838,0.706670059
CIAPIN1,1024.0,0.451663323,242.0,-0.179398,-0.11648486
CISD2,5376.0,0.433298698,107.0,-0.623841,0.687239718
CKAP4,2872.0,0.386259817,84.0,0.209248,0.794092428
CKS2,300.0,0.317949998,98.0,-0.725154,0.533114632
CLCC1,5185.0,0.369704467,150.0,-0.505695,0.086160753
CLCN7,1698.0,0.459147749,110.0,-0.100305,-0.03560509
CLIC1,290.0,0.4571302,573.0,0.126812,-0.11195105
CLK2,350.0,0.410673686,925.0,0.47169,-2.040904962
CLK3,1233.0,0.4268607,461.0,-1.053633,0.334985449
CLPTM1,458.0,0.383990827,351.0,-0.242269,0.221918533
CLTA,288.0,0.450950874,514.0,-0.397473,-0.052185173
CLTB,319.0,0.48548545,210.0,-0.540726,0.210871522
CLTC,3104.0,0.384957863,443.0,-0.188305,-0.022567604
CNBP,6850.0,0.433298698,206.0,-0.345348,-0.36952898
CNPY2,123.0,0.392778455,553.0,0.152397,-0.005204968
CNPY3,1042.0,0.459231502,584.0,-0.198579,0.216090536
COG3,1967.0,0.414689223,142.0,0.218812,-0.189204509
COMMD1,306.0,0.423842833,138.0,0.180392,0.14420697
COMMD3,431.0,0.360487018,35.0,-0.234787,0.422544818
COMMD5,498.0,0.445713337,399.0,-0.408914,0.094787734
COMMD6,1375.0,0.396967837,328.0,-0.382501,0.260443737
COMMD9,2340.0,0.418062772,89.0,-0.508835,0.273735387
COPB1,446.0,0.381738818,307.0,0.109901,0.063169374
COPE,165.0,0.478760693,55.0,-0.264525,0.078042399
COQ6,671.0,0.374062527,159.0,0.014435,-0.308298456
COQ7,5700.0,0.42379098,133.0,-0.583796,0.06388112
CORO1A,112.0,0.457388252,435.0,0.000304,0.502595645
COX17,1735.0,0.484254073,86.0,-0.239519,-0.512740461
COX5A,860.0,0.429944966,140.0,-0.524777,-0.18511785
COX7A2,302.0,0.441893926,98.0,-0.111808,0.398143155
CPM,5262.0,0.406054343,75.0,-0.186529,0.655023185
CPSF4,923.0,0.452412439,277.0,-0.19806,-0.029504469
CPT1A,2761.0,0.374132033,170.0,-0.205499,-0.788505321
CPT2,602.0,0.431256564,515.0,-0.442994,-0.182237912
CRCP,8457.0,0.390198146,145.0,0.151438,0.036178882
CRKL,3904.0,0.422225684,509.0,0.207733,-0.101428723
CRTAP,5601.0,0.446308827,120.0,0.375651,0.620010546
CRTC3,3205.0,0.355982524,186.0,0.128584,-0.256786541
CRYL1,462.0,0.386242786,79.0,-0.790564,-0.464022676
CSRP1,1183.0,0.493833101,217.0,0.275507,-1.066273407
CST3,2762.0,0.475763324,186.0,-0.301453,-0.585109313
CSTF2,1931.0,0.372934478,58.0,0.602064,0.015071434
CTBP1,800.0,0.464034004,393.0,-0.365195,-0.362888519
CTNNA1,1216.0,0.412513324,1103.0,0.578164,-0.049829743
CTNNB1,1106.0,0.432073699,448.0,0.258371,0.175424494
CTNNBIP1,2448.0,0.394834327,307.0,-0.597993,-0.749313693
CTPS2,1870.0,0.416273085,744.0,0.743114,0.601605735
CTSG,119.0,0.369503415,37.0,0.619067,-1.313952
CTSH,1072.0,0.446467856,1192.0,-0.125651,0.122315597
CUEDC1,2047.0,0.374410739,719.0,-0.076672,-0.313809708
CUX1,1040.0,0.395555213,127.0,0.22702,0.244764361
CXCL10,814.0,0.410287201,105.0,2.048241,1.165859153
CXCL9,2323.0,0.403736618,74.0,2.625683,-0.30690615
CYBB,2544.0,0.418993019,61.0,0.271675,0.956115688
CYP2S1,1051.0,0.420869286,58.0,-0.030225,0.984162823
CYTH4,1837.0,0.406296106,377.0,-0.427904,0.504394134
DAB2,1757.0,0.368483127,531.0,0.302021,0.096482678
DAGLB,721.0,0.377719723,170.0,-0.023189,-0.143749374
DAP3,768.0,0.366492687,184.0,0.63021,0.705728528
DAPP1,2082.0,0.348655603,90.0,0.443127,0.975365677
DBI,233.0,0.467027529,479.0,0.187699,-1.309479585
DCAF12,1967.0,0.42050769,342.0,0.138795,0.506750112
DCAF8,1877.0,0.380310979,212.0,0.61315,0.73899054
DCP1A,4153.0,0.411936399,381.0,0.279337,0.132835449
DCPS,4731.0,0.375605648,329.0,0.000209,0.540320453
DCTN5,10597.0,0.443116252,177.0,-0.007502,0.021907156
DDAH2,653.0,0.361046801,1104.0,0.367531,-0.495439395
DDB2,1223.0,0.43604051,195.0,-1.106565,0.281051049
DDX23,713.0,0.445931172,91.0,-0.136453,0.214336316
DDX31,1870.0,0.361830896,544.0,0.011735,0.249912438
DDX47,438.0,0.379294484,22.0,0.146151,0.617008483
DDX54,1704.0,0.467316231,28.0,-0.797985,0.300882159
DDX56,586.0,0.438032149,643.0,-0.008455,0.284533874
DDX59,217.0,0.413095257,243.0,0.307651,-0.054802472
DHODH,3463.0,0.371608285,21.0,-0.372073,0.731702365
DHPS,121.0,0.474111752,121.0,-0.054673,0.58041164
DHX15,459.0,0.379133957,168.0,0.151226,0.332676624
DHX34,591.0,0.384465978,349.0,0.231644,-0.002000203
DHX58,357.0,0.440330409,223.0,-1.2789,0.387088603
DIABLO,719.0,0.425893605,1182.0,-0.890193,0.17670113
DMAP1,63.0,0.471306,301.0,-1.167607,-0.10230157
DMXL2,1274.0,0.389901613,225.0,-0.44637,0.430948845
DNAJA4,1736.0,0.398301408,169.0,-0.854356,-0.796217176
DNAJC14,1509.0,0.37755465,204.0,0.155588,-2.806097807
DNAJC19,1326.0,0.403482491,259.0,-0.094157,0.818286786
DNAJC25,1212.0,0.430964931,56.0,-0.138081,0.531444166
DNAJC8,969.0,0.416719859,33.0,-0.738421,-0.152887913
DNM1,1255.0,0.393835111,116.0,-0.10555,-0.430749375
DNTTIP2,3564.0,0.408096853,58.0,-0.356111,0.401236684
DOCK11,3681.0,0.373818855,63.0,0.161163,0.124015587
DOCK2,524.0,0.446250827,52.0,0.447337,0.661501712
DOK2,438.0,0.384043737,481.0,-0.301134,0.692317967
DPCD,197.0,0.459155016,389.0,0.070792,0.267884407
DPF2,2501.0,0.393394442,133.0,-0.078994,-0.216637985
DPH1,1310.0,0.448716064,341.0,-0.331885,0.305943991
DPH5,784.0,0.413363166,165.0,-0.605628,0.20269425
DPY30,562.0,0.438431353,279.0,-0.514075,0.38839107
DPYSL2,2472.0,0.430530829,431.0,0.055524,-0.277637232
DRAP1,142.0,0.432809908,245.0,-0.753932,0.191867976
DRG1,4594.0,0.444150091,131.0,-0.215736,0.193965321
DSN1,5330.0,0.392894937,373.0,-0.245096,-0.584238557
DSTN,2786.0,0.375776803,438.0,0.260038,-0.620363838
DTL,2265.0,0.372315747,921.0,1.263688,-0.144898344
DTX3L,3456.0,0.408848169,89.0,0.531541,0.375573031
DUSP12,374.0,0.419884133,34.0,0.62543,0.685534487
DUT,1937.0,0.36471409,109.0,-0.61405,-0.107231192
DYNLT1,514.0,0.420362019,78.0,0.157304,-0.17695633
EBAG9,1437.0,0.39438748,402.0,-0.672365,-0.159112016
ECH1,191.0,0.389477111,85.0,-0.910155,-0.571783717
ECHDC2,2269.0,0.400166641,752.0,-1.374197,-0.283672505
ECM1,322.0,0.43792189,199.0,-0.353345,-0.959511927
EDEM2,76.0,0.379021051,100.0,-0.024878,-0.11408251
EEA1,5374.0,0.405861636,265.0,0.340366,0.122195231
EEF1A2,286.0,0.417272363,329.0,-4.59834,-2.296841348
EFTUD2,1331.0,0.444646836,398.0,-0.463767,0.158362639
EHD1,3363.0,0.446314898,447.0,-0.123265,0.372718409
EIF2AK2,8063.0,0.394727306,557.0,0.258931,0.544750133
EIF2B3,1058.0,0.383118637,239.0,-0.476161,0.507459482
EIF3F,5840.0,0.435728237,33.0,-0.082356,0.081902168
EIF3L,1718.0,0.380710116,245.0,0.223877,0.214918263
EIF4A3,1120.0,0.381528282,222.0,-0.770201,0.051627856
ELAVL1,4910.0,0.437605432,167.0,0.21379,0.029748635
EMG1,248.0,0.433768095,143.0,-0.072712,0.57086208
EMILIN2,2605.0,0.379592019,159.0,-0.329091,0.223378475
ENDOD1,7728.0,0.376426787,118.0,0.828628,0.377236697
ENOSF1,2904.0,0.382279782,622.0,-0.244603,-0.960469112
ENY2,2576.0,0.41756619,146.0,-0.55544,-0.31495566
EPSTI1,2106.0,0.391777705,469.0,0.392277,0.814410019
ERCC1,2342.0,0.45058755,188.0,0.322045,-0.005141876
ERCC6L,4809.0,0.354829683,623.0,0.890136,0.427864826
ERH,415.0,0.383837906,71.0,-0.162386,-0.393163709
ERLIN1,2041.0,0.444737514,478.0,-0.033199,0.296334873
ERP29,1277.0,0.401191178,118.0,-0.869463,0.239263626
ETV6,4356.0,0.398240844,274.0,0.375417,0.626551405
EXOC4,1232.0,0.388187525,35.0,0.438104,0.166852438
EXOC8,6907.0,0.436106501,127.0,0.502387,-0.023302908
EXOSC1,536.0,0.430105347,451.0,-0.412523,0.454221702
EXOSC2,3902.0,0.431273517,32.0,-0.300619,0.174674348
F8A1,571.0,0.46317284,15.0,-0.47653,-0.016741016
FAAH,2043.0,0.384592892,82.0,-0.791902,0.255550516
FAF1,4425.0,0.401181969,453.0,-0.137928,0.423139946
FAM122A,4542.0,0.40477622,33.0,0.305836,0.032431098
FAM168A,6285.0,0.395008865,285.0,0.701732,0.656892158
FAM177A1,2165.0,0.411149627,459.0,-0.046586,-0.439486003
FAM192A,1824.0,0.379195199,1475.0,-0.434076,0.337235486
FAM20B,4428.0,0.4357945,293.0,1.325067,-0.130865316
FAM32A,1091.0,0.408676074,42.0,0.011498,-0.118258566
FAM50A,286.0,0.482889735,110.0,-1.203511,0.397200031
FBP1,248.0,0.397353747,331.0,-0.823722,-1.158820138
FBXL20,9338.0,0.383104745,254.0,-0.00615,0.202889453
FBXO4,526.0,0.393825218,58.0,-0.697065,0.032111335
FBXO6,503.0,0.42307306,166.0,-0.351032,-0.975733022
FCER1G,305.0,0.4202976,25.0,-0.504761,1.124194684
FCGRT,309.0,0.433069976,486.0,-1.278351,0.538527349
FCHO1,270.0,0.372951657,283.0,-0.996747,-0.238736078
FDPS,72.0,0.456397562,392.0,0.257909,0.03029086
FDXR,596.0,0.384661194,188.0,-1.338195,-0.872491277
FEN1,1340.0,0.407867196,413.0,-0.249511,0.477897278
FERMT3,399.0,0.435119014,149.0,-0.298592,0.595845881
FGD2,907.0,0.441856308,171.0,-0.253794,0.607823907
FGFR1OP2,1663.0,0.396595515,353.0,-0.134364,0.236155145
FGL2,3460.0,0.40966218,40.0,0.251216,0.317761361
FKBP1A,1132.0,0.428443098,174.0,0.2859,0.043905512
FKBPL,24.0,0.377510344,270.0,-0.257033,-0.056756219
FLOT1,422.0,0.472159534,339.0,-0.321442,-0.383457441
FN3K,442.0,0.389857108,61.0,-1.082407,-0.226013438
FN3KRP,3667.0,0.380720834,50.0,-1.055041,-0.694042302
FOXJ3,3176.0,0.401878681,312.0,-0.466995,0.300956648
FOXK2,3108.0,0.440496276,171.0,-0.794551,-0.088568361
FOXRED1,443.0,0.438630908,167.0,0.15469,0.08503967
FSCN1,1184.0,0.396100853,132.0,-0.260203,0.202948553
FTH1,530.0,0.425357612,235.0,-0.325409,1.008207457
FTL,1031.0,0.428438948,199.0,-0.526728,1.436031536
FTSJ1,638.0,0.457521275,569.0,-0.131582,-0.061813304
FTSJ3,698.0,0.388239396,646.0,-0.827191,0.335077794
FXN,6365.0,0.40465004,220.0,-0.107111,0.19431517
GABARAPL2,564.0,0.431291441,136.0,-0.831933,0.968866624
GABPB1,1320.0,0.423118524,469.0,-0.011069,-0.566126983
GALK1,292.0,0.455574511,63.0,-0.956074,0.334699061
GANAB,989.0,0.425909644,1027.0,0.298967,0.026209321
GAS6,315.0,0.393865445,183.0,-0.535833,-0.263677855
GAS7,6619.0,0.423630168,311.0,0.493566,0.079996456
GBE1,708.0,0.404013874,283.0,-0.278741,-0.297499269
GBP1,1735.0,0.42614962,220.0,0.684362,1.206248299
GBP2,5058.0,0.440134196,314.0,-0.149698,0.627016414
GBP4,4106.0,0.42983554,116.0,0.742325,1.122208834
GBP5,1753.0,0.421901204,537.0,1.535778,1.57402806
GCH1,2011.0,0.419329122,161.0,0.631521,0.787635116
GFOD2,622.0,0.396604754,295.0,0.366014,-0.38270067
GGA2,5408.0,0.377812588,83.0,-0.751329,0.14326522
GGCX,5211.0,0.417836117,106.0,0.71289,0.679568754
GIGYF1,2212.0,0.443456438,1210.0,-0.067116,-0.500920721
GINS3,1415.0,0.387351931,208.0,-0.201914,0.620947693
GLA,1699.0,0.378726947,110.0,-0.247275,-0.349748778
GLE1,1357.0,0.383457083,114.0,-0.237867,0.177483001
GLRX,1188.0,0.430296645,211.0,0.135902,-0.001423622
GLRX3,3557.0,0.41418463,539.0,0.109292,0.175506123
GLUD1,1558.0,0.392454008,1132.0,0.501138,-0.282522505
GLYR1,2033.0,0.39940414,57.0,0.29946,-0.020448165
GMEB1,4582.0,0.43446142,142.0,0.105682,-0.149303874
GMPPA,198.0,0.434966364,375.0,-0.149993,-0.340557842
GMPR,3984.0,0.435743929,114.0,1.516016,0.414427936
GMPR2,464.0,0.453637396,704.0,-0.433828,-0.560970101
GNAI1,1947.0,0.435804474,356.0,-0.67672,0.687529046
GNG7,3803.0,0.398730372,237.0,0.284142,0.183588873
GNPDA1,1360.0,0.395964134,67.0,0.137841,0.538986828
GOLGA2,1243.0,0.401070546,13.0,-0.165061,0.05686153
GOSR1,5968.0,0.408103421,237.0,-0.528655,0.37537472
GOSR2,3258.0,0.374298057,541.0,-0.355563,0.311878421
GOT2,1054.0,0.444803236,129.0,0.56614,0.089331785
GPS2,97.0,0.431122181,76.0,-0.740644,0.36524069
GPSM2,4697.0,0.401967226,496.0,-0.396969,0.545231509
GPX7,626.0,0.395840774,39.0,-0.05121,-0.342411094
GRAMD1A,299.0,0.411657297,748.0,0.539624,-0.176435922
GRB2,2292.0,0.4413596,358.0,-0.663593,0.392155525
GSTM4,2467.0,0.390909061,314.0,-1.254197,-2.0053452
GTF2A2,1070.0,0.420716795,404.0,-0.444937,-0.416488823
GTF2E2,604.0,0.365750105,273.0,-0.058674,0.400016209
GTF3C2,932.0,0.372227001,397.0,0.468623,0.062356387
GTPBP1,2894.0,0.424954603,154.0,0.226472,0.093225209
GTPBP3,1032.0,0.436547413,95.0,-0.26638,-0.142863759
GTSE1,680.0,0.368527868,212.0,-0.12029,0.200472797
GTSF1,222.0,0.36097632,86.0,-3.017093,0.021958199
HADH,818.0,0.383558671,219.0,-0.371185,0.145841429
HADHA,615.0,0.383558671,130.0,0.389898,0.293828897
HAUS5,3319.0,0.378752573,51.0,-0.036782,0.305905051
HAUS8,346.0,0.37535995,111.0,-0.485801,-0.07769357
HCCS,1274.0,0.398607648,275.0,-0.217127,0.968059253
HCK,337.0,0.440224323,364.0,-0.18298,0.80919804
HDAC1,591.0,0.390040122,63.0,-0.675827,0.014339718
HDDC3,763.0,0.387287166,29.0,-1.336392,-0.413615789
HDGF,1342.0,0.465394593,322.0,0.472005,-0.153736493
HDLBP,2343.0,0.397687311,375.0,0.600097,0.35256135
HEATR3,1385.0,0.384091545,883.0,0.871927,0.512495701
HEBP2,9119.0,0.359416339,297.0,0.130962,-0.483644812
HECA,3704.0,0.443714129,285.0,0.29128,-0.232490803
HECTD3,3914.0,0.446742268,98.0,-0.529755,0.12826232
HERC2,726.0,0.429958504,109.0,-0.443398,0.259593396
HERC5,379.0,0.393838904,153.0,-0.857354,1.115730965
HERC6,651.0,0.398146132,183.0,-0.642541,0.163121279
HIP1,4874.0,0.430847644,52.0,1.102694,0.005937584
HLA-A,4150.0,0.424443523,84.0,-0.237137,1.200722979
HLA-C,420.0,0.421684519,65.0,0.044375,1.89528011
HLA-DRA,409.0,0.420807891,109.0,0.336251,1.203738514
HLA-E,1459.0,0.413523771,126.0,0.078207,0.586109928
HLA-F,121.0,0.407256461,124.0,0.291958,0.962955555
HMBOX1,3560.0,0.369177113,482.0,1.534581,-1.397336241
HMBS,266.0,0.451934812,299.0,-0.222884,0.450599593
HMGB2,3775.0,0.450826504,193.0,-0.387126,-0.333220765
HMGCS1,3661.0,0.374424323,345.0,0.199262,-0.670312036
HMOX1,616.0,0.436401717,107.0,-1.180322,0.87299184
HNRNPA0,7504.0,0.386421138,284.0,0.426846,0.090071622
HNRNPD,1688.0,0.420386111,318.0,-0.426171,-0.252462965
HNRNPL,1102.0,0.449817015,176.0,-0.022205,-0.367580282
HNRNPU,4156.0,0.432126199,218.0,0.258145,-0.114788467
HNRNPUL1,2135.0,0.394022965,339.0,0.3286,-0.084357947
HNRNPUL2,2674.0,0.436897081,229.0,-0.01888,-0.03870984
HSBP1,3274.0,0.4454546,174.0,-0.358755,-0.170158995
HSD17B7,398.0,0.431983247,99.0,-0.392079,-0.152549352
HSP90AB1,313.0,0.39509298,251.0,0.174246,0.089058248
HSPA1L,428.0,0.464100714,183.0,-0.35714,0.533845161
HSPA4L,7877.0,0.413794867,342.0,-1.442692,0.746818895
HSPB11,107.0,0.34538245,284.0,-1.213388,0.039309663
HTRA2,571.0,0.421976635,602.0,0.093144,0.363258866
HTT,3901.0,0.373695076,145.0,0.060799,-0.142348618
HUS1,2068.0,0.374612864,131.0,0.51131,0.22800969
HYI,310.0,0.378597605,196.0,-1.066191,-0.509663885
HYOU1,1409.0,0.403839016,234.0,0.550444,0.549014743
ICAM1,1537.0,0.426062071,319.0,1.173513,1.118205862
IER3IP1,3342.0,0.438740024,97.0,0.314384,0.315930744
IFI16,254.0,0.415211655,290.0,-0.044204,1.029956735
IFI30,213.0,0.431523306,62.0,-1.018789,-0.114461878
IFI35,160.0,0.418462024,223.0,-0.775466,0.550690659
