,3prime,tAI,max_5_UTR_length,TCGA-AR-A0U4,TCGA-AR-A0U4.1
ANXA2,496.0,0.429738522,160.0,0.335414,-0.104811817
ANXA5,1441.0,0.418050335,165.0,0.466752,-0.138374101
AP1B1,1153.0,0.424070668,187.0,0.862105,0.241841086
AP1M1,914.0,0.463388599,173.0,0.56791,0.39438289
APBA1,3797.0,0.387421148,276.0,-0.234724,0.14768365
APIP,427.0,0.433104693,127.0,-0.309925,-0.488863609
APOBEC3B,339.0,0.43450554,55.0,3.890118,0.260793284
APOBEC3C,1979.0,0.381716897,103.0,0.74549,-0.256038097
APOBEC3G,322.0,0.410940579,404.0,0.109424,-0.246899831
APOL2,1195.0,0.42932248,477.0,-0.246647,-0.311133751
ARF6,2971.0,0.462806813,621.0,0.673931,-0.049432874
ARFIP2,2430.0,0.403729309,291.0,-0.782017,-0.516178608
ARHGAP17,2624.0,0.371011524,117.0,0.603801,0.268443303
ARHGAP30,773.0,0.384451823,645.0,1.18968,0.671244987
ARHGEF10,1378.0,0.370244255,202.0,1.931262,1.110293756
ARID2,3145.0,0.362288628,128.0,-0.76397,-0.314647236
ARID3A,3881.0,0.411693449,290.0,0.117907,0.286495827
ARIH2,3112.0,0.397061561,878.0,-0.468685,-0.076690171
ARL8A,1065.0,0.409602486,171.0,0.083449,0.377803539
ARRB1,6041.0,0.39512759,224.0,0.078838,-0.142845494
ASF1B,950.0,0.395794233,172.0,1.07089,0.571227231
ASS1,1357.0,0.394201053,356.0,0.371671,0.105652271
ATPAF1,3039.0,0.439253133,510.0,-0.184984,-0.279954305
AXL,1863.0,0.417061167,376.0,-0.297293,0.023459624
BAG1,2764.0,0.431693656,501.0,-1.479878,-0.436535101
BAG3,537.0,0.387438444,306.0,-0.476299,-0.435678116
BASP1,971.0,0.520859146,259.0,-0.272542,0.649226144
BBS7,1531.0,0.408023089,184.0,0.290117,0.030104665
BCAT2,364.0,0.445598481,657.0,-0.960828,-0.543539394
BCKDHB,3082.0,0.419736544,88.0,-1.262014,-0.417433206
BCL2,5279.0,0.374049285,493.0,-1.108496,-0.152938272
BCL2L13,4109.0,0.411790332,769.0,-0.519074,-0.203067527
BID,4193.0,0.428633517,498.0,1.029644,0.573194805
BLVRA,3376.0,0.414260839,177.0,-1.681293,-0.901521614
BOLA2,40.0,0.43059393,513.0,-0.087249,-0.149059508
BOLA3,383.0,0.406657227,38.0,0.718289,0.305637493
BRD2,787.0,0.377809737,2066.0,-0.011474,0.259044378
BRD3,3285.0,0.401150236,188.0,-0.271133,-0.013534786
BSPRY,1091.0,0.380011644,48.0,-1.890686,-0.605442012
BST2,411.0,0.444557266,81.0,-0.241391,-0.258412843
BUB3,1535.0,0.421992618,242.0,0.134592,-0.121100414
C1QB,152.0,0.436596666,340.0,0.904208,0.22454652
C1QC,327.0,0.41150294,283.0,1.107941,-0.22418581
C3,5088.0,0.430632158,93.0,1.079124,0.694439525
CAP1,1134.0,0.406948565,416.0,0.32418,0.199107187
CAPN1,720.0,0.455130071,197.0,-0.262488,-0.26107461
CAPRIN1,5632.0,0.374918508,189.0,-0.452678,-0.325501712
CAPZB,5180.0,0.446052528,622.0,0.272045,0.21738637
CARD16,437.0,0.41300235,27.0,1.532388,1.220767389
CARHSP1,4898.0,0.362100245,360.0,-0.358226,-0.160481262
CASC3,1778.0,0.370720542,295.0,-0.592082,-0.270688587
CASP1,750.0,0.424742838,44.0,0.948074,0.29025624
CASP8,1794.0,0.376118708,303.0,-0.177349,-0.100231261
CAT,629.0,0.397270122,89.0,-0.598549,0.679187824
CBL,8368.0,0.375957197,142.0,0.43088,0.502762915
CBLL1,3286.0,0.400851504,467.0,-0.535998,0.075986211
CBR3,54.0,0.445176236,228.0,0.008357,-0.348856832
CBS,4385.0,0.477784031,626.0,4.515654,2.283589519
CBX5,10815.0,0.390902295,318.0,-0.671856,-0.616147499
CBX8,2504.0,0.36735217,118.0,0.390271,-0.218836995
CCDC115,2169.0,0.385110507,452.0,-0.491124,0.005388306
CCDC58,2462.0,0.421830022,75.0,-0.210023,-0.224902139
CCDC88C,1302.0,0.396031427,154.0,0.061564,-0.194149943
CCL5,886.0,0.462166288,68.0,3.158664,1.119772457
CCNA2,1206.0,0.409154498,373.0,1.926618,0.239502395
CCNB2,168.0,0.374401461,184.0,1.617317,0.51623772
CCNDBP1,2336.0,0.44393643,231.0,-0.895602,0.330866791
CCS,4244.0,0.460896681,43.0,-0.833768,-0.261085681
CCT3,238.0,0.457984718,231.0,0.323129,0.028583264
CCT4,1361.0,0.393363555,164.0,0.30452,0.09868108
CD14,128.0,0.416321757,392.0,2.806425,1.000533299
CD209,3046.0,0.440000747,67.0,0.636316,-0.006300534
CD36,2894.0,0.410517795,414.0,0.851161,0.321046968
CD40,982.0,0.429065654,90.0,2.968762,1.245630594
CD44,3115.0,0.39995987,434.0,1.347649,0.663827903
CD63,923.0,0.512738356,403.0,-0.486672,-0.989544063
CD74,635.0,0.427357309,187.0,0.927487,-0.002326661
CDC25C,437.0,0.364786128,387.0,-0.346252,-0.244864664
CDC26,271.0,0.395637029,359.0,-0.143957,-0.084485923
CDC34,560.0,0.46431386,199.0,0.535736,0.402954313
CDC42EP3,3941.0,0.420378821,1009.0,1.257734,-0.498815715
CDCA3,816.0,0.351209268,820.0,1.435585,0.257738469
CDCA8,1353.0,0.384295288,290.0,1.803335,0.246660433
CDIPT,1864.0,0.442654716,541.0,-0.208683,-0.767991066
CDK1,2313.0,0.398329505,154.0,0.617038,0.431197652
CDK2AP1,766.0,0.439144625,522.0,1.835792,0.230819218
CDK5RAP2,367.0,0.371069462,192.0,-0.6838,-0.439619299
CDK5RAP3,284.0,0.469750898,1791.0,-0.796372,-0.25981293
CDKAL1,1365.0,0.417875209,167.0,0.872967,0.448901879
CDKN2AIPNL,3639.0,0.409801696,53.0,-0.401263,0.060875312
CDKN2C,2247.0,0.381912025,1216.0,0.146401,0.224907949
CENPH,1478.0,0.418392258,87.0,-0.238973,0.278081804
CENPV,301.0,0.385948267,62.0,-5.223918,-1.166798173
CEP55,939.0,0.397841874,304.0,1.779186,-0.04882291
CETN2,868.0,0.433727498,47.0,-0.116903,-0.004686559
CFL1,677.0,0.502791,234.0,0.656628,0.160303992
CHAC2,786.0,0.395629742,277.0,1.125657,0.097022838
CHCHD4,3528.0,0.445497334,326.0,0.138601,-0.121448828
CHMP4A,296.0,0.447100154,262.0,0.775993,0.630680693
CHMP5,1241.0,0.442987983,200.0,-0.668386,-0.212549088
CHMP6,980.0,0.489861105,78.0,0.885553,1.485949339
CHTF8,2425.0,0.424551152,142.0,0.458766,0.212668934
CIAPIN1,1024.0,0.451663323,242.0,0.49513,0.227357803
CISD2,5376.0,0.433298698,107.0,0.63965,-0.09082538
CKAP4,2872.0,0.386259817,84.0,1.210679,0.248296808
CKS2,300.0,0.317949998,98.0,1.069397,0.572488111
CLCC1,5185.0,0.369704467,150.0,0.022098,-0.125000518
CLCN7,1698.0,0.459147749,110.0,0.01658,0.301911709
CLIC1,290.0,0.4571302,573.0,0.528236,0.161646137
CLK3,1233.0,0.4268607,461.0,-0.098026,0.426723363
CLPTM1,458.0,0.383990827,351.0,1.305421,-0.174772803
CLTA,288.0,0.450950874,514.0,-0.3951,-0.09857173
CLTB,319.0,0.48548545,210.0,-0.386119,0.039771132
CLTC,3104.0,0.384957863,443.0,0.921097,-0.035824667
CNBP,6850.0,0.433298698,206.0,0.270788,0.04246469
CNPY2,123.0,0.392778455,553.0,-0.315018,-0.038538663
CNPY3,1042.0,0.459231502,584.0,-0.066975,0.231379831
COG3,1967.0,0.414689223,142.0,-0.404336,-0.278886748
COMMD1,306.0,0.423842833,138.0,-0.287043,0.074171743
COMMD3,431.0,0.360487018,35.0,-0.804883,0.163012595
COMMD5,498.0,0.445713337,399.0,1.021711,0.270140413
COMMD6,1375.0,0.396967837,328.0,-0.469053,0.078294779
COMMD9,2340.0,0.418062772,89.0,-0.149571,-0.061341446
COPB1,446.0,0.381738818,307.0,-0.314382,-0.244784997
COPE,165.0,0.478760693,55.0,-0.288791,0.117989606
COQ6,671.0,0.374062527,159.0,-0.665223,-0.060497653
COQ7,5700.0,0.42379098,133.0,-1.034012,0.816240028
CORO1A,112.0,0.457388252,435.0,0.89222,1.094660437
COX17,1735.0,0.484254073,86.0,-0.710071,-0.79065663
COX5A,860.0,0.429944966,140.0,0.257874,-0.058203406
COX7A2,302.0,0.441893926,98.0,-0.962384,-0.236575427
CPM,5262.0,0.406054343,75.0,0.374001,-0.67005725
CPSF4,923.0,0.452412439,277.0,0.487731,0.311257947
CPT1A,2761.0,0.374132033,170.0,-0.098646,-0.09948393
CPT2,602.0,0.431256564,515.0,-0.097706,-0.089499396
CRCP,8457.0,0.390198146,145.0,-0.040342,0.128829102
CRKL,3904.0,0.422225684,509.0,0.128321,0.098779105
CRTAP,5601.0,0.446308827,120.0,-0.586819,-0.051694668
CRTC3,3205.0,0.355982524,186.0,0.572254,0.194581067
CRYL1,462.0,0.386242786,79.0,-0.198266,-0.039541152
CSRP1,1183.0,0.493833101,217.0,-1.107403,-1.096975956
CST3,2762.0,0.475763324,186.0,-0.775266,-0.228078816
CSTF2,1931.0,0.372934478,58.0,0.026725,0.057340594
CTBP1,800.0,0.464034004,393.0,-0.336631,-0.183421962
CTNNA1,1216.0,0.412513324,1103.0,-0.853211,-0.298435772
CTNNB1,1106.0,0.432073699,448.0,0.351688,0.170817429
CTNNBIP1,2448.0,0.394834327,307.0,-0.038954,0.275380869
CTPS2,1870.0,0.416273085,744.0,-0.648107,-0.259582777
CTSG,119.0,0.369503415,37.0,-1.491743,1.615163476
CTSH,1072.0,0.446467856,1192.0,0.87512,-0.571590468
CUEDC1,2047.0,0.374410739,719.0,-1.482039,-0.53462681
CUX1,1040.0,0.395555213,127.0,-0.171869,0.214314123
CXCL10,814.0,0.410287201,105.0,4.095446,1.223512351
CXCL9,2323.0,0.403736618,74.0,2.865508,-2.379975388
CYBB,2544.0,0.418993019,61.0,3.497947,1.806620748
CYTH4,1837.0,0.406296106,377.0,1.174162,0.44267677
DAB2,1757.0,0.368483127,531.0,0.047747,-0.291012237
DAGLB,721.0,0.377719723,170.0,0.21157,0.172643667
DAP3,768.0,0.366492687,184.0,0.245689,-0.191948718
DAPP1,2082.0,0.348655603,90.0,2.713964,0.656399755
DBI,233.0,0.467027529,479.0,-0.13727,-0.660713719
DCAF8,1877.0,0.380310979,212.0,-0.557468,-0.255339023
DCP1A,4153.0,0.411936399,381.0,-0.18203,0.026262827
DCPS,4731.0,0.375605648,329.0,0.424502,0.025794664
DCTN5,10597.0,0.443116252,177.0,0.086113,0.053133033
DDAH2,653.0,0.361046801,1104.0,-1.147711,0.02035731
DDB2,1223.0,0.43604051,195.0,-1.101458,-0.341921495
DDX23,713.0,0.445931172,91.0,-0.709354,-0.168854212
DDX31,1870.0,0.361830896,544.0,-0.499841,0.088052995
DDX47,438.0,0.379294484,22.0,0.418734,0.418563614
DDX54,1704.0,0.467316231,28.0,-0.083808,0.893590647
DDX56,586.0,0.438032149,643.0,-0.045513,0.079948073
DDX59,217.0,0.413095257,243.0,-0.405891,-0.449421184
DHODH,3463.0,0.371608285,21.0,1.122593,0.961885598
DHPS,121.0,0.474111752,121.0,-0.507296,-0.178878412
DHX15,459.0,0.379133957,168.0,-0.095629,0.092723034
DHX34,591.0,0.384465978,349.0,-0.694775,1.411009517
DHX58,357.0,0.440330409,223.0,-0.559392,-0.148129301
DIABLO,719.0,0.425893605,1182.0,-0.066211,-0.032150761
DMAP1,63.0,0.471306,301.0,-0.174036,0.085140374
DMXL2,1274.0,0.389901613,225.0,1.538364,0.58609501
DNAJA4,1736.0,0.398301408,169.0,-0.101915,-0.116388634
DNAJC19,1326.0,0.403482491,259.0,-0.273086,0.597072739
DNAJC25,1212.0,0.430964931,56.0,-0.576468,-0.489278699
DNAJC8,969.0,0.416719859,33.0,0.097573,0.16394678
DNM1,1255.0,0.393835111,116.0,-2.312611,-0.592138738
DNTTIP2,3564.0,0.408096853,58.0,0.147455,0.31009559
DOCK11,3681.0,0.373818855,63.0,1.042136,0.501230155
DOCK2,524.0,0.446250827,52.0,2.074006,0.5683037
DOK2,438.0,0.384043737,481.0,1.641582,0.237070922
DPCD,197.0,0.459155016,389.0,0.422095,0.184111238
DPF2,2501.0,0.393394442,133.0,-0.167059,-0.214841688
DPH1,1310.0,0.448716064,341.0,-0.773573,0.130303609
DPH5,784.0,0.413363166,165.0,-0.012782,0.168704093
DPY30,562.0,0.438431353,279.0,-0.156426,-0.254543796
DPYSL2,2472.0,0.430530829,431.0,0.803091,0.061011418
DRAP1,142.0,0.432809908,245.0,-0.101132,-0.787710807
DRG1,4594.0,0.444150091,131.0,0.174045,0.179517572
DSN1,5330.0,0.392894937,373.0,0.12973,-0.163860025
DSTN,2786.0,0.375776803,438.0,-1.093542,-0.809012978
DTL,2265.0,0.372315747,921.0,0.931181,0.515377638
DTX3L,3456.0,0.408848169,89.0,-0.506169,-0.462735674
DUSP12,374.0,0.419884133,34.0,0.630386,0.441382766
DUT,1937.0,0.36471409,109.0,-0.307476,-0.296936499
DYNLT1,514.0,0.420362019,78.0,-0.02443,0.48067024
EBAG9,1437.0,0.39438748,402.0,0.066584,-0.065965583
ECH1,191.0,0.389477111,85.0,-0.984764,-0.281196573
ECHDC2,2269.0,0.400166641,752.0,-1.103301,-0.014311713
ECM1,322.0,0.43792189,199.0,-0.822733,-0.034352469
EDEM2,76.0,0.379021051,100.0,0.331163,0.446676287
EEA1,5374.0,0.405861636,265.0,-0.079793,-0.159875777
EEF1A2,286.0,0.417272363,329.0,-3.521525,-1.199038458
EFTUD2,1331.0,0.444646836,398.0,0.89288,0.177558461
EHD1,3363.0,0.446314898,447.0,0.272707,0.594857359
EIF2AK2,8063.0,0.394727306,557.0,0.466065,-0.369359573
EIF2B3,1058.0,0.383118637,239.0,0.070335,0.059423526
EIF3F,5840.0,0.435728237,33.0,-0.464047,0.079105256
EIF3L,1718.0,0.380710116,245.0,0.108839,-0.040638962
EIF4A3,1120.0,0.381528282,222.0,1.140776,0.362898819
ELAVL1,4910.0,0.437605432,167.0,0.778639,0.18350171
EMG1,248.0,0.433768095,143.0,1.026814,0.46178363
EMILIN2,2605.0,0.379592019,159.0,2.194107,0.633885575
ENDOD1,7728.0,0.376426787,118.0,-0.545041,-0.38705329
ENOSF1,2904.0,0.382279782,622.0,-0.086008,0.108020792
ENY2,2576.0,0.41756619,146.0,0.878264,-0.054156177
EPSTI1,2106.0,0.391777705,469.0,0.674023,-0.381027451
ERCC1,2342.0,0.45058755,188.0,-0.79224,-0.04543624
ERCC6L,4809.0,0.354829683,623.0,0.76268,0.14322582
ERH,415.0,0.383837906,71.0,0.013768,0.182175581
ERLIN1,2041.0,0.444737514,478.0,0.224613,0.657054706
ERP29,1277.0,0.401191178,118.0,-0.165274,0.452855533
ETV6,4356.0,0.398240844,274.0,1.780429,0.495719894
EXOC4,1232.0,0.388187525,35.0,0.176236,-0.321021623
EXOC8,6907.0,0.436106501,127.0,-0.038405,-0.339649418
EXOSC1,536.0,0.430105347,451.0,-0.379067,0.111464291
EXOSC2,3902.0,0.431273517,32.0,-0.48177,0.129778459
F8A1,571.0,0.46317284,15.0,1.227666,0.226492458
FAAH,2043.0,0.384592892,82.0,-2.567204,-0.853897317
FAF1,4425.0,0.401181969,453.0,0.623798,0.113621956
FAM122A,4542.0,0.40477622,33.0,0.425997,0.305857057
FAM168A,6285.0,0.395008865,285.0,0.10528,-0.314158212
FAM177A1,2165.0,0.411149627,459.0,0.018409,-0.084099556
FAM192A,1824.0,0.379195199,1475.0,0.019863,-0.09227748
FAM20B,4428.0,0.4357945,293.0,-0.61444,-0.321009079
FAM32A,1091.0,0.408676074,42.0,-0.248359,0.154137936
FAM50A,286.0,0.482889735,110.0,0.492891,0.543102561
FBP1,248.0,0.397353747,331.0,0.092538,-0.544795895
FBXL20,9338.0,0.383104745,254.0,-0.57667,-0.452199046
FBXO4,526.0,0.393825218,58.0,-0.683243,-0.225988056
FBXO6,503.0,0.42307306,166.0,0.510998,-0.201605115
FCER1G,305.0,0.4202976,25.0,1.866399,0.621091402
FCGRT,309.0,0.433069976,486.0,-0.722988,-0.111645554
FDPS,72.0,0.456397562,392.0,-0.061243,-0.108784051
FDXR,596.0,0.384661194,188.0,-1.506261,-0.479236896
FEN1,1340.0,0.407867196,413.0,0.741968,0.604648684
FERMT3,399.0,0.435119014,149.0,1.915332,0.925701953
FGD2,907.0,0.441856308,171.0,0.224972,-0.095097206
FGFR1OP2,1663.0,0.396595515,353.0,0.216467,0.230408833
FGL2,3460.0,0.40966218,40.0,1.055376,0.393490737
FKBP1A,1132.0,0.428443098,174.0,0.923703,0.233231984
FKBPL,24.0,0.377510344,270.0,-0.055204,0.306229806
FLOT1,422.0,0.472159534,339.0,-0.726136,0.597872245
FN3K,442.0,0.389857108,61.0,-0.008888,-0.088516638
FN3KRP,3667.0,0.380720834,50.0,0.002421,-0.184713614
FOXJ3,3176.0,0.401878681,312.0,0.475056,-0.180165565
FOXK2,3108.0,0.440496276,171.0,1.209734,0.060711245
FOXRED1,443.0,0.438630908,167.0,-0.233443,-0.266326059
FSCN1,1184.0,0.396100853,132.0,1.980027,0.764249608
FTH1,530.0,0.425357612,235.0,1.141511,0.02984113
FTL,1031.0,0.428438948,199.0,0.65114,-0.463257993
FTSJ1,638.0,0.457521275,569.0,0.264231,-0.073343096
FTSJ3,698.0,0.388239396,646.0,0.211664,0.648804213
FXN,6365.0,0.40465004,220.0,0.877192,0.518179383
GABARAPL2,564.0,0.431291441,136.0,-0.522654,-0.222631425
GABPB1,1320.0,0.423118524,469.0,-0.074282,-0.387830048
GALK1,292.0,0.455574511,63.0,0.427907,0.051876563
GANAB,989.0,0.425909644,1027.0,0.348678,0.350912431
GAS6,315.0,0.393865445,183.0,-2.707927,-0.255304572
GAS7,6619.0,0.423630168,311.0,0.298483,0.085550287
GBE1,708.0,0.404013874,283.0,0.324848,0.186796577
GBP1,1735.0,0.42614962,220.0,1.124996,0.190408598
GBP2,5058.0,0.440134196,314.0,0.360277,0.08647015
GBP4,4106.0,0.42983554,116.0,1.84363,0.488151144
GBP5,1753.0,0.421901204,537.0,2.594461,-0.062320202
GFOD2,622.0,0.396604754,295.0,1.416655,0.431888178
GGA2,5408.0,0.377812588,83.0,0.955694,0.060862668
GGCX,5211.0,0.417836117,106.0,-0.03516,-0.000427943
GIGYF1,2212.0,0.443456438,1210.0,-1.563675,-0.123392699
GINS3,1415.0,0.387351931,208.0,1.075229,0.38952547
GLA,1699.0,0.378726947,110.0,0.053903,-0.452415635
GLE1,1357.0,0.383457083,114.0,-0.514651,0.154052011
GLRX,1188.0,0.430296645,211.0,0.645831,0.489970532
GLRX3,3557.0,0.41418463,539.0,0.783724,0.191949674
GLUD1,1558.0,0.392454008,1132.0,-0.948143,-0.30956712
GLYR1,2033.0,0.39940414,57.0,-0.076181,0.038791323
GMEB1,4582.0,0.43446142,142.0,0.407019,0.132300905
GMPPA,198.0,0.434966364,375.0,-0.143975,-0.359691382
GMPR,3984.0,0.435743929,114.0,1.697679,0.692654742
GMPR2,464.0,0.453637396,704.0,0.515561,0.14527976
GNAI1,1947.0,0.435804474,356.0,1.13967,0.728383698
GNG7,3803.0,0.398730372,237.0,-3.466079,-0.522998072
GNPDA1,1360.0,0.395964134,67.0,0.004492,0.097843154
GOLGA2,1243.0,0.401070546,13.0,-1.26601,-0.362748195
GON4L,926.0,0.418089888,175.0,0.219699,-0.261191986
GOSR1,5968.0,0.408103421,237.0,-0.427331,-0.132870624
GOSR2,3258.0,0.374298057,541.0,0.0895,0.022969343
GOT2,1054.0,0.444803236,129.0,-0.082961,-0.511917709
GPS2,97.0,0.431122181,76.0,-0.769071,-0.217025093
GPX7,626.0,0.395840774,39.0,1.204963,0.485721135
GRAMD1A,299.0,0.411657297,748.0,0.819208,0.327594447
GRB2,2292.0,0.4413596,358.0,0.243786,0.236557951
GSTM4,2467.0,0.390909061,314.0,-1.115613,-0.585571502
GTF2A2,1070.0,0.420716795,404.0,0.551099,-0.293462835
GTF2E2,604.0,0.365750105,273.0,0.671642,0.144163334
GTF3C2,932.0,0.372227001,397.0,0.320306,-0.173588884
GTPBP1,2894.0,0.424954603,154.0,0.140277,-0.083735832
GTPBP3,1032.0,0.436547413,95.0,0.328112,0.280517962
GTSE1,680.0,0.368527868,212.0,1.63206,0.093896679
HADH,818.0,0.383558671,219.0,-0.495667,-0.174312138
HADHA,615.0,0.383558671,130.0,-0.093552,-0.079125477
HAUS5,3319.0,0.378752573,51.0,-0.32382,0.35477542
HAUS8,346.0,0.37535995,111.0,0.735978,-0.088616912
HCCS,1274.0,0.398607648,275.0,0.543513,-0.067616422
HCK,337.0,0.440224323,364.0,3.557832,1.582965111
HDAC1,591.0,0.390040122,63.0,0.426796,-0.317689372
HDDC3,763.0,0.387287166,29.0,-0.168428,-0.449750659
HDGF,1342.0,0.465394593,322.0,1.690616,0.552559056
HDLBP,2343.0,0.397687311,375.0,-0.344928,-0.270199252
HEATR3,1385.0,0.384091545,883.0,0.954027,0.067239066
HEBP2,9119.0,0.359416339,297.0,0.158663,-0.068562636
HECA,3704.0,0.443714129,285.0,0.271397,0.101603681
HECTD3,3914.0,0.446742268,98.0,-0.53861,-0.26021002
HERC2,726.0,0.429958504,109.0,-0.332771,0.22864255
HERC5,379.0,0.393838904,153.0,0.545596,-0.182887611
HERC6,651.0,0.398146132,183.0,-0.554718,-0.271639161
HIP1,4874.0,0.430847644,52.0,0.000975,0.064520286
HLA-A,4150.0,0.424443523,84.0,1.448175,1.281054646
HLA-C,420.0,0.421684519,65.0,0.239011,0.843373982
HLA-DRA,409.0,0.420807891,109.0,2.071733,0.593450722
HLA-E,1459.0,0.413523771,126.0,0.192149,0.241538978
HLA-F,121.0,0.407256461,124.0,1.117654,-0.200311521
HMBOX1,3560.0,0.369177113,482.0,0.331871,-1.036135368
HMBS,266.0,0.451934812,299.0,0.227418,-0.102704632
HMGB2,3775.0,0.450826504,193.0,0.44913,0.142324651
HMGCS1,3661.0,0.374424323,345.0,-0.631015,-0.524976796
HMOX1,616.0,0.436401717,107.0,1.175015,0.068638451
HNRNPA0,7504.0,0.386421138,284.0,-0.42303,-0.375501277
HNRNPD,1688.0,0.420386111,318.0,0.6204,0.101614348
HNRNPL,1102.0,0.449817015,176.0,0.140699,0.159039673
HNRNPU,4156.0,0.432126199,218.0,0.360272,0.22428864
HNRNPUL1,2135.0,0.394022965,339.0,0.524176,-0.038578159
HNRNPUL2,2674.0,0.436897081,229.0,-0.13448,-0.08487562
HSBP1,3274.0,0.4454546,174.0,-0.409529,-0.183664534
HSD11B1,4482.0,0.426649415,154.0,1.95022,0.342538921
HSD17B7,398.0,0.431983247,99.0,-0.758932,-0.154112792
HSP90AB1,313.0,0.39509298,251.0,0.675633,0.321051607
HSPA1L,428.0,0.464100714,183.0,-0.723305,-0.151344692
HSPA4L,7877.0,0.413794867,342.0,2.430102,1.049313432
HSPB11,107.0,0.34538245,284.0,-0.40107,0.048579398
HTRA2,571.0,0.421976635,602.0,-0.414301,-0.000799858
HTT,3901.0,0.373695076,145.0,-0.357504,-0.178635676
HUS1,2068.0,0.374612864,131.0,-0.654721,-0.24882359
HYI,310.0,0.378597605,196.0,-0.613739,-0.38051904
HYOU1,1409.0,0.403839016,234.0,1.342406,0.566606764
ICAM1,1537.0,0.426062071,319.0,3.574505,1.448015758
IFI16,254.0,0.415211655,290.0,1.415536,0.596667323
IFI30,213.0,0.431523306,62.0,1.860482,0.779661062
IFI35,160.0,0.418462024,223.0,-0.847141,0.126283978
IFI44,267.0,0.403888008,124.0,0.132606,-1.447772419
IFI44L,5058.0,0.403608012,200.0,-0.614411,-1.606237585
IFIH1,121.0,0.412344512,377.0,1.374143,0.071967396
IFIT1,2775.0,0.411248073,495.0,-2.413289,-1.202226277
IFIT2,1901.0,0.420797646,175.0,-0.787459,-1.214108734
IFIT3,843.0,0.417440574,529.0,-0.587333,-1.273215606
IFIT5,2354.0,0.414819429,231.0,-0.628739,-0.53766604
IFT27,109.0,0.4030938,426.0,0.327603,0.100934219
IGFBP3,1605.0,0.43060006,132.0,-0.304704,-0.355016008
IGFBP7,558.0,0.392734536,34.0,-0.173782,0.353053839
IKBKE,745.0,0.435100597,714.0,2.405173,1.456198559
IL16,3965.0,0.367979445,2395.0,-0.293752,0.271081407
IL1RN,1145.0,0.411881061,408.0,2.404421,0.565316798
IL4I1,16.0,0.4139018,621.0,3.561264,0.943427209
ILF2,656.0,0.426220446,239.0,0.7811,-0.132308793
IMPA2,2898.0,0.383680893,242.0,0.033191,0.106288224
