,3prime,tAI,max_5_UTR_length,TCGA-AO-A0JL,TCGA-AO-A0JL.1
AK1,1528.0,0.389481519,153.0,0.870447,0.260781674
AK2,2893.0,0.384271636,345.0,-0.211712,-0.314032678
AKR1C2,3804.0,0.449591167,413.0,1.545229,0.357092499
AKR7A2,10996.0,0.385600504,22.0,-0.910514,-0.404288006
ALDH18A1,838.0,0.380333742,511.0,-0.725701,-0.166220782
ALDH3A2,2525.0,0.42484639,221.0,-0.960644,-0.431898231
ALDH6A1,4647.0,0.38708374,724.0,-2.86193,-0.5731649
ALG1,2498.0,0.432230555,181.0,-1.00282,7.1e-05
ALG5,380.0,0.362014155,67.0,-0.122912,-0.25010395
ALG9,4217.0,0.365461171,1107.0,0.421836,-0.042755606
ALOX5AP,976.0,0.392577632,248.0,-2.108229,-1.005538361
AMBRA1,1041.0,0.36170155,362.0,-1.104597,-0.034247016
AMPD2,903.0,0.389224108,566.0,0.778458,0.266541172
AMPD3,1695.0,0.423686063,472.0,-1.418672,0.145116161
ANAPC13,1361.0,0.393644021,731.0,-0.272824,0.108134955
ANAPC5,235.0,0.390209877,197.0,-0.531021,-0.284911483
ANKLE2,1737.0,0.418251419,90.0,-0.64724,-0.248101607
ANKRD16,135.0,0.465649334,543.0,0.789767,0.219856307
ANKRD35,249.0,0.402949835,108.0,3.72712,1.107705523
ANXA2,496.0,0.429738522,160.0,-0.935278,-0.359859635
ANXA5,1441.0,0.418050335,165.0,0.688191,0.193649622
AP1B1,1153.0,0.424070668,187.0,-0.561851,-0.040084029
AP1M1,914.0,0.463388599,173.0,0.191659,-0.41721314
APBA1,3797.0,0.387421148,276.0,2.002004,-0.52087238
APIP,427.0,0.433104693,127.0,-0.946205,-0.105550064
APOBEC3B,339.0,0.43450554,55.0,1.247454,-0.724904595
APOBEC3C,1979.0,0.381716897,103.0,-2.10481,-0.237887784
APOBEC3G,322.0,0.410940579,404.0,-1.735162,-0.269690766
APOL2,1195.0,0.42932248,477.0,-0.042818,-0.268058808
ARF6,2971.0,0.462806813,621.0,-0.418516,-0.88847958
ARFIP2,2430.0,0.403729309,291.0,-1.469499,-0.623591802
ARHGAP17,2624.0,0.371011524,117.0,0.017682,0.395545246
ARHGAP30,773.0,0.384451823,645.0,-0.885686,-0.059648353
ARHGEF10,1378.0,0.370244255,202.0,0.755169,0.151464377
ARID2,3145.0,0.362288628,128.0,-0.717655,-0.176026287
ARID3A,3881.0,0.411693449,290.0,0.561507,0.914679859
ARIH2,3112.0,0.397061561,878.0,-0.29645,0.101155052
ARL8A,1065.0,0.409602486,171.0,1.30094,0.372786856
ARRB1,6041.0,0.39512759,224.0,-1.865699,-0.324434274
ASS1,1357.0,0.394201053,356.0,0.288734,-0.287379345
ATPAF1,3039.0,0.439253133,510.0,-0.372405,-0.355520593
ATRIP,162.0,0.417082642,462.0,-0.470949,-0.209432077
AXL,1863.0,0.417061167,376.0,-1.731935,0.376246361
B4GALT7,4483.0,0.433879574,93.0,0.420221,-0.165240225
BAG1,2764.0,0.431693656,501.0,-0.540691,-0.327949304
BAG3,537.0,0.387438444,306.0,-0.665211,-0.202125092
BASP1,971.0,0.520859146,259.0,-0.152551,-0.239591224
BBS7,1531.0,0.408023089,184.0,0.188279,0.005508646
BCAT2,364.0,0.445598481,657.0,-0.403646,-0.47340617
BCKDHB,3082.0,0.419736544,88.0,-0.56015,-0.143793923
BCL2,5279.0,0.374049285,493.0,-2.288812,-0.256465056
BCL2L13,4109.0,0.411790332,769.0,0.04005,-0.036719887
BID,4193.0,0.428633517,498.0,0.576321,0.443881506
BLVRA,3376.0,0.414260839,177.0,-0.289622,-0.560913676
BOLA2,40.0,0.43059393,513.0,1.458044,-0.386126352
BOLA3,383.0,0.406657227,38.0,0.924947,0.854425768
BRD2,787.0,0.377809737,2066.0,-0.754893,-0.096577502
BRD3,3285.0,0.401150236,188.0,-0.173957,-0.050728585
BSPRY,1091.0,0.380011644,48.0,-0.487599,-0.756793925
BST2,411.0,0.444557266,81.0,-3.039987,-1.082044409
BUB3,1535.0,0.421992618,242.0,-0.602603,0.12372726
C1QB,152.0,0.436596666,340.0,-1.100608,0.219988735
C1QC,327.0,0.41150294,283.0,-0.836837,0.184533417
C2CD3,671.0,0.360398895,227.0,-1.122257,-0.439693772
C3,5088.0,0.430632158,93.0,-3.348716,0.640789027
CAP1,1134.0,0.406948565,416.0,-1.144377,0.00200607
CAPN1,720.0,0.455130071,197.0,-1.152069,-0.53913539
CAPRIN1,5632.0,0.374918508,189.0,-0.878565,-0.227037606
CAPZB,5180.0,0.446052528,622.0,0.184535,-0.03681973
CARD16,437.0,0.41300235,27.0,0.123516,0.779917549
CARHSP1,4898.0,0.362100245,360.0,0.787918,0.092134897
CASC3,1778.0,0.370720542,295.0,1.095361,0.040359354
CASP1,750.0,0.424742838,44.0,-0.73567,0.097813678
CASP8,1794.0,0.376118708,303.0,-0.199896,-0.129374103
CAT,629.0,0.397270122,89.0,-1.266389,0.374704806
CBL,8368.0,0.375957197,142.0,-0.495045,-0.205977168
CBLL1,3286.0,0.400851504,467.0,-0.321324,-0.254303464
CBR3,54.0,0.445176236,228.0,-0.321499,-0.639754037
CBS,4385.0,0.477784031,626.0,2.639604,0.495622095
CBX5,10815.0,0.390902295,318.0,-0.933128,-0.491154278
CBX8,2504.0,0.36735217,118.0,-0.042833,-0.099285536
CCDC115,2169.0,0.385110507,452.0,0.668315,0.224941692
CCDC58,2462.0,0.421830022,75.0,1.09785,-0.251872774
CCDC88C,1302.0,0.396031427,154.0,-1.017,-0.27396864
CCL5,886.0,0.462166288,68.0,0.226138,0.155117353
CCNA2,1206.0,0.409154498,373.0,1.630567,-0.233695598
CCNDBP1,2336.0,0.44393643,231.0,-1.236526,-0.129931936
CCS,4244.0,0.460896681,43.0,0.808062,0.068788619
CCT3,238.0,0.457984718,231.0,0.360148,-0.187594345
CCT4,1361.0,0.393363555,164.0,-1.146478,-0.040769096
CD14,128.0,0.416321757,392.0,0.598259,0.199524567
CD209,3046.0,0.440000747,67.0,0.159088,0.436084812
CD36,2894.0,0.410517795,414.0,-0.52977,0.06951031
CD40,982.0,0.429065654,90.0,0.083603,0.144762345
CD44,3115.0,0.39995987,434.0,-1.500817,-0.720234227
CD63,923.0,0.512738356,403.0,0.889772,-0.222213441
CD74,635.0,0.427357309,187.0,-1.011137,-0.026750546
CDC25C,437.0,0.364786128,387.0,0.72714,0.343111265
CDC26,271.0,0.395637029,359.0,-2.458898,-0.276026423
CDC34,560.0,0.46431386,199.0,1.883454,0.039116115
CDC42EP3,3941.0,0.420378821,1009.0,-0.135315,0.311378851
CDCA8,1353.0,0.384295288,290.0,0.911123,0.471966957
CDK1,2313.0,0.398329505,154.0,1.063401,0.485998479
CDK2AP1,766.0,0.439144625,522.0,3.046201,0.676098593
CDK5RAP2,367.0,0.371069462,192.0,-0.838895,-0.165041411
CDK5RAP3,284.0,0.469750898,1791.0,0.237887,0.241132321
CDKAL1,1365.0,0.417875209,167.0,0.384385,-0.49350998
CDKN2AIPNL,3639.0,0.409801696,53.0,-0.150982,0.016591935
CDKN2C,2247.0,0.381912025,1216.0,0.744949,0.726927221
CEBPD,1714.0,0.430497143,44.0,2.952945,0.371407413
CENPV,301.0,0.385948267,62.0,2.078685,0.921279073
CEP55,939.0,0.397841874,304.0,0.962268,0.211173634
CES3,2100.0,0.377378956,446.0,3.37901,-0.261521927
CETN2,868.0,0.433727498,47.0,0.340172,-0.241988321
CFL1,677.0,0.502791,234.0,0.191316,-0.106085225
CHAC2,786.0,0.395629742,277.0,0.330744,0.033624355
CHCHD4,3528.0,0.445497334,326.0,-0.137167,-0.187552732
CHMP4A,296.0,0.447100154,262.0,-2.344513,-0.13564033
CHMP5,1241.0,0.442987983,200.0,-0.394661,0.611222153
CHMP6,980.0,0.489861105,78.0,0.07858,-0.60399151
CHTF8,2425.0,0.424551152,142.0,-0.974739,0.229536744
CIAPIN1,1024.0,0.451663323,242.0,-0.117554,0.246076859
CISD2,5376.0,0.433298698,107.0,0.448305,-0.115084587
CKAP4,2872.0,0.386259817,84.0,0.02068,0.429945793
CKS2,300.0,0.317949998,98.0,1.635688,0.762513195
CLCC1,5185.0,0.369704467,150.0,0.101153,-0.308295386
CLCN7,1698.0,0.459147749,110.0,0.709311,-1.036614073
CLIC1,290.0,0.4571302,573.0,0.018653,0.117918191
CLK2,350.0,0.410673686,925.0,0.96495,-0.042217564
CLK3,1233.0,0.4268607,461.0,0.062563,-0.231822568
CLPTM1,458.0,0.383990827,351.0,-0.378662,-0.729166934
CLTA,288.0,0.450950874,514.0,0.601745,0.604305732
CLTB,319.0,0.48548545,210.0,1.016134,0.239179711
CLTC,3104.0,0.384957863,443.0,-1.152697,-0.377014334
CNBP,6850.0,0.433298698,206.0,-0.390026,-0.049088424
CNPY2,123.0,0.392778455,553.0,1.368682,0.180803249
CNPY3,1042.0,0.459231502,584.0,0.977429,0.071165474
COG3,1967.0,0.414689223,142.0,-0.502169,-0.579682506
COMMD1,306.0,0.423842833,138.0,1.676707,0.242179134
COMMD3,431.0,0.360487018,35.0,0.435829,0.361575783
COMMD5,498.0,0.445713337,399.0,1.302424,0.118053401
COMMD6,1375.0,0.396967837,328.0,-0.17346,0.267023448
COMMD9,2340.0,0.418062772,89.0,0.646099,0.069351883
COPB1,446.0,0.381738818,307.0,-0.865825,-0.288421926
COPE,165.0,0.478760693,55.0,0.690435,-0.066113126
COQ6,671.0,0.374062527,159.0,-0.664143,-0.103719056
COQ7,5700.0,0.42379098,133.0,-0.456244,0.461605521
CORO1A,112.0,0.457388252,435.0,0.298673,0.438919418
COX17,1735.0,0.484254073,86.0,1.75306,-0.408858265
COX5A,860.0,0.429944966,140.0,0.084486,-0.342393949
COX7A2,302.0,0.441893926,98.0,0.276243,0.792536576
CPM,5262.0,0.406054343,75.0,0.180976,-0.692780704
CPSF4,923.0,0.452412439,277.0,-0.066623,-0.099467971
CPT1A,2761.0,0.374132033,170.0,-1.948269,-0.822056234
CPT2,602.0,0.431256564,515.0,-1.632292,-0.405771261
CRCP,8457.0,0.390198146,145.0,0.023833,-0.432872377
CRKL,3904.0,0.422225684,509.0,-0.404266,-0.338655235
CRTAP,5601.0,0.446308827,120.0,0.1031,0.642029128
CRTC3,3205.0,0.355982524,186.0,-0.722246,0.023062658
CRY2,2337.0,0.383442872,132.0,-1.993588,-0.003267389
CRYL1,462.0,0.386242786,79.0,-0.909617,0.281231688
CSRP1,1183.0,0.493833101,217.0,1.041922,0.407693964
CST3,2762.0,0.475763324,186.0,-1.366047,-0.035911671
CSTF2,1931.0,0.372934478,58.0,-0.590156,-0.211941284
CTBP1,800.0,0.464034004,393.0,0.940357,0.015028379
CTNNA1,1216.0,0.412513324,1103.0,-0.537918,-0.035268702
CTNNB1,1106.0,0.432073699,448.0,-1.293177,0.283222234
CTNNBIP1,2448.0,0.394834327,307.0,0.676998,-0.010982409
CTPS2,1870.0,0.416273085,744.0,-0.139634,-0.29977866
CTSG,119.0,0.369503415,37.0,-2.982146,-0.190936943
CTSH,1072.0,0.446467856,1192.0,-0.685504,0.440429924
CUEDC1,2047.0,0.374410739,719.0,-2.196744,-0.722821209
CUX1,1040.0,0.395555213,127.0,-1.126571,-0.029653335
CXCL10,814.0,0.410287201,105.0,-0.593348,-1.121719949
CXCL9,2323.0,0.403736618,74.0,0.092584,-0.190910344
CYBB,2544.0,0.418993019,61.0,-1.962051,-0.171795816
CYTH4,1837.0,0.406296106,377.0,-1.183216,0.2890888
DAB2,1757.0,0.368483127,531.0,-0.49338,0.205201692
DAGLB,721.0,0.377719723,170.0,-0.645063,-0.802264354
DAP3,768.0,0.366492687,184.0,0.28613,0.307383265
DAPP1,2082.0,0.348655603,90.0,-2.685778,-0.184072609
DBI,233.0,0.467027529,479.0,2.225994,0.459292717
DCAF8,1877.0,0.380310979,212.0,0.367924,-0.082536643
DCP1A,4153.0,0.411936399,381.0,-0.065322,0.20393679
DCPS,4731.0,0.375605648,329.0,0.446236,0.088376633
DCTN5,10597.0,0.443116252,177.0,-0.31916,0.179997876
DDAH2,653.0,0.361046801,1104.0,0.651104,0.116222922
DDB2,1223.0,0.43604051,195.0,-2.105068,-0.081207385
DDX23,713.0,0.445931172,91.0,-1.658199,-0.24790021
DDX31,1870.0,0.361830896,544.0,-0.268578,-0.393025348
DDX47,438.0,0.379294484,22.0,-0.765833,-0.061051737
DDX54,1704.0,0.467316231,28.0,-0.272029,0.164034555
DDX56,586.0,0.438032149,643.0,0.442732,-0.154657044
DDX59,217.0,0.413095257,243.0,0.188218,0.344802116
DHODH,3463.0,0.371608285,21.0,1.25553,0.560157196
DHPS,121.0,0.474111752,121.0,0.419359,0.07229034
DHX15,459.0,0.379133957,168.0,-1.201345,-0.301581985
DHX34,591.0,0.384465978,349.0,0.681763,0.224787188
DHX58,357.0,0.440330409,223.0,-1.800436,-0.446158342
DIABLO,719.0,0.425893605,1182.0,-0.379767,-0.149960402
DMAP1,63.0,0.471306,301.0,0.287174,0.05118957
DMXL2,1274.0,0.389901613,225.0,0.176212,-0.027365597
DNAJA4,1736.0,0.398301408,169.0,-0.231915,-0.682689617
DNAJC19,1326.0,0.403482491,259.0,0.600763,0.529187284
DNAJC25,1212.0,0.430964931,56.0,0.293702,0.258755134
DNAJC8,969.0,0.416719859,33.0,-0.181666,0.151584359
DNM1,1255.0,0.393835111,116.0,-0.983587,0.102123122
DNTTIP2,3564.0,0.408096853,58.0,-0.181182,-0.082676291
DOCK11,3681.0,0.373818855,63.0,-2.539477,0.25277476
DOCK2,524.0,0.446250827,52.0,-2.202507,0.216782883
DOK2,438.0,0.384043737,481.0,-0.790268,0.405706569
DPCD,197.0,0.459155016,389.0,0.483155,-0.360434451
DPF2,2501.0,0.393394442,133.0,-0.60938,-0.15209082
DPH1,1310.0,0.448716064,341.0,0.369929,-0.607928128
DPH5,784.0,0.413363166,165.0,0.222704,0.231696296
DPY30,562.0,0.438431353,279.0,0.693259,0.213114419
DPYSL2,2472.0,0.430530829,431.0,0.328175,0.358342037
DRAP1,142.0,0.432809908,245.0,0.844278,-0.299836791
DRG1,4594.0,0.444150091,131.0,-0.125287,0.142344679
DSN1,5330.0,0.392894937,373.0,0.399103,-0.069007964
DSTN,2786.0,0.375776803,438.0,-0.341392,-0.134643837
DTL,2265.0,0.372315747,921.0,0.482288,0.246980171
DTX3L,3456.0,0.408848169,89.0,-1.760284,-0.550092803
DUSP12,374.0,0.419884133,34.0,0.548247,0.367398678
DUT,1937.0,0.36471409,109.0,0.098314,-0.197827051
DYNLT1,514.0,0.420362019,78.0,0.452655,0.102278235
EBAG9,1437.0,0.39438748,402.0,0.33187,-0.227491558
ECH1,191.0,0.389477111,85.0,0.143629,-0.372120072
ECHDC2,2269.0,0.400166641,752.0,0.901891,-0.170575327
ECM1,322.0,0.43792189,199.0,-1.052059,-0.143114392
EDEM2,76.0,0.379021051,100.0,0.231912,0.392248505
EEA1,5374.0,0.405861636,265.0,-0.49939,0.040704813
EEF1A2,286.0,0.417272363,329.0,-4.116813,-1.913009804
EFTUD2,1331.0,0.444646836,398.0,-0.834303,-0.244113618
EHD1,3363.0,0.446314898,447.0,0.190008,0.002592595
EIF2AK2,8063.0,0.394727306,557.0,-0.707342,-0.490592617
EIF2B3,1058.0,0.383118637,239.0,-0.333337,-0.182186308
EIF3F,5840.0,0.435728237,33.0,-0.031005,-0.043830901
EIF3L,1718.0,0.380710116,245.0,-0.323547,-0.112273547
EIF4A3,1120.0,0.381528282,222.0,-1.254748,-0.227818474
ELAVL1,4910.0,0.437605432,167.0,0.548293,0.128697871
EMG1,248.0,0.433768095,143.0,0.495032,-0.204168631
EMILIN2,2605.0,0.379592019,159.0,-0.125025,0.626843693
ENDOD1,7728.0,0.376426787,118.0,-0.864582,-0.471146476
ENOSF1,2904.0,0.382279782,622.0,1.397137,-0.646867374
ENY2,2576.0,0.41756619,146.0,2.419101,0.142755957
ERCC1,2342.0,0.45058755,188.0,0.087758,0.884421249
ERCC6L,4809.0,0.354829683,623.0,-0.08847,0.1094765
ERH,415.0,0.383837906,71.0,0.950759,-0.049445788
ERLIN1,2041.0,0.444737514,478.0,-1.218524,0.153394127
ERP29,1277.0,0.401191178,118.0,0.226314,0.342448994
ETV6,4356.0,0.398240844,274.0,0.370672,-0.343365289
EXOC4,1232.0,0.388187525,35.0,-0.866615,-0.083742891
EXOC8,6907.0,0.436106501,127.0,0.079866,-0.188121266
EXOSC1,536.0,0.430105347,451.0,0.41221,-0.032198922
EXOSC2,3902.0,0.431273517,32.0,-0.136963,-0.131505209
F8A1,571.0,0.46317284,15.0,0.782351,0.005202053
FAAH,2043.0,0.384592892,82.0,-1.248598,-1.399257481
FAF1,4425.0,0.401181969,453.0,-0.064914,-0.197828974
FAM122A,4542.0,0.40477622,33.0,-0.431252,-0.029857244
FAM168A,6285.0,0.395008865,285.0,-2.608629,0.399170876
FAM177A1,2165.0,0.411149627,459.0,-0.084845,-0.534986352
FAM192A,1824.0,0.379195199,1475.0,0.610303,-0.067295757
FAM20B,4428.0,0.4357945,293.0,0.032504,0.147399636
FAM32A,1091.0,0.408676074,42.0,0.334386,-0.781796154
FAM50A,286.0,0.482889735,110.0,1.047908,-0.161664166
FBP1,248.0,0.397353747,331.0,-2.913913,-1.203969476
FBXL20,9338.0,0.383104745,254.0,1.609083,0.133034513
FBXO4,526.0,0.393825218,58.0,-0.629795,-0.253314198
FBXO6,503.0,0.42307306,166.0,0.743378,-1.268977648
FCER1G,305.0,0.4202976,25.0,-0.114119,-0.274759565
FCGRT,309.0,0.433069976,486.0,-1.694996,-0.134031606
FCHO1,270.0,0.372951657,283.0,-1.588505,0.573936146
FDPS,72.0,0.456397562,392.0,-0.009591,-0.318843741
FDXR,596.0,0.384661194,188.0,-1.37308,-0.811363746
FEN1,1340.0,0.407867196,413.0,-0.782227,-0.015282024
FERMT3,399.0,0.435119014,149.0,-0.658741,-0.136664427
FGD2,907.0,0.441856308,171.0,-0.985593,0.242024168
FGFR1OP2,1663.0,0.396595515,353.0,0.019676,-0.029527213
FGL2,3460.0,0.40966218,40.0,-2.041206,0.388993863
FKBP1A,1132.0,0.428443098,174.0,0.67401,0.393080495
FKBPL,24.0,0.377510344,270.0,1.342855,-0.180074489
FLOT1,422.0,0.472159534,339.0,0.108003,0.079906137
FN3K,442.0,0.389857108,61.0,0.61408,-0.788011658
FN3KRP,3667.0,0.380720834,50.0,-0.717825,-0.34117299
FOXJ3,3176.0,0.401878681,312.0,-0.551399,-0.282879067
FOXK2,3108.0,0.440496276,171.0,-0.287126,-0.316991813
FOXRED1,443.0,0.438630908,167.0,0.44017,-0.297708701
FSCN1,1184.0,0.396100853,132.0,1.945893,0.657898062
FTH1,530.0,0.425357612,235.0,-0.247979,0.642077983
FTL,1031.0,0.428438948,199.0,-0.007911,1.167079312
FTSJ1,638.0,0.457521275,569.0,-0.309516,-0.220896584
FTSJ3,698.0,0.388239396,646.0,-1.126772,-0.351255587
FXN,6365.0,0.40465004,220.0,0.968155,-0.800656367
GABARAPL2,564.0,0.431291441,136.0,0.135275,0.646172668
GABPB1,1320.0,0.423118524,469.0,-0.100335,0.149427482
GALK1,292.0,0.455574511,63.0,0.813709,-0.074489045
GANAB,989.0,0.425909644,1027.0,-0.747271,-0.117014187
GAS6,315.0,0.393865445,183.0,-0.978777,0.170889602
GAS7,6619.0,0.423630168,311.0,-2.129194,-0.254756699
GBE1,708.0,0.404013874,283.0,-0.150566,-0.216535576
GBP1,1735.0,0.42614962,220.0,-0.513511,-0.245151626
GBP2,5058.0,0.440134196,314.0,-1.487315,-0.185698892
GBP4,4106.0,0.42983554,116.0,-0.978337,-0.113001795
GBP5,1753.0,0.421901204,537.0,-0.977521,-0.259481954
GCH1,2011.0,0.419329122,161.0,-0.304374,0.133461606
GFOD2,622.0,0.396604754,295.0,0.829467,-0.446808406
GGA2,5408.0,0.377812588,83.0,0.229375,0.474503802
GGCX,5211.0,0.417836117,106.0,-0.52794,-0.393708394
GIGYF1,2212.0,0.443456438,1210.0,1.452275,-0.011632806
GINS3,1415.0,0.387351931,208.0,0.945535,0.979812488
GLA,1699.0,0.378726947,110.0,0.32281,0.252860155
GLE1,1357.0,0.383457083,114.0,-0.726628,-0.08138988
GLRX,1188.0,0.430296645,211.0,-0.09691,-0.215775351
GLRX3,3557.0,0.41418463,539.0,-0.229067,0.246024608
GLUD1,1558.0,0.392454008,1132.0,-1.447213,-0.472610563
GLYR1,2033.0,0.39940414,57.0,-0.359923,0.032342263
GMEB1,4582.0,0.43446142,142.0,-0.469722,0.136207449
GMPPA,198.0,0.434966364,375.0,0.19905,-0.263015684
GMPR,3984.0,0.435743929,114.0,1.032514,-0.598270907
GMPR2,464.0,0.453637396,704.0,-1.066066,-0.241170561
GNAI1,1947.0,0.435804474,356.0,1.270224,0.380799264
GNG7,3803.0,0.398730372,237.0,3.034602,1.268337016
GNPDA1,1360.0,0.395964134,67.0,-0.045183,0.143475336
GOLGA2,1243.0,0.401070546,13.0,-0.309705,-0.258871581
GON4L,926.0,0.418089888,175.0,-0.242306,0.328378834
GOSR1,5968.0,0.408103421,237.0,0.36965,0.486698032
GOSR2,3258.0,0.374298057,541.0,-1.049353,0.712237845
GOT2,1054.0,0.444803236,129.0,0.187718,0.653903734
GPS2,97.0,0.431122181,76.0,1.099987,0.430157968
GPX7,626.0,0.395840774,39.0,1.074805,0.766180829
GRAMD1A,299.0,0.411657297,748.0,0.187129,-0.280992762
GRB2,2292.0,0.4413596,358.0,-1.305887,-0.638431644
GSTM4,2467.0,0.390909061,314.0,-1.501064,-1.08188392
GTF2A2,1070.0,0.420716795,404.0,0.391366,-0.446273979
GTF2E2,604.0,0.365750105,273.0,0.226888,0.465286
GTF3C2,932.0,0.372227001,397.0,-0.045649,-0.303977639
GTPBP1,2894.0,0.424954603,154.0,-0.84722,-0.085450392
GTPBP3,1032.0,0.436547413,95.0,0.890537,0.09509901
GTSF1,222.0,0.36097632,86.0,8.971065,1.993257015
HADH,818.0,0.383558671,219.0,0.485831,0.227114715
HADHA,615.0,0.383558671,130.0,-0.963528,0.230759409
HAUS5,3319.0,0.378752573,51.0,0.647635,-0.124025864
HAUS8,346.0,0.37535995,111.0,1.367116,0.330028012
HCCS,1274.0,0.398607648,275.0,-0.514546,-0.101307945
HCK,337.0,0.440224323,364.0,-2.062077,0.032691971
HDAC1,591.0,0.390040122,63.0,-0.094575,0.056815888
HDDC3,763.0,0.387287166,29.0,-0.200925,0.512632574
HDGF,1342.0,0.465394593,322.0,0.593813,0.030316492
HDLBP,2343.0,0.397687311,375.0,-1.058251,0.143226952
HEATR3,1385.0,0.384091545,883.0,-0.762716,-0.01791063
HEBP2,9119.0,0.359416339,297.0,1.805923,-0.35968824
HECA,3704.0,0.443714129,285.0,0.450405,0.424284816
HECTD3,3914.0,0.446742268,98.0,0.163197,-0.179039833
HERC2,726.0,0.429958504,109.0,-0.733907,-0.02771103
HERC5,379.0,0.393838904,153.0,-0.136167,0.093948263
HERC6,651.0,0.398146132,183.0,-0.904713,-0.117222125
HIP1,4874.0,0.430847644,52.0,-1.349887,0.162633077
HLA-A,4150.0,0.424443523,84.0,0.66015,0.973554897
HLA-C,420.0,0.421684519,65.0,-0.245341,0.149065692
HLA-DRA,409.0,0.420807891,109.0,-1.542562,0.39799272
HLA-E,1459.0,0.413523771,126.0,-0.655647,0.1394932
HLA-F,121.0,0.407256461,124.0,0.446351,0.516787533
HMBOX1,3560.0,0.369177113,482.0,-1.16582,0.602119711
HMBS,266.0,0.451934812,299.0,0.375089,0.316597152
HMGB2,3775.0,0.450826504,193.0,1.994934,-0.137670837
HMGCS1,3661.0,0.374424323,345.0,-0.657229,-0.409112018
HMOX1,616.0,0.436401717,107.0,1.100917,0.578092793
HNRNPA0,7504.0,0.386421138,284.0,0.44397,-0.354625901
HNRNPD,1688.0,0.420386111,318.0,0.616537,0.129725752
HNRNPL,1102.0,0.449817015,176.0,0.274216,-0.291479751
HNRNPU,4156.0,0.432126199,218.0,0.074789,-0.050499412
HNRNPUL1,2135.0,0.394022965,339.0,-0.343491,0.014830713
HNRNPUL2,2674.0,0.436897081,229.0,-0.980758,-0.257077295
HSBP1,3274.0,0.4454546,174.0,1.100321,0.071871405
HSD11B1,4482.0,0.426649415,154.0,0.792716,0.616396704
HSD17B7,398.0,0.431983247,99.0,0.123309,-0.329729419
HSP90AB1,313.0,0.39509298,251.0,-0.846068,-0.161605359
HSPA1L,428.0,0.464100714,183.0,-0.39779,-0.168739877
HSPA4L,7877.0,0.413794867,342.0,0.252125,0.83361693
HSPB11,107.0,0.34538245,284.0,0.401455,-0.038106258
HTRA2,571.0,0.421976635,602.0,-0.123973,0.165387065
HTT,3901.0,0.373695076,145.0,-1.022355,-0.167686361
HUS1,2068.0,0.374612864,131.0,-0.260429,-0.335849215
HYI,310.0,0.378597605,196.0,0.532895,0.077255484
HYOU1,1409.0,0.403839016,234.0,-0.011002,0.157402284
ICAM1,1537.0,0.426062071,319.0,-1.545338,-0.363636019
IFI16,254.0,0.415211655,290.0,-0.889097,0.325936194
IFI30,213.0,0.431523306,62.0,-0.306135,-0.397861836
IFI35,160.0,0.418462024,223.0,-1.612663,-0.385967139
IFI44,267.0,0.403888008,124.0,-0.94276,-1.244208333
IFI44L,5058.0,0.403608012,200.0,-2.81851,-0.571298838
IFIH1,121.0,0.412344512,377.0,-1.954938,-0.52439672
IFIT1,2775.0,0.411248073,495.0,-2.37489,-1.497339406
IFIT2,1901.0,0.420797646,175.0,-1.655527,-0.871230581
IFIT3,843.0,0.417440574,529.0,-1.377364,-1.226760175
IFIT5,2354.0,0.414819429,231.0,-1.204736,-0.332874884
