,3prime,tAI,max_5_UTR_length,TCGA-AO-A12B,TCGA-AO-A12B.1
APBA1,3797.0,0.387421148,276.0,0.348896,0.462876709
APIP,427.0,0.433104693,127.0,1.678547,0.742706306
APOBEC3B,339.0,0.43450554,55.0,0.140827,-0.363175493
APOBEC3C,1979.0,0.381716897,103.0,-1.680903,-0.377429526
APOBEC3G,322.0,0.410940579,404.0,-1.046261,-0.427338727
APOL2,1195.0,0.42932248,477.0,-0.555241,-0.886285213
ARF6,2971.0,0.462806813,621.0,-0.77347,-0.095802875
ARFIP2,2430.0,0.403729309,291.0,0.261957,0.452203664
ARHGAP17,2624.0,0.371011524,117.0,-0.604963,-0.055181406
ARHGAP30,773.0,0.384451823,645.0,-1.49616,-0.486555164
ARHGEF10,1378.0,0.370244255,202.0,-1.767962,-0.364243001
ARID2,3145.0,0.362288628,128.0,-0.139323,0.075135225
ARID3A,3881.0,0.411693449,290.0,-0.016986,-0.405907016
ARIH2,3112.0,0.397061561,878.0,-0.318389,0.005151987
ARL8A,1065.0,0.409602486,171.0,0.431213,0.080229884
ARRB1,6041.0,0.39512759,224.0,-0.647375,-0.002101922
ASF1B,950.0,0.395794233,172.0,0.175476,0.059927686
ASS1,1357.0,0.394201053,356.0,1.276049,0.899282344
ATPAF1,3039.0,0.439253133,510.0,1.11991,1.278735386
ATRIP,162.0,0.417082642,462.0,0.506126,0.379209853
AXL,1863.0,0.417061167,376.0,-1.436698,-0.707043781
B4GALT7,4483.0,0.433879574,93.0,0.768043,0.27887117
BAG1,2764.0,0.431693656,501.0,1.872042,1.304275335
BAG3,537.0,0.387438444,306.0,-0.718199,0.317223731
BASP1,971.0,0.520859146,259.0,1.112605,0.488365268
BBS7,1531.0,0.408023089,184.0,-1.543718,0.114410174
BCAT2,364.0,0.445598481,657.0,2.425697,1.679690249
BCKDHB,3082.0,0.419736544,88.0,0.520429,1.304640172
BCL2,5279.0,0.374049285,493.0,0.012658,-0.647531544
BCL2L13,4109.0,0.411790332,769.0,0.715886,0.857418087
BID,4193.0,0.428633517,498.0,-0.119009,0.100623186
BLVRA,3376.0,0.414260839,177.0,0.544533,0.256839481
BOLA2,40.0,0.43059393,513.0,0.138168,0.020203821
BOLA3,383.0,0.406657227,38.0,-0.899135,-0.217774005
BRD2,787.0,0.377809737,2066.0,0.130764,0.107408511
BRD3,3285.0,0.401150236,188.0,-0.601135,-0.133455351
BRI3BP,5801.0,0.359622664,143.0,0.352343,-1.131692408
BSPRY,1091.0,0.380011644,48.0,0.099664,0.562019286
BST2,411.0,0.444557266,81.0,0.400659,-0.069566937
BUB3,1535.0,0.421992618,242.0,-0.147962,0.18521708
C1QB,152.0,0.436596666,340.0,-0.35267,-0.778303811
C1QC,327.0,0.41150294,283.0,-0.241995,-1.210973305
C2CD3,671.0,0.360398895,227.0,0.040965,0.632137681
C3,5088.0,0.430632158,93.0,-2.162755,-0.67672992
CAP1,1134.0,0.406948565,416.0,-0.724585,-0.423338837
CAPN1,720.0,0.455130071,197.0,0.411259,0.409197992
CAPRIN1,5632.0,0.374918508,189.0,0.619472,0.188577636
CAPZB,5180.0,0.446052528,622.0,-0.353001,0.091508116
CARD16,437.0,0.41300235,27.0,-0.32352,-0.79652027
CARHSP1,4898.0,0.362100245,360.0,-0.028275,-0.196799667
CASC3,1778.0,0.370720542,295.0,0.103204,-0.318329083
CASP1,750.0,0.424742838,44.0,-0.653321,-0.257189546
CASP8,1794.0,0.376118708,303.0,-0.29256,0.160149127
CAT,629.0,0.397270122,89.0,1.118553,0.409790414
CBL,8368.0,0.375957197,142.0,-1.399244,-0.277244857
CBLL1,3286.0,0.400851504,467.0,-0.21826,0.268932411
CBR3,54.0,0.445176236,228.0,-0.003295,0.078134703
CBS,4385.0,0.477784031,626.0,2.582793,-0.858498232
CBX5,10815.0,0.390902295,318.0,-0.918311,-0.070182812
CBX8,2504.0,0.36735217,118.0,0.234647,-0.007919557
CCDC115,2169.0,0.385110507,452.0,0.525431,-0.279979851
CCDC125,2554.0,0.359965106,322.0,1.477237,0.677243761
CCDC58,2462.0,0.421830022,75.0,-0.0877,0.63294364
CCDC88C,1302.0,0.396031427,154.0,0.674137,0.27879359
CCL5,886.0,0.462166288,68.0,-1.349861,-1.029852249
CCNA2,1206.0,0.409154498,373.0,-0.797614,-0.655477152
CCNB2,168.0,0.374401461,184.0,-0.587241,-0.424648773
CCNDBP1,2336.0,0.44393643,231.0,0.52564,-0.082456728
CCS,4244.0,0.460896681,43.0,0.545475,-0.095653606
CCT3,238.0,0.457984718,231.0,0.138839,0.437724988
CCT4,1361.0,0.393363555,164.0,-0.004829,0.188611501
CD14,128.0,0.416321757,392.0,0.15573,-0.378055288
CD209,3046.0,0.440000747,67.0,-1.584111,-0.805506251
CD33,331.0,0.428315036,40.0,-0.906235,0.194615217
CD36,2894.0,0.410517795,414.0,-0.183736,-0.994800044
CD40,982.0,0.429065654,90.0,-0.895221,-0.819843377
CD44,3115.0,0.39995987,434.0,1.382029,0.04689659
CD63,923.0,0.512738356,403.0,0.334589,-1.162885962
CD74,635.0,0.427357309,187.0,-1.304153,-0.812397973
CDC25C,437.0,0.364786128,387.0,0.286352,-0.150008472
CDC26,271.0,0.395637029,359.0,-0.890758,0.11057048
CDC34,560.0,0.46431386,199.0,0.056025,-0.097493184
CDC42EP3,3941.0,0.420378821,1009.0,0.87381,0.605218629
CDCA3,816.0,0.351209268,820.0,-0.882224,-0.588944055
CDCA8,1353.0,0.384295288,290.0,-0.310561,-0.084554088
CDIPT,1864.0,0.442654716,541.0,0.09485,-1.087332706
CDK1,2313.0,0.398329505,154.0,-0.170934,-0.588415374
CDK19,4557.0,0.421511824,180.0,-1.170428,-0.662588572
CDK2AP1,766.0,0.439144625,522.0,-1.603234,-0.989245187
CDK5RAP2,367.0,0.371069462,192.0,-0.232508,0.039445565
CDK5RAP3,284.0,0.469750898,1791.0,0.502765,0.298220327
CDKAL1,1365.0,0.417875209,167.0,-0.35762,-0.262709238
CDKN2AIPNL,3639.0,0.409801696,53.0,1.057902,-0.325396406
CDKN2C,2247.0,0.381912025,1216.0,0.834656,0.72115343
CEBPD,1714.0,0.430497143,44.0,0.034461,0.042201828
CENPH,1478.0,0.418392258,87.0,0.152071,-0.367867837
CENPV,301.0,0.385948267,62.0,1.742243,0.998095967
CEP55,939.0,0.397841874,304.0,-0.673977,-0.46974631
CES3,2100.0,0.377378956,446.0,0.056948,-0.042950563
CETN2,868.0,0.433727498,47.0,-0.467635,0.047297249
CFL1,677.0,0.502791,234.0,-0.561114,-0.156818469
CHAC2,786.0,0.395629742,277.0,-1.715525,0.004359232
CHCHD4,3528.0,0.445497334,326.0,0.352196,0.172744523
CHMP4A,296.0,0.447100154,262.0,0.711298,0.302302881
CHMP5,1241.0,0.442987983,200.0,0.606007,0.537687284
CHMP6,980.0,0.489861105,78.0,-0.083691,-0.483703586
CHTF8,2425.0,0.424551152,142.0,-0.174957,-0.811043082
CIAPIN1,1024.0,0.451663323,242.0,-0.718809,-0.167308367
CISD2,5376.0,0.433298698,107.0,0.585152,-0.828243327
CKAP4,2872.0,0.386259817,84.0,-0.626365,-0.663313304
CKS2,300.0,0.317949998,98.0,0.013703,-0.389919338
CLCC1,5185.0,0.369704467,150.0,1.323132,-0.712688212
CLCN7,1698.0,0.459147749,110.0,0.331744,-0.529403979
CLIC1,290.0,0.4571302,573.0,0.311757,0.3945487
CLK2,350.0,0.410673686,925.0,-0.198903,-0.014042851
CLK3,1233.0,0.4268607,461.0,-0.632253,-0.060197442
CLPTM1,458.0,0.383990827,351.0,0.634893,-0.580453172
CLTA,288.0,0.450950874,514.0,-0.221681,-0.233130393
CLTB,319.0,0.48548545,210.0,0.162168,0.554213533
CLTC,3104.0,0.384957863,443.0,-0.414007,0.168773303
CNBP,6850.0,0.433298698,206.0,0.221288,-0.179439693
CNPY2,123.0,0.392778455,553.0,0.990447,0.558583272
CNPY3,1042.0,0.459231502,584.0,0.902603,0.374595982
COG3,1967.0,0.414689223,142.0,0.404935,0.803151169
COMMD1,306.0,0.423842833,138.0,0.11232,0.092647758
COMMD3,431.0,0.360487018,35.0,-0.375615,0.491738387
COMMD5,498.0,0.445713337,399.0,-0.139624,0.260351928
COMMD6,1375.0,0.396967837,328.0,0.733604,0.091514814
COMMD9,2340.0,0.418062772,89.0,0.053961,0.083567665
COPB1,446.0,0.381738818,307.0,0.413882,0.54571974
COPE,165.0,0.478760693,55.0,1.131521,0.66776233
COQ6,671.0,0.374062527,159.0,1.152563,0.76420204
COQ7,5700.0,0.42379098,133.0,0.667703,0.548254979
CORO1A,112.0,0.457388252,435.0,-0.902543,-0.837529811
COX17,1735.0,0.484254073,86.0,0.711661,-0.435945882
COX5A,860.0,0.429944966,140.0,0.295893,-0.015540998
COX7A2,302.0,0.441893926,98.0,0.926062,-0.115037918
CPM,5262.0,0.406054343,75.0,1.40722,0.367686791
CPSF4,923.0,0.452412439,277.0,0.350481,0.10920742
CPT1A,2761.0,0.374132033,170.0,0.148338,-0.796901749
CPT2,602.0,0.431256564,515.0,0.461024,1.123870767
CRCP,8457.0,0.390198146,145.0,0.435552,0.27208491
CRKL,3904.0,0.422225684,509.0,0.315795,0.605304466
CRTAP,5601.0,0.446308827,120.0,-0.490876,-0.823224863
CRTC3,3205.0,0.355982524,186.0,-0.938675,-0.291561651
CRYL1,462.0,0.386242786,79.0,0.833178,0.618435531
CSRP1,1183.0,0.493833101,217.0,0.042293,-0.559392132
CST3,2762.0,0.475763324,186.0,0.913699,1.062168005
CSTF2,1931.0,0.372934478,58.0,-0.970207,0.107047179
CTBP1,800.0,0.464034004,393.0,-0.180496,0.259641523
CTNNA1,1216.0,0.412513324,1103.0,-0.408858,0.114220643
CTNNB1,1106.0,0.432073699,448.0,-0.363461,-0.159020695
CTNNBIP1,2448.0,0.394834327,307.0,0.313156,0.378665071
CTPS2,1870.0,0.416273085,744.0,-0.347381,0.418208524
CTSG,119.0,0.369503415,37.0,-2.34392,-1.007495556
CTSH,1072.0,0.446467856,1192.0,0.34118,0.213464076
CUEDC1,2047.0,0.374410739,719.0,-0.683758,-0.090828186
CUX1,1040.0,0.395555213,127.0,-0.148651,-0.433131171
CXCL10,814.0,0.410287201,105.0,-0.075046,-0.870030413
CXCL9,2323.0,0.403736618,74.0,-1.111162,-1.319632015
CYBB,2544.0,0.418993019,61.0,-0.918787,-1.057584444
CYP2S1,1051.0,0.420869286,58.0,0.541563,-1.112082081
CYTH4,1837.0,0.406296106,377.0,-1.035907,-0.394704458
DAB2,1757.0,0.368483127,531.0,-1.794712,-0.612854378
DAGLB,721.0,0.377719723,170.0,0.544813,0.220282173
DAP3,768.0,0.366492687,184.0,0.384146,0.730145773
DAPP1,2082.0,0.348655603,90.0,-0.201172,0.046044262
DBI,233.0,0.467027529,479.0,-1.076181,-0.822081501
DCAF12,1967.0,0.42050769,342.0,-0.056005,0.001969571
DCAF8,1877.0,0.380310979,212.0,0.33419,0.364741941
DCP1A,4153.0,0.411936399,381.0,-0.67176,0.156272602
DCPS,4731.0,0.375605648,329.0,0.296656,0.478944742
DCTN5,10597.0,0.443116252,177.0,-0.952826,-0.041110006
DDAH2,653.0,0.361046801,1104.0,0.739613,0.504751521
DDB2,1223.0,0.43604051,195.0,1.010842,0.710298091
DDX23,713.0,0.445931172,91.0,-0.418742,0.115893224
DDX31,1870.0,0.361830896,544.0,-0.557376,-0.380606975
DDX47,438.0,0.379294484,22.0,-0.085242,-0.013665198
DDX54,1704.0,0.467316231,28.0,-0.260452,-0.558302099
DDX56,586.0,0.438032149,643.0,0.25145,-0.146747848
DDX59,217.0,0.413095257,243.0,0.483288,0.457386478
DHODH,3463.0,0.371608285,21.0,-0.613203,0.154727829
DHPS,121.0,0.474111752,121.0,1.36242,0.223745155
DHX15,459.0,0.379133957,168.0,-0.722671,0.048587605
DHX34,591.0,0.384465978,349.0,-0.092549,0.185055917
DHX58,357.0,0.440330409,223.0,1.313249,0.471618733
DIABLO,719.0,0.425893605,1182.0,-0.318523,-0.013073427
DMAP1,63.0,0.471306,301.0,0.68015,0.108389977
DMXL2,1274.0,0.389901613,225.0,-1.01188,-0.256044686
DNAJA4,1736.0,0.398301408,169.0,0.940151,0.589181154
DNAJC19,1326.0,0.403482491,259.0,0.485172,0.261103106
DNAJC25,1212.0,0.430964931,56.0,0.370084,-0.18700273
DNAJC8,969.0,0.416719859,33.0,-0.01559,-0.248577082
DNM1,1255.0,0.393835111,116.0,-2.051004,-0.869545706
DNTTIP2,3564.0,0.408096853,58.0,-0.138001,-0.178597359
DOCK11,3681.0,0.373818855,63.0,-2.223177,-0.544114958
DOCK2,524.0,0.446250827,52.0,-1.017512,-0.51658266
DOK2,438.0,0.384043737,481.0,-1.273603,-0.517404224
DPCD,197.0,0.459155016,389.0,0.3249,0.213370785
DPF2,2501.0,0.393394442,133.0,0.198335,0.120021205
DPH1,1310.0,0.448716064,341.0,0.674042,0.252853079
DPH5,784.0,0.413363166,165.0,0.215185,0.205223798
DPY30,562.0,0.438431353,279.0,-0.061797,0.235475541
DPYSL2,2472.0,0.430530829,431.0,-0.82094,-0.087853558
DRAP1,142.0,0.432809908,245.0,-0.390034,-0.402898751
DRG1,4594.0,0.444150091,131.0,0.648051,0.024668306
DSN1,5330.0,0.392894937,373.0,-0.297226,0.127777722
DSTN,2786.0,0.375776803,438.0,0.608305,0.35939035
DTL,2265.0,0.372315747,921.0,-0.696405,-0.612183084
DTX3L,3456.0,0.408848169,89.0,-0.318194,-0.01641023
DUSP12,374.0,0.419884133,34.0,0.159827,0.168795062
DUT,1937.0,0.36471409,109.0,0.042295,0.507535659
DYNLT1,514.0,0.420362019,78.0,0.345199,-0.002051408
EBAG9,1437.0,0.39438748,402.0,0.412967,-0.188039539
ECH1,191.0,0.389477111,85.0,0.571838,0.993615
ECHDC2,2269.0,0.400166641,752.0,-0.359449,1.084382217
ECM1,322.0,0.43792189,199.0,1.92846,0.450444215
EDEM2,76.0,0.379021051,100.0,1.097075,0.261280622
EEA1,5374.0,0.405861636,265.0,-1.436561,-0.198317984
EEF1A2,286.0,0.417272363,329.0,-2.148796,-1.156495161
EFTUD2,1331.0,0.444646836,398.0,-0.649929,0.199049278
EHD1,3363.0,0.446314898,447.0,-0.807245,-0.22432455
EIF2AK2,8063.0,0.394727306,557.0,0.194233,0.408279219
EIF2B3,1058.0,0.383118637,239.0,0.252534,0.453882906
EIF3F,5840.0,0.435728237,33.0,0.33871,0.277601384
EIF3L,1718.0,0.380710116,245.0,0.369679,0.072488607
EIF4A3,1120.0,0.381528282,222.0,-0.154697,-0.042267546
ELAVL1,4910.0,0.437605432,167.0,0.037159,0.115723656
EMG1,248.0,0.433768095,143.0,0.388589,0.065423985
EMILIN2,2605.0,0.379592019,159.0,-1.976857,-0.743167207
ENDOD1,7728.0,0.376426787,118.0,0.866085,-0.091027926
ENOSF1,2904.0,0.382279782,622.0,1.50409,1.39881215
ENY2,2576.0,0.41756619,146.0,-0.348386,-0.267309232
EPSTI1,2106.0,0.391777705,469.0,0.073483,-0.423631036
ERCC1,2342.0,0.45058755,188.0,0.51552,0.390655964
ERCC6L,4809.0,0.354829683,623.0,-2.148865,-0.043164587
ERH,415.0,0.383837906,71.0,-0.016367,0.274500893
ERLIN1,2041.0,0.444737514,478.0,0.664443,0.277103589
ERP29,1277.0,0.401191178,118.0,0.167624,0.185078845
ETV6,4356.0,0.398240844,274.0,-1.097175,-0.120922393
EXOC4,1232.0,0.388187525,35.0,-0.122057,0.015520375
EXOC8,6907.0,0.436106501,127.0,-0.053855,0.088094843
EXOSC1,536.0,0.430105347,451.0,0.26461,0.401761611
EXOSC2,3902.0,0.431273517,32.0,-0.541059,0.478692946
F8A1,571.0,0.46317284,15.0,-1.05747,0.517063938
FAAH,2043.0,0.384592892,82.0,1.236656,-0.331581122
FAF1,4425.0,0.401181969,453.0,-0.310775,-0.014227335
FAM122A,4542.0,0.40477622,33.0,-1.090851,-0.55012945
FAM168A,6285.0,0.395008865,285.0,-1.691568,-0.473306255
FAM177A1,2165.0,0.411149627,459.0,0.102146,-0.021100146
FAM192A,1824.0,0.379195199,1475.0,-0.5572,-0.607681977
FAM20B,4428.0,0.4357945,293.0,0.65275,0.187332737
FAM32A,1091.0,0.408676074,42.0,0.054119,-0.179541782
FAM50A,286.0,0.482889735,110.0,-0.439316,-0.521825298
FBP1,248.0,0.397353747,331.0,0.060246,0.166455494
FBXL20,9338.0,0.383104745,254.0,-0.450175,-0.21028207
FBXO4,526.0,0.393825218,58.0,0.676135,0.576615457
FBXO6,503.0,0.42307306,166.0,1.455183,0.855601655
FCER1G,305.0,0.4202976,25.0,-0.701009,-0.852553055
FCGRT,309.0,0.433069976,486.0,-0.215504,-0.472893353
FDPS,72.0,0.456397562,392.0,0.152469,-0.016503876
FDXR,596.0,0.384661194,188.0,3.109611,2.061348883
FEN1,1340.0,0.407867196,413.0,-0.116467,0.011343064
FERMT3,399.0,0.435119014,149.0,-1.241512,-0.476866309
FGD2,907.0,0.441856308,171.0,-1.023753,-0.062551051
FGFR1OP2,1663.0,0.396595515,353.0,-0.629192,0.216975556
FGL2,3460.0,0.40966218,40.0,-0.691972,-0.855252246
FKBP1A,1132.0,0.428443098,174.0,-0.350312,0.254461158
FKBPL,24.0,0.377510344,270.0,0.840147,0.287287481
FLOT1,422.0,0.472159534,339.0,0.309174,-0.022620277
FN3K,442.0,0.389857108,61.0,1.771424,0.977409027
FN3KRP,3667.0,0.380720834,50.0,-0.399018,-0.026439199
FOXJ3,3176.0,0.401878681,312.0,-0.560411,-0.058789915
FOXK2,3108.0,0.440496276,171.0,0.705808,0.262632951
FOXRED1,443.0,0.438630908,167.0,0.900374,0.591332885
FSCN1,1184.0,0.396100853,132.0,-1.265218,-0.580271022
FTH1,530.0,0.425357612,235.0,0.299864,0.057026352
FTL,1031.0,0.428438948,199.0,-1.122715,-0.952012723
FTSJ1,638.0,0.457521275,569.0,-0.939115,-0.033575157
FTSJ3,698.0,0.388239396,646.0,-0.044669,-0.91563833
FXN,6365.0,0.40465004,220.0,-1.453096,-0.260032451
GABARAPL2,564.0,0.431291441,136.0,0.244447,-0.464202113
GABPB1,1320.0,0.423118524,469.0,-0.354137,-0.146439841
GALK1,292.0,0.455574511,63.0,-0.375795,-0.018500536
GANAB,989.0,0.425909644,1027.0,1.134079,0.697962994
GAS6,315.0,0.393865445,183.0,0.250386,0.312953067
GAS7,6619.0,0.423630168,311.0,-3.298322,-0.813442481
GBE1,708.0,0.404013874,283.0,0.760466,0.561617697
GBP1,1735.0,0.42614962,220.0,-1.24113,-0.957056295
GBP2,5058.0,0.440134196,314.0,-2.270137,-0.808329762
GBP4,4106.0,0.42983554,116.0,-0.832586,-0.591655188
GBP5,1753.0,0.421901204,537.0,-1.346369,-0.990512161
GCH1,2011.0,0.419329122,161.0,-1.401086,-0.424338724
GFOD2,622.0,0.396604754,295.0,-0.493482,0.348468329
GGA2,5408.0,0.377812588,83.0,0.954767,0.734126536
GGCX,5211.0,0.417836117,106.0,0.529849,-0.501527958
GIGYF1,2212.0,0.443456438,1210.0,-0.180642,0.111363984
GINS3,1415.0,0.387351931,208.0,-0.870326,-0.656315067
GLA,1699.0,0.378726947,110.0,0.476477,0.30049977
GLE1,1357.0,0.383457083,114.0,0.371587,0.019558861
GLRX,1188.0,0.430296645,211.0,2.270536,1.698305625
GLRX3,3557.0,0.41418463,539.0,-0.648753,-0.04854373
GLUD1,1558.0,0.392454008,1132.0,0.83464,1.331781417
GLYR1,2033.0,0.39940414,57.0,-0.02689,0.474384062
GMEB1,4582.0,0.43446142,142.0,-0.511835,0.25124655
GMPPA,198.0,0.434966364,375.0,0.013883,0.631490026
GMPR,3984.0,0.435743929,114.0,1.69998,0.927829741
GMPR2,464.0,0.453637396,704.0,0.082997,0.412856931
GNAI1,1947.0,0.435804474,356.0,1.721165,0.956522017
GNG7,3803.0,0.398730372,237.0,-3.085332,0.014347716
GNPDA1,1360.0,0.395964134,67.0,0.376205,0.34949431
GOLGA2,1243.0,0.401070546,13.0,0.381267,0.187158619
GON4L,926.0,0.418089888,175.0,-0.398306,-0.163158556
GOSR1,5968.0,0.408103421,237.0,0.059798,0.094019741
GOSR2,3258.0,0.374298057,541.0,0.102733,-0.464575698
GOT2,1054.0,0.444803236,129.0,0.180407,0.036775062
GPS2,97.0,0.431122181,76.0,0.94223,-0.516858813
GPSM2,4697.0,0.401967226,496.0,0.278252,0.003318206
GPX7,626.0,0.395840774,39.0,-2.337841,-0.690130934
GRAMD1A,299.0,0.411657297,748.0,0.326148,-0.381720585
GRB2,2292.0,0.4413596,358.0,-0.120969,-0.081920054
GSTM4,2467.0,0.390909061,314.0,-0.053006,0.080474115
GTF2A2,1070.0,0.420716795,404.0,0.019647,-0.560045493
GTF2E2,604.0,0.365750105,273.0,0.225922,-0.465427673
GTF3C2,932.0,0.372227001,397.0,-0.70272,0.03974723
GTPBP1,2894.0,0.424954603,154.0,0.770071,0.537035355
GTPBP3,1032.0,0.436547413,95.0,0.345267,0.837490659
GTSE1,680.0,0.368527868,212.0,-0.505363,-1.232598524
HADH,818.0,0.383558671,219.0,-0.4568,0.510060328
HADHA,615.0,0.383558671,130.0,0.037744,0.745627859
HAUS5,3319.0,0.378752573,51.0,-0.047076,-0.280337041
HAUS8,346.0,0.37535995,111.0,-0.514244,-0.342545154
HCCS,1274.0,0.398607648,275.0,-1.496905,-1.092482653
HCK,337.0,0.440224323,364.0,-1.116727,-0.479375381
HDAC1,591.0,0.390040122,63.0,-0.49757,-0.170877842
HDDC3,763.0,0.387287166,29.0,-0.323323,-0.050527408
HDGF,1342.0,0.465394593,322.0,-0.374314,0.141933203
HDLBP,2343.0,0.397687311,375.0,-0.055417,0.134361828
HEATR3,1385.0,0.384091545,883.0,-1.260237,-0.462331936
HEBP2,9119.0,0.359416339,297.0,-0.173528,0.434877951
HECA,3704.0,0.443714129,285.0,-0.581677,-0.152875146
HECTD3,3914.0,0.446742268,98.0,-0.421091,0.491672879
HERC2,726.0,0.429958504,109.0,-0.86551,-0.475200832
HERC5,379.0,0.393838904,153.0,-0.009187,0.053542561
HERC6,651.0,0.398146132,183.0,0.524788,0.144635603
HIP1,4874.0,0.430847644,52.0,-1.440931,-0.385638072
HLA-A,4150.0,0.424443523,84.0,-0.029071,-0.868081091
HLA-C,420.0,0.421684519,65.0,0.75156,-0.492561236
HLA-DRA,409.0,0.420807891,109.0,-1.611787,-0.985517922
HLA-E,1459.0,0.413523771,126.0,-1.11616,0.004130569
HLA-F,121.0,0.407256461,124.0,-0.219309,-0.479572146
HMBOX1,3560.0,0.369177113,482.0,-1.233113,0.073509096
HMBS,266.0,0.451934812,299.0,0.759906,0.774573427
HMGB2,3775.0,0.450826504,193.0,0.925045,0.457600896
HMGCS1,3661.0,0.374424323,345.0,0.331632,-0.355762287
HMOX1,616.0,0.436401717,107.0,-0.92617,-0.394630243
HNRNPA0,7504.0,0.386421138,284.0,-0.070109,0.156320889
HNRNPD,1688.0,0.420386111,318.0,-0.292175,0.327947964
HNRNPL,1102.0,0.449817015,176.0,-0.056355,0.173562745
HNRNPU,4156.0,0.432126199,218.0,0.189052,0.052811258
HNRNPUL1,2135.0,0.394022965,339.0,0.124135,0.321509115
HNRNPUL2,2674.0,0.436897081,229.0,0.329063,0.536799707
HSBP1,3274.0,0.4454546,174.0,-0.239997,-0.019310209
HSD11B1,4482.0,0.426649415,154.0,-1.783371,-1.037873913
HSD17B7,398.0,0.431983247,99.0,0.14551,-0.089261688
HSP90AB1,313.0,0.39509298,251.0,0.441659,0.325363516
HSPA1L,428.0,0.464100714,183.0,0.56906,0.789872274
HSPA4L,7877.0,0.413794867,342.0,-0.705243,-0.030530735
HSPB11,107.0,0.34538245,284.0,0.554906,-0.184588577
HTRA2,571.0,0.421976635,602.0,-0.659689,0.32283298
HTT,3901.0,0.373695076,145.0,-0.336243,0.187769151
HUS1,2068.0,0.374612864,131.0,-0.308833,0.45454313
HYI,310.0,0.378597605,196.0,1.113903,0.690652863
HYOU1,1409.0,0.403839016,234.0,1.498862,0.801547076
ICAM1,1537.0,0.426062071,319.0,-1.262401,-0.548968368
