,3prime,tAI,max_5_UTR_length,TCGA-A2-A0D2,TCGA-A2-A0D2.1
AKR7A2,10996.0,0.385600504,22.0,-0.393628,-0.622239622
ALDH18A1,838.0,0.380333742,511.0,0.499917,0.289806616
ALDH3A2,2525.0,0.42484639,221.0,-1.047032,-0.210388805
ALDH6A1,4647.0,0.38708374,724.0,-1.918993,-0.658388129
ALG1,2498.0,0.432230555,181.0,-0.90416,-0.599743605
ALG5,380.0,0.362014155,67.0,-0.464352,-0.07686436
ALG9,4217.0,0.365461171,1107.0,-0.045527,-0.730550692
ALOX5AP,976.0,0.392577632,248.0,1.046141,0.341047977
AMBRA1,1041.0,0.36170155,362.0,0.550381,0.302772581
AMPD2,903.0,0.389224108,566.0,1.32353,0.331817549
AMPD3,1695.0,0.423686063,472.0,0.032568,0.564721415
ANAPC13,1361.0,0.393644021,731.0,-0.77697,0.144504994
ANAPC5,235.0,0.390209877,197.0,-0.089157,-0.054179976
ANKLE2,1737.0,0.418251419,90.0,-0.024004,0.10095882
ANKRD16,135.0,0.465649334,543.0,0.600788,0.396061028
ANKRD35,249.0,0.402949835,108.0,3.544357,1.393287902
ANXA2,496.0,0.429738522,160.0,0.832263,-0.130831877
ANXA5,1441.0,0.418050335,165.0,0.041982,-0.163801659
AP1B1,1153.0,0.424070668,187.0,0.937676,0.367983099
AP1M1,914.0,0.463388599,173.0,0.872616,0.431435683
APBA1,3797.0,0.387421148,276.0,1.099993,0.700699833
APIP,427.0,0.433104693,127.0,1.150791,0.340887942
APOBEC3B,339.0,0.43450554,55.0,2.795589,0.105633434
APOBEC3C,1979.0,0.381716897,103.0,0.161065,-0.030045456
APOBEC3G,322.0,0.410940579,404.0,0.156967,0.369489386
APOL2,1195.0,0.42932248,477.0,-0.283785,-0.252352495
ARF6,2971.0,0.462806813,621.0,0.337011,-0.259927727
ARFIP2,2430.0,0.403729309,291.0,-1.129593,-0.693772707
ARHGAP17,2624.0,0.371011524,117.0,0.150557,0.092684756
ARHGAP30,773.0,0.384451823,645.0,0.417729,0.061343959
ARHGEF10,1378.0,0.370244255,202.0,-0.12582,0.399168276
ARID2,3145.0,0.362288628,128.0,-0.887999,-0.042256955
ARID3A,3881.0,0.411693449,290.0,-2.718982,-0.106524862
ARIH2,3112.0,0.397061561,878.0,0.453055,0.372861368
ARL8A,1065.0,0.409602486,171.0,-0.652274,-0.067826662
ARRB1,6041.0,0.39512759,224.0,0.12844,-0.267100755
ASF1B,950.0,0.395794233,172.0,1.874729,0.69704561
ASS1,1357.0,0.394201053,356.0,0.91622,0.122881913
ATPAF1,3039.0,0.439253133,510.0,-0.328221,0.05790841
ATRIP,162.0,0.417082642,462.0,-0.766953,-0.211457768
AXL,1863.0,0.417061167,376.0,-0.371411,0.302415813
B4GALT7,4483.0,0.433879574,93.0,-0.936313,-0.242223465
BAG1,2764.0,0.431693656,501.0,-0.923221,-0.693257392
BAG3,537.0,0.387438444,306.0,-0.093323,-0.193212753
BASP1,971.0,0.520859146,259.0,-0.377059,-0.20731645
BBS7,1531.0,0.408023089,184.0,0.10623,-0.196640638
BCAT2,364.0,0.445598481,657.0,-2.619877,-0.862985316
BCKDHB,3082.0,0.419736544,88.0,-0.345156,-0.094186041
BCL2,5279.0,0.374049285,493.0,-1.72918,-1.166833507
BCL2L13,4109.0,0.411790332,769.0,0.21674,-0.259129081
BID,4193.0,0.428633517,498.0,0.515515,0.271594441
BLVRA,3376.0,0.414260839,177.0,-1.190468,-0.576793315
BOLA2,40.0,0.43059393,513.0,-0.331006,-0.5696124
BOLA3,383.0,0.406657227,38.0,0.426825,-0.011822036
BRD2,787.0,0.377809737,2066.0,-0.347348,0.097289507
BRD3,3285.0,0.401150236,188.0,-0.858938,0.003941545
BSPRY,1091.0,0.380011644,48.0,-0.417941,-0.654100344
BST2,411.0,0.444557266,81.0,-1.431496,-1.511057918
BUB3,1535.0,0.421992618,242.0,0.346222,-0.046469118
C1QB,152.0,0.436596666,340.0,0.278089,0.436055849
C1QC,327.0,0.41150294,283.0,0.571407,0.286541074
C2CD3,671.0,0.360398895,227.0,0.739356,0.037286962
C3,5088.0,0.430632158,93.0,0.090387,-0.096499336
CAP1,1134.0,0.406948565,416.0,0.709647,0.10032073
CAPN1,720.0,0.455130071,197.0,0.103609,-0.16347732
CAPRIN1,5632.0,0.374918508,189.0,0.503313,0.176514562
CAPZB,5180.0,0.446052528,622.0,0.055142,0.049097353
CARD16,437.0,0.41300235,27.0,-0.10456,-0.063383669
CARHSP1,4898.0,0.362100245,360.0,0.310692,-0.303407097
CASC3,1778.0,0.370720542,295.0,-0.274608,-0.180324104
CASP1,750.0,0.424742838,44.0,-0.572422,0.078497926
CASP8,1794.0,0.376118708,303.0,-1.137882,-0.369916941
CAT,629.0,0.397270122,89.0,-0.38585,-0.233222111
CBL,8368.0,0.375957197,142.0,0.795148,0.520099713
CBLL1,3286.0,0.400851504,467.0,0.718874,0.015371156
CBR3,54.0,0.445176236,228.0,-0.318532,-0.242887322
CBS,4385.0,0.477784031,626.0,3.19266,0.450229343
CBX5,10815.0,0.390902295,318.0,-0.099927,-0.008088284
CBX8,2504.0,0.36735217,118.0,-0.475176,-0.008734168
CCDC115,2169.0,0.385110507,452.0,-1.054607,-0.216498234
CCDC125,2554.0,0.359965106,322.0,-1.218832,-0.237237679
CCDC58,2462.0,0.421830022,75.0,0.131501,-0.18572322
CCDC88C,1302.0,0.396031427,154.0,-0.554334,-0.682284217
CCL5,886.0,0.462166288,68.0,1.719936,-0.067012433
CCNA2,1206.0,0.409154498,373.0,2.057873,0.378482936
CCNB2,168.0,0.374401461,184.0,3.242727,1.006799873
CCNDBP1,2336.0,0.44393643,231.0,-1.431528,-0.057066023
CCS,4244.0,0.460896681,43.0,0.030561,-0.092083132
CCT3,238.0,0.457984718,231.0,-0.315039,-0.024293003
CCT4,1361.0,0.393363555,164.0,0.052826,-0.066066543
CD14,128.0,0.416321757,392.0,0.254861,0.486774309
CD209,3046.0,0.440000747,67.0,0.481545,0.71041037
CD36,2894.0,0.410517795,414.0,-1.961044,-0.349700357
CD40,982.0,0.429065654,90.0,0.505483,-0.414226638
CD44,3115.0,0.39995987,434.0,1.728753,1.129481021
CD63,923.0,0.512738356,403.0,-0.309915,-0.524557284
CD74,635.0,0.427357309,187.0,0.152711,-0.273004805
CDC25C,437.0,0.364786128,387.0,1.849883,0.226608427
CDC26,271.0,0.395637029,359.0,0.592153,-0.156283941
CDC34,560.0,0.46431386,199.0,0.997128,-0.001839956
CDC42EP3,3941.0,0.420378821,1009.0,-1.270835,-0.4631087
CDCA3,816.0,0.351209268,820.0,2.525712,0.337967507
CDCA8,1353.0,0.384295288,290.0,3.039952,1.284040375
CDIPT,1864.0,0.442654716,541.0,-0.461481,-0.965036807
CDK1,2313.0,0.398329505,154.0,1.936442,1.412143007
CDK19,4557.0,0.421511824,180.0,0.623064,1.00653329
CDK2AP1,766.0,0.439144625,522.0,1.507256,0.712335379
CDK5RAP2,367.0,0.371069462,192.0,0.621137,0.185953371
CDK5RAP3,284.0,0.469750898,1791.0,-0.95351,-0.029217305
CDKAL1,1365.0,0.417875209,167.0,0.92568,0.492245343
CDKN2AIPNL,3639.0,0.409801696,53.0,-0.756705,-0.152662805
CDKN2C,2247.0,0.381912025,1216.0,1.455609,-0.127541302
CEBPD,1714.0,0.430497143,44.0,-0.805549,0.0
CENPH,1478.0,0.418392258,87.0,1.339771,0.623503548
CENPV,301.0,0.385948267,62.0,2.85487,0.352273816
CEP55,939.0,0.397841874,304.0,2.006011,-0.078079691
CES3,2100.0,0.377378956,446.0,1.407739,-0.509001582
CETN2,868.0,0.433727498,47.0,0.11495,-0.199802391
CFL1,677.0,0.502791,234.0,1.174757,-0.307353288
CHAC2,786.0,0.395629742,277.0,1.321828,0.208867676
CHCHD4,3528.0,0.445497334,326.0,-0.084287,-0.324051581
CHMP4A,296.0,0.447100154,262.0,0.238446,-0.266002618
CHMP5,1241.0,0.442987983,200.0,-0.684078,-0.175220626
CHMP6,980.0,0.489861105,78.0,-0.146587,0.068358849
CHST11,4211.0,0.430763246,498.0,1.393758,0.57757423
CHTF8,2425.0,0.424551152,142.0,0.426633,0.488764884
CIAPIN1,1024.0,0.451663323,242.0,0.469729,-0.134320631
CISD2,5376.0,0.433298698,107.0,-0.02361,-0.157322069
CKAP4,2872.0,0.386259817,84.0,0.506976,-0.027560007
CKS2,300.0,0.317949998,98.0,2.070566,1.241134448
CLCC1,5185.0,0.369704467,150.0,-0.216845,-0.130286509
CLCN7,1698.0,0.459147749,110.0,-0.520098,-0.067220943
CLIC1,290.0,0.4571302,573.0,0.548639,-0.076036394
CLK2,350.0,0.410673686,925.0,-0.864217,0.135607631
CLK3,1233.0,0.4268607,461.0,0.199866,0.624688265
CLPTM1,458.0,0.383990827,351.0,-0.012006,-0.275836028
CLTA,288.0,0.450950874,514.0,0.172014,-0.289501528
CLTB,319.0,0.48548545,210.0,0.324778,-0.185763872
CLTC,3104.0,0.384957863,443.0,-0.379223,-0.195345297
CNBP,6850.0,0.433298698,206.0,-0.30831,-0.309831686
CNPY2,123.0,0.392778455,553.0,-0.127067,-0.172231931
CNPY3,1042.0,0.459231502,584.0,-0.092001,-0.401977158
COG3,1967.0,0.414689223,142.0,-1.03627,-0.403005732
COMMD1,306.0,0.423842833,138.0,-0.209606,-0.005827462
COMMD3,431.0,0.360487018,35.0,-0.750773,0.035547545
COMMD5,498.0,0.445713337,399.0,0.244067,0.166573693
COMMD6,1375.0,0.396967837,328.0,-0.210093,0.375090063
COMMD9,2340.0,0.418062772,89.0,1.17987,0.401053502
COPB1,446.0,0.381738818,307.0,-0.37587,0.013238875
COPE,165.0,0.478760693,55.0,0.553344,-0.007051225
COQ6,671.0,0.374062527,159.0,-1.081208,0.000941289
COQ7,5700.0,0.42379098,133.0,-0.678018,-0.343721774
CORO1A,112.0,0.457388252,435.0,0.924721,-0.186816319
COX17,1735.0,0.484254073,86.0,-1.158151,-1.269336333
COX5A,860.0,0.429944966,140.0,1.190942,-0.126966735
COX7A2,302.0,0.441893926,98.0,0.078489,-0.157312859
CPM,5262.0,0.406054343,75.0,1.11821,1.553404372
CPSF4,923.0,0.452412439,277.0,2.249161,-0.129370209
CPT1A,2761.0,0.374132033,170.0,-2.331573,-0.642447939
CPT2,602.0,0.431256564,515.0,-0.444875,-0.368009691
CRCP,8457.0,0.390198146,145.0,0.456217,-0.378037665
CRKL,3904.0,0.422225684,509.0,0.935279,0.684295937
CRTAP,5601.0,0.446308827,120.0,-0.491319,0.54110678
CRTC3,3205.0,0.355982524,186.0,0.61992,0.11707953
CRYL1,462.0,0.386242786,79.0,-1.980973,-0.235039176
CSRP1,1183.0,0.493833101,217.0,-0.362521,-0.343899358
CST3,2762.0,0.475763324,186.0,-1.224655,-0.768928564
CSTF2,1931.0,0.372934478,58.0,0.578935,0.023094484
CTBP1,800.0,0.464034004,393.0,0.151687,-0.021368724
CTNNA1,1216.0,0.412513324,1103.0,-0.339156,0.209719379
CTNNB1,1106.0,0.432073699,448.0,0.411328,0.391305629
CTNNBIP1,2448.0,0.394834327,307.0,0.321566,-0.13907747
CTPS2,1870.0,0.416273085,744.0,0.352187,0.311370664
CTSG,119.0,0.369503415,37.0,-0.578771,-0.274187316
CTSH,1072.0,0.446467856,1192.0,-0.684354,-0.01147631
CUEDC1,2047.0,0.374410739,719.0,-0.384621,-0.137301467
CUX1,1040.0,0.395555213,127.0,-0.069956,0.328238141
CXCL10,814.0,0.410287201,105.0,1.382025,0.584226328
CXCL9,2323.0,0.403736618,74.0,1.979786,0.632863869
CYBB,2544.0,0.418993019,61.0,0.520083,0.051723865
CYP2S1,1051.0,0.420869286,58.0,0.671833,0.437754282
CYTH4,1837.0,0.406296106,377.0,-0.009725,0.213321676
DAB2,1757.0,0.368483127,531.0,-0.549172,0.154784735
DAGLB,721.0,0.377719723,170.0,-0.463685,-0.329377483
DAP3,768.0,0.366492687,184.0,0.467935,0.061599103
DAPP1,2082.0,0.348655603,90.0,-0.366493,0.107452113
DBI,233.0,0.467027529,479.0,-0.321941,0.456849099
DCAF8,1877.0,0.380310979,212.0,-0.675027,-0.368652602
DCP1A,4153.0,0.411936399,381.0,-0.195655,0.349962554
DCPS,4731.0,0.375605648,329.0,1.827245,0.381843462
DCTN5,10597.0,0.443116252,177.0,0.65465,-0.022340966
DDAH2,653.0,0.361046801,1104.0,0.499091,-0.049066194
DDB2,1223.0,0.43604051,195.0,0.006552,-0.008422536
DDX23,713.0,0.445931172,91.0,-0.242256,0.05129977
DDX31,1870.0,0.361830896,544.0,-0.309507,0.095594287
DDX47,438.0,0.379294484,22.0,-0.265857,0.393526337
DDX54,1704.0,0.467316231,28.0,0.085436,0.079181906
DDX56,586.0,0.438032149,643.0,-0.261553,0.129915125
DDX59,217.0,0.413095257,243.0,-0.977816,0.149766131
DHODH,3463.0,0.371608285,21.0,0.465083,0.000124173
DHPS,121.0,0.474111752,121.0,-0.134297,-0.055519571
DHX15,459.0,0.379133957,168.0,-0.10736,-0.080515264
DHX34,591.0,0.384465978,349.0,0.46804,-0.025861888
DHX58,357.0,0.440330409,223.0,-1.157846,-0.945870572
DIABLO,719.0,0.425893605,1182.0,-0.031514,-0.3820168
DMAP1,63.0,0.471306,301.0,0.31657,0.159238239
DMXL2,1274.0,0.389901613,225.0,0.592505,0.576666323
DNAJA4,1736.0,0.398301408,169.0,0.061642,0.06755871
DNAJC19,1326.0,0.403482491,259.0,-0.086106,-0.039422759
DNAJC25,1212.0,0.430964931,56.0,0.182117,0.23452122
DNAJC8,969.0,0.416719859,33.0,0.204528,0.036327755
DNM1,1255.0,0.393835111,116.0,-0.980565,0.226885733
DNTTIP2,3564.0,0.408096853,58.0,1.136393,0.199546402
DOCK11,3681.0,0.373818855,63.0,-0.913396,0.151017119
DOCK2,524.0,0.446250827,52.0,0.356129,0.241402602
DOK2,438.0,0.384043737,481.0,0.355311,0.314138106
DPCD,197.0,0.459155016,389.0,-0.269233,-0.613729371
DPF2,2501.0,0.393394442,133.0,0.663,-0.204433514
DPH1,1310.0,0.448716064,341.0,0.826198,0.073183296
DPH5,784.0,0.413363166,165.0,-0.097651,0.166882352
DPY30,562.0,0.438431353,279.0,0.135412,0.317136698
DPYSL2,2472.0,0.430530829,431.0,1.281402,0.366772363
DRAP1,142.0,0.432809908,245.0,1.27081,0.335145856
DRG1,4594.0,0.444150091,131.0,1.41523,-0.009909506
DSN1,5330.0,0.392894937,373.0,1.10406,0.105049159
DSTN,2786.0,0.375776803,438.0,0.08908,-0.120657327
DTL,2265.0,0.372315747,921.0,1.238316,1.149475309
DTX3L,3456.0,0.408848169,89.0,-1.550037,-0.497983325
DUSP12,374.0,0.419884133,34.0,0.501739,0.353392217
DUT,1937.0,0.36471409,109.0,0.34123,-0.153082837
DYNLT1,514.0,0.420362019,78.0,-0.298697,0.259449057
EBAG9,1437.0,0.39438748,402.0,-0.689491,-0.321433163
ECH1,191.0,0.389477111,85.0,-0.584556,-0.469810005
ECHDC2,2269.0,0.400166641,752.0,-0.142211,-0.796764093
ECM1,322.0,0.43792189,199.0,-0.675293,0.014873846
EDEM2,76.0,0.379021051,100.0,-0.201735,-0.002440313
EEA1,5374.0,0.405861636,265.0,-1.179642,0.038853122
EEF1A2,286.0,0.417272363,329.0,-4.603529,-0.951856383
EFTUD2,1331.0,0.444646836,398.0,0.563506,0.090976685
EHD1,3363.0,0.446314898,447.0,0.909305,0.162249241
EIF2AK2,8063.0,0.394727306,557.0,-0.777582,-0.101885376
EIF2B3,1058.0,0.383118637,239.0,0.955859,0.154882815
EIF3F,5840.0,0.435728237,33.0,-0.012112,0.144386088
EIF3L,1718.0,0.380710116,245.0,0.758667,0.221906175
EIF4A3,1120.0,0.381528282,222.0,0.234544,0.112206417
ELAVL1,4910.0,0.437605432,167.0,0.809501,-0.013453047
EMG1,248.0,0.433768095,143.0,0.446746,0.246439416
EMILIN2,2605.0,0.379592019,159.0,0.335646,0.751996696
ENDOD1,7728.0,0.376426787,118.0,-0.252588,0.070986585
ENOSF1,2904.0,0.382279782,622.0,0.335667,-0.067956392
ENY2,2576.0,0.41756619,146.0,0.87656,0.440630501
EPSTI1,2106.0,0.391777705,469.0,0.611895,-0.071494084
ERCC1,2342.0,0.45058755,188.0,0.161424,-0.275822041
ERCC6L,4809.0,0.354829683,623.0,1.869576,0.626640475
ERH,415.0,0.383837906,71.0,0.533924,-0.270796055
ERLIN1,2041.0,0.444737514,478.0,-0.214036,-0.149135304
ERP29,1277.0,0.401191178,118.0,0.114454,-0.120397832
ETV6,4356.0,0.398240844,274.0,0.736065,0.120581345
EXOC4,1232.0,0.388187525,35.0,0.271507,0.017177831
EXOC8,6907.0,0.436106501,127.0,-0.312401,-0.111761051
EXOSC1,536.0,0.430105347,451.0,-0.025157,0.265516988
EXOSC2,3902.0,0.431273517,32.0,0.249125,0.155429917
F8A1,571.0,0.46317284,15.0,0.409737,0.001107412
FAAH,2043.0,0.384592892,82.0,-2.538944,-0.553226543
FAF1,4425.0,0.401181969,453.0,1.227102,0.436130991
FAM122A,4542.0,0.40477622,33.0,-0.801258,0.020597654
FAM168A,6285.0,0.395008865,285.0,0.079894,0.570019656
FAM177A1,2165.0,0.411149627,459.0,0.456274,0.189325848
FAM192A,1824.0,0.379195199,1475.0,-0.706633,-0.528398572
FAM20B,4428.0,0.4357945,293.0,-1.28072,0.045680861
FAM32A,1091.0,0.408676074,42.0,0.404988,0.256957802
FAM50A,286.0,0.482889735,110.0,0.623364,0.112038081
FBP1,248.0,0.397353747,331.0,-3.339961,-0.996721065
FBXL20,9338.0,0.383104745,254.0,-0.895191,-0.444156904
FBXO4,526.0,0.393825218,58.0,-1.419062,-0.323876864
FBXO6,503.0,0.42307306,166.0,0.290764,-0.605817087
FCER1G,305.0,0.4202976,25.0,0.382644,0.445135778
FCGRT,309.0,0.433069976,486.0,-0.601453,0.266605776
FCHO1,270.0,0.372951657,283.0,-1.401872,0.216403453
FDPS,72.0,0.456397562,392.0,1.1499,0.000653501
FDXR,596.0,0.384661194,188.0,-1.372949,-0.723488854
FEN1,1340.0,0.407867196,413.0,2.157737,0.962155115
FERMT3,399.0,0.435119014,149.0,0.529197,0.369290823
FGD2,907.0,0.441856308,171.0,0.471025,0.164116471
FGFR1OP2,1663.0,0.396595515,353.0,-0.70623,-0.160912773
FGL2,3460.0,0.40966218,40.0,-0.439258,-0.073432437
FKBP1A,1132.0,0.428443098,174.0,0.540103,0.117501125
FKBPL,24.0,0.377510344,270.0,0.093144,-0.344504393
FLOT1,422.0,0.472159534,339.0,-0.232493,-0.255451406
FN3K,442.0,0.389857108,61.0,0.523451,-0.124627793
FN3KRP,3667.0,0.380720834,50.0,0.653005,-0.0966997
FOXJ3,3176.0,0.401878681,312.0,0.018896,-0.002248913
FOXK2,3108.0,0.440496276,171.0,0.593574,-0.19607531
FOXRED1,443.0,0.438630908,167.0,0.847847,0.245316435
FSCN1,1184.0,0.396100853,132.0,1.277609,0.534414667
FTH1,530.0,0.425357612,235.0,0.432524,0.469012166
FTL,1031.0,0.428438948,199.0,0.342827,0.426411784
FTSJ1,638.0,0.457521275,569.0,0.404026,0.270546641
FTSJ3,698.0,0.388239396,646.0,0.516046,0.028506939
FXN,6365.0,0.40465004,220.0,0.14929,-0.056744287
GABARAPL2,564.0,0.431291441,136.0,0.763347,2.097595862
GABPB1,1320.0,0.423118524,469.0,0.16342,-0.271592158
GALK1,292.0,0.455574511,63.0,-0.353484,-0.223354259
GANAB,989.0,0.425909644,1027.0,0.903095,0.132108193
GAS6,315.0,0.393865445,183.0,-1.200259,-0.162442858
GAS7,6619.0,0.423630168,311.0,-1.110538,0.106044846
GBE1,708.0,0.404013874,283.0,-0.502555,0.168316839
GBP1,1735.0,0.42614962,220.0,0.133997,0.321489055
GBP2,5058.0,0.440134196,314.0,-0.531501,0.083952424
GBP4,4106.0,0.42983554,116.0,-0.118449,0.013845927
GBP5,1753.0,0.421901204,537.0,1.189483,0.501198216
GCH1,2011.0,0.419329122,161.0,0.200437,-0.093654208
GFOD2,622.0,0.396604754,295.0,1.034644,0.253095642
GGA2,5408.0,0.377812588,83.0,0.018949,-0.065420455
GGCX,5211.0,0.417836117,106.0,-0.006186,0.282114795
GIGYF1,2212.0,0.443456438,1210.0,0.16129,0.048488866
GINS3,1415.0,0.387351931,208.0,0.417932,0.526073812
GLA,1699.0,0.378726947,110.0,0.078065,0.366599406
GLE1,1357.0,0.383457083,114.0,0.657715,0.255115053
GLRX,1188.0,0.430296645,211.0,0.27752,-0.35018546
GLRX3,3557.0,0.41418463,539.0,0.555293,0.250337217
GLUD1,1558.0,0.392454008,1132.0,-0.830031,-0.315074322
GLYR1,2033.0,0.39940414,57.0,-0.616393,0.146831638
GMEB1,4582.0,0.43446142,142.0,0.599183,-0.104084216
GMPPA,198.0,0.434966364,375.0,-0.480443,-0.28147262
GMPR,3984.0,0.435743929,114.0,-0.84772,-0.409044227
GMPR2,464.0,0.453637396,704.0,-0.215166,-0.305593666
GNAI1,1947.0,0.435804474,356.0,-0.349259,-0.08388177
GNG7,3803.0,0.398730372,237.0,0.454799,0.257221643
GNPDA1,1360.0,0.395964134,67.0,0.61769,0.459085333
GOLGA2,1243.0,0.401070546,13.0,-0.722357,-0.267294202
GON4L,926.0,0.418089888,175.0,-0.334629,0.144166319
GOSR1,5968.0,0.408103421,237.0,-0.626409,-0.289733443
GOSR2,3258.0,0.374298057,541.0,-0.216233,0.115868127
GOT2,1054.0,0.444803236,129.0,-0.243097,-0.115491753
GPS2,97.0,0.431122181,76.0,0.068169,-0.196770765
GPSM2,4697.0,0.401967226,496.0,1.310526,0.293435482
GPX7,626.0,0.395840774,39.0,0.305596,0.821598257
GRAMD1A,299.0,0.411657297,748.0,0.15963,-0.071496934
GRB2,2292.0,0.4413596,358.0,-0.262703,-0.059280108
GSTM4,2467.0,0.390909061,314.0,-0.575753,-0.553805616
GTF2A2,1070.0,0.420716795,404.0,0.784483,0.12740707
GTF2E2,604.0,0.365750105,273.0,0.129096,0.059226716
GTF3C2,932.0,0.372227001,397.0,-0.098511,-0.087034242
GTPBP1,2894.0,0.424954603,154.0,0.518402,0.224491979
GTPBP3,1032.0,0.436547413,95.0,0.644064,-0.249949212
GTSE1,680.0,0.368527868,212.0,1.921099,0.406594181
GTSF1,222.0,0.36097632,86.0,3.86203,0.67028521
HADH,818.0,0.383558671,219.0,0.000966,-0.184211761
HADHA,615.0,0.383558671,130.0,-0.41639,-0.181530196
HAUS5,3319.0,0.378752573,51.0,0.533574,0.24625407
HAUS8,346.0,0.37535995,111.0,1.315695,0.452286434
HCCS,1274.0,0.398607648,275.0,0.48946,0.233168745
HCK,337.0,0.440224323,364.0,0.334974,0.557747914
HDAC1,591.0,0.390040122,63.0,0.09455,0.05877647
HDDC3,763.0,0.387287166,29.0,-0.194453,-0.473192995
HDGF,1342.0,0.465394593,322.0,1.380987,-0.208243521
HDLBP,2343.0,0.397687311,375.0,0.1685,0.175649349
HEATR3,1385.0,0.384091545,883.0,0.756182,0.344590468
HEBP2,9119.0,0.359416339,297.0,0.398561,0.15889324
HECA,3704.0,0.443714129,285.0,0.954133,0.207921038
HECTD3,3914.0,0.446742268,98.0,-0.319003,0.031682756
HERC2,726.0,0.429958504,109.0,0.502912,0.103730256
HERC5,379.0,0.393838904,153.0,0.060995,0.32754807
HERC6,651.0,0.398146132,183.0,-0.323271,-0.421560487
HIP1,4874.0,0.430847644,52.0,-0.117272,0.129651468
HLA-A,4150.0,0.424443523,84.0,0.084452,0.333327885
HLA-C,420.0,0.421684519,65.0,-0.158455,0.23833787
HLA-DRA,409.0,0.420807891,109.0,0.114913,0.13214142
HLA-E,1459.0,0.413523771,126.0,-0.145566,0.211866536
HLA-F,121.0,0.407256461,124.0,0.157407,0.080722472
HMBOX1,3560.0,0.369177113,482.0,-1.523079,0.513059794
HMBS,266.0,0.451934812,299.0,1.227047,0.121007019
HMGB2,3775.0,0.450826504,193.0,1.52895,-0.137798468
HMGCS1,3661.0,0.374424323,345.0,0.407412,-0.171433837
HMOX1,616.0,0.436401717,107.0,-0.370959,0.190016312
HNRNPA0,7504.0,0.386421138,284.0,-0.181232,-0.481458099
HNRNPD,1688.0,0.420386111,318.0,0.737796,-0.518939281
HNRNPL,1102.0,0.449817015,176.0,0.566524,-0.181539985
HNRNPU,4156.0,0.432126199,218.0,0.104949,-0.105073621
HNRNPUL1,2135.0,0.394022965,339.0,1.1007,0.074398614
HNRNPUL2,2674.0,0.436897081,229.0,0.920925,0.239661641
HSBP1,3274.0,0.4454546,174.0,0.40427,-0.342283615
HSD11B1,4482.0,0.426649415,154.0,0.646908,0.122035612
HSD17B7,398.0,0.431983247,99.0,-0.379137,-0.391643616
HSP90AB1,313.0,0.39509298,251.0,0.880161,0.050824945
HSPA1L,428.0,0.464100714,183.0,-1.643073,-0.006553958
HSPA4L,7877.0,0.413794867,342.0,2.203497,1.067284551
HSPB11,107.0,0.34538245,284.0,0.093788,0.048005118
HTRA2,571.0,0.421976635,602.0,-0.087918,-0.15802054
HTT,3901.0,0.373695076,145.0,-0.133153,-0.056878122
HUS1,2068.0,0.374612864,131.0,0.503612,0.353793412
HYI,310.0,0.378597605,196.0,-0.434874,-0.126030277
HYOU1,1409.0,0.403839016,234.0,1.792913,0.346399503
ICAM1,1537.0,0.426062071,319.0,2.41443,0.522179796
